WP, 01, 1978123000,   , MIWU, 0,  15N, 1750E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Alice,
WP, 01, 1978123006,   , MIWU, 0,  15N, 1744E,  20, 1006, DB,
WP, 01, 1978123012,   , MIWU, 0,  16N, 1738E,  20, 1005, DB,
WP, 01, 1978123018,   , MIWU, 0,  17N, 1733E,  20, 1005, DB,
WP, 01, 1978123100,   , MIWU, 0,  18N, 1729E,  25, 1003, TD,
WP, 01, 1978123106,   , MIWU, 0,  19N, 1724E,  25, 1002, TD,
WP, 01, 1978123112,   , MIWU, 0,  20N, 1719E,  30, 1000, TD,
WP, 01, 1978123118,   , MIWU, 0,  23N, 1715E,  35,  997, TS,
WP, 01, 1979010100,   , MIWU, 0,  27N, 1711E,  40,  994, TS,
WP, 01, 1979010106,   , MIWU, 0,  33N, 1706E,  40,  993, TS,
WP, 01, 1979010112,   , MIWU, 0,  40N, 1700E,  40,  993, TS,
WP, 01, 1979010118,   , MIWU, 0,  46N, 1694E,  45,  990, TS,
WP, 01, 1979010200,   , MIWU, 0,  52N, 1687E,  45,  989, TS,
WP, 01, 1979010206,   , MIWU, 0,  57N, 1682E,  45,  989, TS,
WP, 01, 1979010212,   , MIWU, 0,  62N, 1679E,  50,  986, TS,
WP, 01, 1979010218,   , MIWU, 0,  68N, 1678E,  55,  983, TS,
WP, 01, 1979010300,   , MIWU, 0,  74N, 1680E,  55,  982, TS,
WP, 01, 1979010306,   , MIWU, 0,  80N, 1682E,  50,  983, TS,
WP, 01, 1979010312,   , MIWU, 0,  86N, 1683E,  40,  987, TS,
WP, 01, 1979010318,   , MIWU, 0,  90N, 1681E,  40,  986, TS,
WP, 01, 1979010400,   , MIWU, 0,  92N, 1678E,  45,  984, TS,
WP, 01, 1979010406,   , MIWU, 0,  94N, 1673E,  45,  984, TS,
WP, 01, 1979010412,   , MIWU, 0,  95N, 1666E,  50,  982, TS,
WP, 01, 1979010418,   , MIWU, 0,  96N, 1658E,  55,  982, TS,
WP, 01, 1979010500,   , MIWU, 0,  97N, 1650E,  55,  982, TS,
WP, 01, 1979010506,   , MIWU, 0,  99N, 1642E,  65,  980, TY,
WP, 01, 1979010512,   , MIWU, 0, 102N, 1634E,  80,  974, TY,
WP, 01, 1979010518,   , MIWU, 0, 107N, 1625E,  95,  968, TY,
WP, 01, 1979010600,   , MIWU, 0, 112N, 1616E, 105,  965, TY,
WP, 01, 1979010606,   , MIWU, 0, 116N, 1605E, 110,  963, TY,
WP, 01, 1979010612,   , MIWU, 0, 120N, 1595E, 110,  962, TY,
WP, 01, 1979010618,   , MIWU, 0, 122N, 1585E, 115,  959, TY,
WP, 01, 1979010700,   , MIWU, 0, 123N, 1575E, 120,  954, TY,
WP, 01, 1979010706,   , MIWU, 0, 124N, 1564E, 130,  942, ST,
WP, 01, 1979010712,   , MIWU, 0, 124N, 1551E, 140,  932, ST,
WP, 01, 1979010718,   , MIWU, 0, 124N, 1540E, 135,  928, ST,
WP, 01, 1979010800,   , MIWU, 0, 122N, 1529E, 125,  934, TY,
WP, 01, 1979010806,   , MIWU, 0, 120N, 1517E, 115,  941, TY,
WP, 01, 1979010812,   , MIWU, 0, 119N, 1504E, 100,  954, TY,
WP, 01, 1979010818,   , MIWU, 0, 118N, 1490E,  85,  963, TY,
WP, 01, 1979010900,   , MIWU, 0, 118N, 1478E,  80,  966, TY,
WP, 01, 1979010906,   , MIWU, 0, 120N, 1466E,  80,  967, TY,
WP, 01, 1979010912,   , MIWU, 0, 121N, 1454E,  75,  970, TY,
WP, 01, 1979010918,   , MIWU, 0, 120N, 1441E,  75,  969, TY,
WP, 01, 1979011000,   , MIWU, 0, 119N, 1430E,  80,  967, TY,
WP, 01, 1979011006,   , MIWU, 0, 120N, 1417E,  90,  963, TY,
WP, 01, 1979011012,   , MIWU, 0, 122N, 1404E,  95,  960, TY,
WP, 01, 1979011018,   , MIWU, 0, 124N, 1395E, 105,  952, TY,
WP, 01, 1979011100,   , MIWU, 0, 126N, 1387E, 115,  944, TY,
WP, 01, 1979011106,   , MIWU, 0, 128N, 1380E, 125,  938, TY,
WP, 01, 1979011112,   , MIWU, 0, 131N, 1375E, 120,  937, TY,
WP, 01, 1979011118,   , MIWU, 0, 135N, 1372E, 115,  940, TY,
WP, 01, 1979011200,   , MIWU, 0, 139N, 1370E, 110,  944, TY,
WP, 01, 1979011206,   , MIWU, 0, 142N, 1368E, 100,  952, TY,
WP, 01, 1979011212,   , MIWU, 0, 146N, 1367E,  90,  956, TY,
WP, 01, 1979011218,   , MIWU, 0, 150N, 1367E,  80,  964, TY,
WP, 01, 1979011300,   , MIWU, 0, 154N, 1368E,  75,  968, TY,
WP, 01, 1979011306,   , MIWU, 0, 158N, 1369E,  70,  974, TY,
WP, 01, 1979011312,   , MIWU, 0, 161N, 1369E,  60,  986, TS,
WP, 01, 1979011318,   , MIWU, 0, 162N, 1368E,  55,  990, TS,
WP, 01, 1979011400,   , MIWU, 0, 162N, 1364E,  45,  998, TS,
WP, 01, 1979011406,   , MIWU, 0, 162N, 1358E,  35, 1005, LO,
WP, 01, 1979011412,   , MIWU, 0, 163N, 1350E,  30, 1007, LO,
WP, 01, 1979011418,   , MIWU, 0, 163N, 1339E,  25, 1009, LO,
WP, 01, 1979011500,   , MIWU, 0, 162N, 1325E,  20, 1011, LO,
WP, 01, 1979011506,   , MIWU, 0, 162N, 1313E,  20, 1011, LO,
WP, 01, 1979011512,   , MIWU, 0, 163N, 1305E,  20, 1011, LO,
WP, 01, 1979011518,   , MIWU, 0, 162N, 1301E,  15, 1012, LO,
WP, 01, 1979011600,   , MIWU, 0, 160N, 1300E,  15, 1012, LO,
