WP, 04, 1979050900,   , MIWU, 0,  70N, 1335E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dot,
WP, 04, 1979050906,   , MIWU, 0,  76N, 1331E,  20, 1008, DB,
WP, 04, 1979050912,   , MIWU, 0,  80N, 1326E,  20, 1007, DB,
WP, 04, 1979050918,   , MIWU, 0,  82N, 1319E,  20, 1007, DB,
WP, 04, 1979051000,   , MIWU, 0,  84N, 1310E,  25, 1005, TD,
WP, 04, 1979051006,   , MIWU, 0,  86N, 1300E,  25, 1004, TD,
WP, 04, 1979051012,   , MIWU, 0,  88N, 1287E,  30, 1002, TD,
WP, 04, 1979051018,   , MIWU, 0,  90N, 1272E,  30, 1001, TD,
WP, 04, 1979051100,   , MIWU, 0,  92N, 1259E,  25, 1003, TD,
WP, 04, 1979051106,   , MIWU, 0,  95N, 1247E,  20, 1005, DB,
WP, 04, 1979051112,   , MIWU, 0,  98N, 1235E,  20, 1005, DB,
WP, 04, 1979051118,   , MIWU, 0, 101N, 1224E,  25, 1003, TD,
WP, 04, 1979051200,   , MIWU, 0, 103N, 1214E,  30, 1001, TD,
WP, 04, 1979051206,   , MIWU, 0, 106N, 1205E,  30, 1000, TD,
WP, 04, 1979051212,   , MIWU, 0, 110N, 1198E,  35,  998, TS,
WP, 04, 1979051218,   , MIWU, 0, 115N, 1196E,  45,  994, TS,
WP, 04, 1979051300,   , MIWU, 0, 120N, 1195E,  55,  990, TS,
WP, 04, 1979051306,   , MIWU, 0, 125N, 1195E,  65,  984, TY,
WP, 04, 1979051312,   , MIWU, 0, 130N, 1196E,  75,  980, TY,
WP, 04, 1979051318,   , MIWU, 0, 134N, 1199E,  70,  983, TY,
WP, 04, 1979051400,   , MIWU, 0, 137N, 1203E,  60,  989, TS,
WP, 04, 1979051406,   , MIWU, 0, 140N, 1208E,  40,  998, TS,
WP, 04, 1979051412,   , MIWU, 0, 143N, 1214E,  30, 1004, TD,
WP, 04, 1979051418,   , MIWU, 0, 147N, 1220E,  25, 1006, TD,
WP, 04, 1979051500,   , MIWU, 0, 151N, 1227E,  20, 1008, DB,
WP, 04, 1979051506,   , MIWU, 0, 156N, 1235E,  20, 1008, DB,
WP, 04, 1979051512,   , MIWU, 0, 162N, 1242E,  20, 1007, DB,
WP, 04, 1979051518,   , MIWU, 0, 169N, 1251E,  25, 1005, TD,
WP, 04, 1979051600,   , MIWU, 0, 175N, 1261E,  30, 1003, TD,
WP, 04, 1979051606,   , MIWU, 0, 182N, 1274E,  30, 1002, TD,
WP, 04, 1979051612,   , MIWU, 0, 192N, 1290E,  25, 1004, EX,
WP, 04, 1979051618,   , MIWU, 0, 206N, 1310E,  25, 1004, EX,
WP, 04, 1979051700,   , MIWU, 0, 222N, 1334E,  30, 1002, EX,
WP, 04, 1979051706,   , MIWU, 0, 242N, 1357E,  30, 1001, EX,
WP, 04, 1979051712,   , MIWU, 0, 262N, 1373E,  25, 1001, EX,
