WP, 05, 1979051900,   , MIWU, 0, 154N, 1118E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Five-W,
WP, 05, 1979051906,   , MIWU, 0, 153N, 1117E,  20, 1005, DB,
WP, 05, 1979051912,   , MIWU, 0, 152N, 1117E,  20, 1004, DB,
WP, 05, 1979051918,   , MIWU, 0, 152N, 1118E,  20, 1004, DB,
WP, 05, 1979052000,   , MIWU, 0, 153N, 1120E,  20, 1004, DB,
WP, 05, 1979052006,   , MIWU, 0, 156N, 1123E,  25, 1002, TD,
WP, 05, 1979052012,   , MIWU, 0, 162N, 1127E,  25, 1002, TD,
WP, 05, 1979052018,   , MIWU, 0, 170N, 1132E,  25, 1001, TD,
WP, 05, 1979052100,   , MIWU, 0, 181N, 1138E,  30,  999, TD,
WP, 05, 1979052106,   , MIWU, 0, 191N, 1145E,  30,  998, TD,
WP, 05, 1979052112,   , MIWU, 0, 200N, 1152E,  25, 1000, TD,
WP, 05, 1979052118,   , MIWU, 0, 208N, 1164E,  25, 1000, TD,
WP, 05, 1979052200,   , MIWU, 0, 213N, 1176E,  30,  998, TD,
WP, 05, 1979052206,   , MIWU, 0, 215N, 1188E,  35,  996, TS,
WP, 05, 1979052212,   , MIWU, 0, 217N, 1202E,  45,  990, TS,
WP, 05, 1979052218,   , MIWU, 0, 218N, 1220E,  55,  984, TS,
WP, 05, 1979052300,   , MIWU, 0, 220N, 1241E,  65,  978, TY,
WP, 05, 1979052306,   , MIWU, 0, 222N, 1263E,  75,  972, TY,
WP, 05, 1979052312,   , MIWU, 0, 226N, 1284E,  70,  974, TY,
WP, 05, 1979052318,   , MIWU, 0, 234N, 1305E,  65,  976, TY,
WP, 05, 1979052400,   , MIWU, 0, 245N, 1326E,  55,  980, TS,
WP, 05, 1979052406,   , MIWU, 0, 258N, 1346E,  45,  986, EX,
WP, 05, 1979052412,   , MIWU, 0, 272N, 1368E,  35,  992, EX,
WP, 05, 1979052418,   , MIWU, 0, 290N, 1391E,  30,  995, EX,
WP, 05, 1979052500,   , MIWU, 0, 308N, 1420E,  30,  996, EX,
WP, 05, 1979052506,   , MIWU, 0, 320N, 1444E,  25,  998, EX,
WP, 05, 1979052512,   , MIWU, 0, 330N, 1462E,  25,  998, EX,
WP, 05, 1979052518,   , MIWU, 0, 340N, 1477E,  25,  998, EX,
WP, 05, 1979052600,   , MIWU, 0, 349N, 1492E,  20, 1000, EX,
WP, 05, 1979052606,   , MIWU, 0, 356N, 1508E,  20, 1001, EX,
