WP, 15, 1979083000,   , MIWU, 0, 227N, 1423E,  15, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ken,
WP, 15, 1979083006,   , MIWU, 0, 232N, 1410E,  20, 1009, DB,
WP, 15, 1979083012,   , MIWU, 0, 236N, 1398E,  20, 1008, DB,
WP, 15, 1979083018,   , MIWU, 0, 240N, 1386E,  20, 1008, DB,
WP, 15, 1979083100,   , MIWU, 0, 243N, 1376E,  25, 1006, TD,
WP, 15, 1979083106,   , MIWU, 0, 245N, 1367E,  25, 1005, TD,
WP, 15, 1979083112,   , MIWU, 0, 248N, 1358E,  30, 1003, TD,
WP, 15, 1979083118,   , MIWU, 0, 250N, 1350E,  35, 1001, TS,
WP, 15, 1979090100,   , MIWU, 0, 250N, 1343E,  35, 1000, TS,
WP, 15, 1979090106,   , MIWU, 0, 250N, 1337E,  40,  998, TS,
WP, 15, 1979090112,   , MIWU, 0, 251N, 1331E,  40,  998, TS,
WP, 15, 1979090118,   , MIWU, 0, 253N, 1325E,  40,  998, TS,
WP, 15, 1979090200,   , MIWU, 0, 257N, 1319E,  45,  996, TS,
WP, 15, 1979090206,   , MIWU, 0, 264N, 1313E,  45,  996, TS,
WP, 15, 1979090212,   , MIWU, 0, 271N, 1308E,  45,  995, TS,
WP, 15, 1979090218,   , MIWU, 0, 279N, 1305E,  50,  993, TS,
WP, 15, 1979090300,   , MIWU, 0, 288N, 1304E,  55,  990, TS,
WP, 15, 1979090306,   , MIWU, 0, 301N, 1305E,  65,  984, TY,
WP, 15, 1979090312,   , MIWU, 0, 313N, 1310E,  60,  986, TS,
WP, 15, 1979090318,   , MIWU, 0, 326N, 1320E,  55,  988, TS,
WP, 15, 1979090400,   , MIWU, 0, 340N, 1333E,  50,  990, TS,
WP, 15, 1979090406,   , MIWU, 0, 352N, 1348E,  45,  992, TS,
WP, 15, 1979090412,   , MIWU, 0, 364N, 1364E,  45,  992, EX,
WP, 15, 1979090418,   , MIWU, 0, 375N, 1387E,  45,  993, EX,
WP, 15, 1979090500,   , MIWU, 0, 392N, 1415E,  40,  995, EX,
WP, 15, 1979090506,   , MIWU, 0, 417N, 1448E,  40,  994, EX,
WP, 15, 1979090512,   , MIWU, 0, 436N, 1475E,  40,  994, EX,
WP, 15, 1979090518,   , MIWU, 0, 450N, 1490E,  40,  995, EX,
WP, 15, 1979090600,   , MIWU, 0, 460N, 1499E,  40,  995, EX,
WP, 15, 1979090606,   , MIWU, 0, 468N, 1513E,  40,  994, EX,
WP, 15, 1979090612,   , MIWU, 0, 474N, 1536E,  40,  994, EX,
WP, 15, 1979090618,   , MIWU, 0, 480N, 1564E,  35,  996, EX,
WP, 15, 1979090700,   , MIWU, 0, 487N, 1590E,  35,  996, EX,
WP, 15, 1979090706,   , MIWU, 0, 495N, 1614E,  35,  996, EX,
WP, 15, 1979090712,   , MIWU, 0, 501N, 1630E,  35,  997, EX,
WP, 15, 1979090718,   , MIWU, 0, 508N, 1643E,  35,  997, EX,
WP, 15, 1979090800,   , MIWU, 0, 515N, 1655E,  35,  997, EX,
WP, 15, 1979090806,   , MIWU, 0, 522N, 1666E,  30, 1000, EX,
WP, 15, 1979090812,   , MIWU, 0, 530N, 1678E,  30, 1000, EX,
WP, 15, 1979090818,   , MIWU, 0, 540N, 1688E,  30, 1000, EX,
WP, 15, 1979090900,   , MIWU, 0, 550N, 1698E,  30, 1001, EX,
WP, 15, 1979090906,   , MIWU, 0, 559N, 1707E,  30, 1001, EX,
WP, 15, 1979090912,   , MIWU, 0, 569N, 1715E,  30, 1001, EX,
