WP, 18, 1979091706,   , MIWU, 0, 148N, 1152E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nancy,
WP, 18, 1979091712,   , MIWU, 0, 155N, 1148E,  20, 1009, DB,
WP, 18, 1979091718,   , MIWU, 0, 164N, 1146E,  20, 1009, DB,
WP, 18, 1979091800,   , MIWU, 0, 172N, 1142E,  25, 1007, TD,
WP, 18, 1979091806,   , MIWU, 0, 178N, 1137E,  30, 1005, TD,
WP, 18, 1979091812,   , MIWU, 0, 183N, 1131E,  30, 1004, TD,
WP, 18, 1979091818,   , MIWU, 0, 185N, 1125E,  35, 1001, TS,
WP, 18, 1979091900,   , MIWU, 0, 186N, 1119E,  45,  994, TS,
WP, 18, 1979091906,   , MIWU, 0, 187N, 1114E,  55,  986, TS,
WP, 18, 1979091912,   , MIWU, 0, 188N, 1108E,  65,  978, TY,
WP, 18, 1979091918,   , MIWU, 0, 189N, 1102E,  60,  981, TS,
WP, 18, 1979092000,   , MIWU, 0, 189N, 1097E,  50,  987, TS,
WP, 18, 1979092006,   , MIWU, 0, 188N, 1093E,  45,  990, TS,
WP, 18, 1979092012,   , MIWU, 0, 185N, 1091E,  45,  990, TS,
WP, 18, 1979092018,   , MIWU, 0, 182N, 1089E,  50,  988, TS,
WP, 18, 1979092100,   , MIWU, 0, 179N, 1085E,  50,  987, TS,
WP, 18, 1979092106,   , MIWU, 0, 176N, 1081E,  55,  984, TS,
WP, 18, 1979092112,   , MIWU, 0, 174N, 1077E,  60,  981, TS,
WP, 18, 1979092118,   , MIWU, 0, 173N, 1074E,  65,  978, TY,
WP, 18, 1979092200,   , MIWU, 0, 172N, 1071E,  70,  975, TY,
WP, 18, 1979092206,   , MIWU, 0, 170N, 1068E,  60,  980, TS,
WP, 18, 1979092212,   , MIWU, 0, 168N, 1064E,  50,  988, TS,
WP, 18, 1979092218,   , MIWU, 0, 167N, 1060E,  40,  995, TS,
WP, 18, 1979092300,   , MIWU, 0, 166N, 1057E,  30, 1000, TD,
WP, 18, 1979092306,   , MIWU, 0, 165N, 1054E,  20, 1004, DB,
WP, 18, 1979092312,   , MIWU, 0, 165N, 1051E,  15, 1006, DB,
