WP, 20, 1979092300,   , MIWU, 0, 180N, 1500E,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pamela,
WP, 20, 1979092306,   , MIWU, 0, 181N, 1487E,  20, 1012, DB,
WP, 20, 1979092312,   , MIWU, 0, 182N, 1475E,  20, 1011, DB,
WP, 20, 1979092318,   , MIWU, 0, 184N, 1464E,  20, 1011, DB,
WP, 20, 1979092400,   , MIWU, 0, 186N, 1456E,  25, 1009, TD,
WP, 20, 1979092406,   , MIWU, 0, 188N, 1451E,  25, 1009, TD,
WP, 20, 1979092412,   , MIWU, 0, 189N, 1447E,  30, 1007, TD,
WP, 20, 1979092418,   , MIWU, 0, 190N, 1442E,  35, 1005, TS,
WP, 20, 1979092500,   , MIWU, 0, 190N, 1436E,  35, 1004, TS,
WP, 20, 1979092506,   , MIWU, 0, 192N, 1427E,  40, 1002, TS,
WP, 20, 1979092512,   , MIWU, 0, 196N, 1417E,  40, 1002, TS,
WP, 20, 1979092518,   , MIWU, 0, 201N, 1407E,  40, 1002, TS,
WP, 20, 1979092600,   , MIWU, 0, 207N, 1395E,  35, 1002, TS,
WP, 20, 1979092606,   , MIWU, 0, 219N, 1382E,  30, 1004, TD,
WP, 20, 1979092612,   , MIWU, 0, 235N, 1370E,  20, 1008, DB,
WP, 20, 1979092618,   , MIWU, 0, 260N, 1364E,  10, 1012, DB,
