WP, 24, 1979103106,   , MIWU, 0,  60N, 1503E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vera,
WP, 24, 1979103112,   , MIWU, 0,  60N, 1497E,  20, 1007, DB,
WP, 24, 1979103118,   , MIWU, 0,  59N, 1493E,  20, 1006, DB,
WP, 24, 1979110100,   , MIWU, 0,  59N, 1490E,  20, 1006, DB,
WP, 24, 1979110106,   , MIWU, 0,  60N, 1486E,  20, 1006, DB,
WP, 24, 1979110112,   , MIWU, 0,  62N, 1479E,  25, 1004, TD,
WP, 24, 1979110118,   , MIWU, 0,  66N, 1470E,  30, 1002, TD,
WP, 24, 1979110200,   , MIWU, 0,  70N, 1458E,  40,  996, TS,
WP, 24, 1979110206,   , MIWU, 0,  74N, 1446E,  50,  992, TS,
WP, 24, 1979110212,   , MIWU, 0,  77N, 1434E,  55,  990, TS,
WP, 24, 1979110218,   , MIWU, 0,  79N, 1421E,  60,  988, TS,
WP, 24, 1979110300,   , MIWU, 0,  82N, 1407E,  65,  986, TY,
WP, 24, 1979110306,   , MIWU, 0,  86N, 1391E,  75,  982, TY,
WP, 24, 1979110312,   , MIWU, 0,  91N, 1372E,  95,  965, TY,
WP, 24, 1979110315,   , MIWU, 0,  95N, 1362E, 110,  953, TY,
WP, 24, 1979110318,   , MIWU, 0, 100N, 1351E, 125,  946, TY,
WP, 24, 1979110400,   , MIWU, 0, 105N, 1331E, 145,  930, ST,
WP, 24, 1979110403,   , MIWU, 0, 107N, 1321E, 165,  915, ST,
WP, 24, 1979110406,   , MIWU, 0, 110N, 1312E, 165,  912, ST,
WP, 24, 1979110412,   , MIWU, 0, 116N, 1294E, 155,  912, ST,
WP, 24, 1979110418,   , MIWU, 0, 121N, 1276E, 135,  916, ST,
WP, 24, 1979110500,   , MIWU, 0, 126N, 1261E, 120,  922, TY,
WP, 24, 1979110506,   , MIWU, 0, 134N, 1250E, 125,  920, TY,
WP, 24, 1979110512,   , MIWU, 0, 141N, 1242E, 115,  928, TY,
WP, 24, 1979110518,   , MIWU, 0, 148N, 1235E, 100,  940, TY,
WP, 24, 1979110600,   , MIWU, 0, 155N, 1228E,  95,  944, TY,
WP, 24, 1979110606,   , MIWU, 0, 163N, 1224E,  90,  948, TY,
WP, 24, 1979110612,   , MIWU, 0, 170N, 1221E,  75,  960, TY,
WP, 24, 1979110618,   , MIWU, 0, 176N, 1217E,  55,  980, TS,
WP, 24, 1979110700,   , MIWU, 0, 179N, 1211E,  40,  992, TS,
WP, 24, 1979110706,   , MIWU, 0, 178N, 1204E,  35,  995, TS,
WP, 24, 1979110712,   , MIWU, 0, 176N, 1196E,  30,  998, TD,
WP, 24, 1979110718,   , MIWU, 0, 174N, 1187E,  25, 1001, LO,
WP, 24, 1979110800,   , MIWU, 0, 173N, 1178E,  25, 1002, LO,
WP, 24, 1979110806,   , MIWU, 0, 174N, 1169E,  20, 1004, LO,
WP, 24, 1979110812,   , MIWU, 0, 172N, 1159E,  20, 1004, LO,
WP, 24, 1979110818,   , MIWU, 0, 169N, 1150E,  20, 1004, LO,
WP, 24, 1979110900,   , MIWU, 0, 165N, 1142E,  20, 1005, LO,
WP, 24, 1979110906,   , MIWU, 0, 161N, 1137E,  20, 1005, LO,
WP, 24, 1979110912,   , MIWU, 0, 157N, 1135E,  15, 1007, LO,
WP, 24, 1979110918,   , MIWU, 0, 153N, 1133E,  15, 1008, LO,
WP, 24, 1979111000,   , MIWU, 0, 149N, 1132E,  15, 1008, LO,
