WP, 27, 1979112918,   , MIWU, 0,  67N, 1670E,  15, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Abby,
WP, 27, 1979113000,   , MIWU, 0,  67N, 1663E,  15, 1010, DB,
WP, 27, 1979113006,   , MIWU, 0,  66N, 1655E,  20, 1008, DB,
WP, 27, 1979113012,   , MIWU, 0,  65N, 1649E,  20, 1007, DB,
WP, 27, 1979113018,   , MIWU, 0,  63N, 1643E,  20, 1007, DB,
WP, 27, 1979120100,   , MIWU, 0,  62N, 1636E,  25, 1005, TD,
WP, 27, 1979120106,   , MIWU, 0,  60N, 1629E,  25, 1004, TD,
WP, 27, 1979120112,   , MIWU, 0,  58N, 1619E,  30, 1002, TD,
WP, 27, 1979120118,   , MIWU, 0,  58N, 1610E,  35, 1000, TS,
WP, 27, 1979120200,   , MIWU, 0,  58N, 1604E,  40,  998, TS,
WP, 27, 1979120206,   , MIWU, 0,  59N, 1599E,  45,  995, TS,
WP, 27, 1979120212,   , MIWU, 0,  60N, 1596E,  55,  989, TS,
WP, 27, 1979120218,   , MIWU, 0,  61N, 1593E,  60,  986, TS,
WP, 27, 1979120300,   , MIWU, 0,  63N, 1591E,  60,  985, TS,
WP, 27, 1979120306,   , MIWU, 0,  65N, 1590E,  55,  988, TS,
WP, 27, 1979120312,   , MIWU, 0,  68N, 1589E,  50,  990, TS,
WP, 27, 1979120318,   , MIWU, 0,  73N, 1587E,  45,  992, TS,
WP, 27, 1979120400,   , MIWU, 0,  78N, 1582E,  45,  991, TS,
WP, 27, 1979120406,   , MIWU, 0,  80N, 1574E,  50,  989, TS,
WP, 27, 1979120412,   , MIWU, 0,  81N, 1566E,  60,  983, TS,
WP, 27, 1979120418,   , MIWU, 0,  82N, 1558E,  65,  980, TY,
WP, 27, 1979120500,   , MIWU, 0,  82N, 1551E,  60,  982, TS,
WP, 27, 1979120506,   , MIWU, 0,  81N, 1542E,  55,  985, TS,
WP, 27, 1979120512,   , MIWU, 0,  79N, 1534E,  45,  992, TS,
WP, 27, 1979120518,   , MIWU, 0,  80N, 1525E,  40,  996, TS,
WP, 27, 1979120600,   , MIWU, 0,  85N, 1518E,  35,  999, TS,
WP, 27, 1979120606,   , MIWU, 0,  91N, 1510E,  35, 1000, TS,
WP, 27, 1979120612,   , MIWU, 0,  94N, 1498E,  35, 1000, TS,
WP, 27, 1979120618,   , MIWU, 0,  95N, 1480E,  40,  998, TS,
WP, 27, 1979120700,   , MIWU, 0,  97N, 1467E,  45,  996, TS,
WP, 27, 1979120706,   , MIWU, 0, 100N, 1456E,  45,  995, TS,
WP, 27, 1979120712,   , MIWU, 0, 103N, 1451E,  45,  995, TS,
WP, 27, 1979120718,   , MIWU, 0, 108N, 1447E,  40,  996, TS,
WP, 27, 1979120800,   , MIWU, 0, 114N, 1444E,  40,  996, TS,
WP, 27, 1979120806,   , MIWU, 0, 118N, 1435E,  35,  996, TS,
WP, 27, 1979120812,   , MIWU, 0, 119N, 1422E,  35,  996, TS,
WP, 27, 1979120818,   , MIWU, 0, 117N, 1406E,  40,  994, TS,
WP, 27, 1979120900,   , MIWU, 0, 114N, 1392E,  45,  991, TS,
WP, 27, 1979120906,   , MIWU, 0, 110N, 1376E,  50,  988, TS,
WP, 27, 1979120912,   , MIWU, 0, 105N, 1359E,  55,  984, TS,
WP, 27, 1979120918,   , MIWU, 0, 107N, 1345E,  60,  980, TS,
WP, 27, 1979121000,   , MIWU, 0, 112N, 1336E,  65,  976, TY,
WP, 27, 1979121006,   , MIWU, 0, 117N, 1328E,  65,  974, TY,
WP, 27, 1979121012,   , MIWU, 0, 122N, 1320E,  70,  970, TY,
WP, 27, 1979121018,   , MIWU, 0, 130N, 1313E,  75,  967, TY,
WP, 27, 1979121100,   , MIWU, 0, 137N, 1307E,  80,  965, TY,
WP, 27, 1979121106,   , MIWU, 0, 143N, 1302E,  90,  961, TY,
WP, 27, 1979121112,   , MIWU, 0, 149N, 1300E, 100,  957, TY,
WP, 27, 1979121118,   , MIWU, 0, 156N, 1301E, 110,  954, TY,
WP, 27, 1979121200,   , MIWU, 0, 164N, 1304E, 115,  952, TY,
WP, 27, 1979121206,   , MIWU, 0, 171N, 1310E, 105,  951, TY,
WP, 27, 1979121212,   , MIWU, 0, 180N, 1320E, 100,  951, TY,
WP, 27, 1979121218,   , MIWU, 0, 190N, 1332E,  95,  952, TY,
WP, 27, 1979121300,   , MIWU, 0, 198N, 1346E,  85,  958, TY,
WP, 27, 1979121306,   , MIWU, 0, 205N, 1363E,  75,  966, TY,
WP, 27, 1979121312,   , MIWU, 0, 212N, 1382E,  70,  970, TY,
WP, 27, 1979121318,   , MIWU, 0, 219N, 1403E,  60,  978, TS,
WP, 27, 1979121400,   , MIWU, 0, 224N, 1426E,  50,  985, TS,
WP, 27, 1979121406,   , MIWU, 0, 227N, 1449E,  40,  995, TS,
WP, 27, 1979121412,   , MIWU, 0, 229N, 1477E,  35,  999, EX,
WP, 27, 1979121418,   , MIWU, 0, 231N, 1507E,  30, 1003, EX,
WP, 27, 1979121500,   , MIWU, 0, 234N, 1534E,  25, 1007, EX,
WP, 27, 1979121506,   , MIWU, 0, 239N, 1562E,  20, 1010, EX,
WP, 27, 1979121512,   , MIWU, 0, 245N, 1590E,  15, 1012, EX,
