WP, 28, 1979121818,   , MIWU, 0,  87N, 1414E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ben,
WP, 28, 1979121900,   , MIWU, 0,  90N, 1400E,  20, 1011, DB,
WP, 28, 1979121906,   , MIWU, 0,  94N, 1386E,  20, 1011, DB,
WP, 28, 1979121912,   , MIWU, 0,  99N, 1370E,  20, 1010, DB,
WP, 28, 1979121918,   , MIWU, 0, 104N, 1355E,  20, 1010, DB,
WP, 28, 1979122000,   , MIWU, 0, 108N, 1340E,  25, 1008, TD,
WP, 28, 1979122006,   , MIWU, 0, 111N, 1326E,  25, 1007, TD,
WP, 28, 1979122012,   , MIWU, 0, 115N, 1311E,  30, 1005, TD,
WP, 28, 1979122018,   , MIWU, 0, 117N, 1294E,  35, 1002, TS,
WP, 28, 1979122100,   , MIWU, 0, 116N, 1277E,  45,  996, TS,
WP, 28, 1979122106,   , MIWU, 0, 115N, 1260E,  55,  990, TS,
WP, 28, 1979122112,   , MIWU, 0, 117N, 1245E,  50,  993, TS,
WP, 28, 1979122118,   , MIWU, 0, 120N, 1230E,  50,  994, TS,
WP, 28, 1979122200,   , MIWU, 0, 125N, 1216E,  65,  988, TY,
WP, 28, 1979122206,   , MIWU, 0, 130N, 1203E,  55,  992, TS,
WP, 28, 1979122212,   , MIWU, 0, 137N, 1194E,  50,  994, TS,
WP, 28, 1979122218,   , MIWU, 0, 146N, 1192E,  45,  996, TS,
WP, 28, 1979122300,   , MIWU, 0, 157N, 1196E,  40,  999, TS,
WP, 28, 1979122306,   , MIWU, 0, 171N, 1206E,  30, 1004, LO,
WP, 28, 1979122312,   , MIWU, 0, 194N, 1222E,  20, 1010, LO,
