WP, 10, 1987080918, , MIWU, 0,  83N, 1463E,  15, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Cary,
WP, 10, 1987081000, , MIWU, 0,  84N, 1454E,  15, 1010, DB,
WP, 10, 1987081006, , MIWU, 0,  85N, 1445E,  15, 1009, DB,
WP, 10, 1987081012, , MIWU, 0,  86N, 1436E,  20, 1007, DB,
WP, 10, 1987081018, , MIWU, 0,  87N, 1425E,  20, 1006, DB,
WP, 10, 1987081100, , MIWU, 0,  88N, 1414E,  20, 1005, DB,
WP, 10, 1987081106, , MIWU, 0,  90N, 1403E,  25, 1003, TD,
WP, 10, 1987081112, , MIWU, 0,  95N, 1392E,  25, 1002, TD,
WP, 10, 1987081118, , MIWU, 0, 100N, 1382E,  25, 1002, TD,
WP, 10, 1987081200, , MIWU, 0, 106N, 1370E,  30, 1000, TD,
WP, 10, 1987081206, , MIWU, 0, 113N, 1359E,  30, 1000, TD,
WP, 10, 1987081212, , MIWU, 0, 119N, 1352E,  30,  999, TD,
WP, 10, 1987081218, , MIWU, 0, 128N, 1347E,  30,  999, TD,
WP, 10, 1987081300, , MIWU, 0, 136N, 1340E,  35,  997, TS,
WP, 10, 1987081306, , MIWU, 0, 143N, 1331E,  40,  997, TS,
WP, 10, 1987081312, , MIWU, 0, 149N, 1322E,  40,  998, TS,
WP, 10, 1987081318, , MIWU, 0, 153N, 1313E,  40,  998, TS,
WP, 10, 1987081400, , MIWU, 0, 155N, 1304E,  40,  998, TS,
WP, 10, 1987081406, , MIWU, 0, 158N, 1296E,  45,  996, TS,
WP, 10, 1987081412, , MIWU, 0, 160N, 1290E,  45,  995, TS,
WP, 10, 1987081418, , MIWU, 0, 161N, 1284E,  50,  993, TS,
WP, 10, 1987081500, , MIWU, 0, 162N, 1278E,  55,  990, TS,
WP, 10, 1987081506, , MIWU, 0, 163N, 1272E,  60,  988, TS,
WP, 10, 1987081512, , MIWU, 0, 164N, 1267E,  60,  987, TS,
WP, 10, 1987081518, , MIWU, 0, 165N, 1262E,  65,  984, TY,
WP, 10, 1987081600, , MIWU, 0, 166N, 1258E,  70,  981, TY,
WP, 10, 1987081606, , MIWU, 0, 167N, 1254E,  75,  978, TY,
WP, 10, 1987081612, , MIWU, 0, 168N, 1249E,  75,  977, TY,
WP, 10, 1987081618, , MIWU, 0, 167N, 1244E,  80,  974, TY,
WP, 10, 1987081700, , MIWU, 0, 165N, 1239E,  90,  966, TY,
WP, 10, 1987081706, , MIWU, 0, 163N, 1234E, 100,  960, TY,
WP, 10, 1987081712, , MIWU, 0, 162N, 1229E, 100,  959, TY,
WP, 10, 1987081718, , MIWU, 0, 161N, 1223E, 100,  959, TY,
WP, 10, 1987081800, , MIWU, 0, 159N, 1215E,  65,  979, TY,
WP, 10, 1987081806, , MIWU, 0, 156N, 1205E,  50,  986, TS,
WP, 10, 1987081812, , MIWU, 0, 154N, 1194E,  50,  985, TS,
WP, 10, 1987081818, , MIWU, 0, 152N, 1185E,  55,  982, TS,
WP, 10, 1987081900, , MIWU, 0, 152N, 1176E,  55,  982, TS,
WP, 10, 1987081906, , MIWU, 0, 153N, 1168E,  55,  981, TS,
WP, 10, 1987081912, , MIWU, 0, 155N, 1160E,  55,  981, TS,
WP, 10, 1987081918, , MIWU, 0, 156N, 1151E,  60,  978, TS,
WP, 10, 1987082000, , MIWU, 0, 157N, 1142E,  65,  974, TY,
WP, 10, 1987082006, , MIWU, 0, 158N, 1135E,  70,  970, TY,
WP, 10, 1987082012, , MIWU, 0, 160N, 1129E,  75,  967, TY,
WP, 10, 1987082018, , MIWU, 0, 162N, 1123E,  75,  966, TY,
WP, 10, 1987082100, , MIWU, 0, 164N, 1116E,  80,  963, TY,
WP, 10, 1987082106, , MIWU, 0, 166N, 1109E,  80,  962, TY,
WP, 10, 1987082112, , MIWU, 0, 171N, 1101E,  75,  964, TY,
WP, 10, 1987082118, , MIWU, 0, 179N, 1090E,  70,  967, TY,
WP, 10, 1987082200, , MIWU, 0, 183N, 1078E,  70,  968, TY,
WP, 10, 1987082206, , MIWU, 0, 186N, 1068E,  70,  968, TY,
WP, 10, 1987082212, , MIWU, 0, 188N, 1058E,  65,  971, TY,
WP, 10, 1987082218, , MIWU, 0, 190N, 1045E,  55,  977, TS,
WP, 10, 1987082300, , MIWU, 0, 193N, 1031E,  50,  980, TS,
WP, 10, 1987082306, , MIWU, 0, 197N, 1017E,  40,  988, TS,
WP, 10, 1987082312, , MIWU, 0, 204N, 1005E,  35,  992, TS,
WP, 10, 1987082318, , MIWU, 0, 212N,  996E,  30,  995, TD,
WP, 10, 1987082400, , MIWU, 0, 215N,  988E,  25,  997, TD,
WP, 10, 1987082406, , MIWU, 0, 217N,  980E,  25,  998, TD,
WP, 10, 1987082412, , MIWU, 0, 218N,  971E,  20, 1000, DB,
WP, 10, 1987082418, , MIWU, 0, 220N,  960E,  20, 1001, DB,
WP, 10, 1987082500, , MIWU, 0, 223N,  948E,  15, 1003, DB,
