WP, 11, 1987081906, , MIWU, 0, 100N, 1585E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dinah,
WP, 11, 1987081912, , MIWU, 0, 101N, 1571E,  20, 1006, DB,
WP, 11, 1987081918, , MIWU, 0, 103N, 1557E,  20, 1005, DB,
WP, 11, 1987082000, , MIWU, 0, 109N, 1543E,  25, 1003, TD,
WP, 11, 1987082006, , MIWU, 0, 113N, 1532E,  25, 1003, TD,
WP, 11, 1987082012, , MIWU, 0, 115N, 1521E,  25, 1002, TD,
WP, 11, 1987082018, , MIWU, 0, 116N, 1511E,  30, 1000, TD,
WP, 11, 1987082100, , MIWU, 0, 116N, 1502E,  35,  998, TS,
WP, 11, 1987082106, , MIWU, 0, 114N, 1493E,  35,  997, TS,
WP, 11, 1987082112, , MIWU, 0, 112N, 1482E,  35,  997, TS,
WP, 11, 1987082118, , MIWU, 0, 111N, 1470E,  40,  995, TS,
WP, 11, 1987082200, , MIWU, 0, 111N, 1457E,  40,  995, TS,
WP, 11, 1987082206, , MIWU, 0, 111N, 1444E,  40,  994, TS,
WP, 11, 1987082212, , MIWU, 0, 112N, 1432E,  45,  991, TS,
WP, 11, 1987082218, , MIWU, 0, 113N, 1421E,  45,  991, TS,
WP, 11, 1987082300, , MIWU, 0, 115N, 1412E,  45,  991, TS,
WP, 11, 1987082306, , MIWU, 0, 118N, 1404E,  50,  988, TS,
WP, 11, 1987082312, , MIWU, 0, 121N, 1394E,  55,  984, TS,
WP, 11, 1987082318, , MIWU, 0, 124N, 1383E,  60,  980, TS,
WP, 11, 1987082400, , MIWU, 0, 128N, 1371E,  60,  978, TS,
WP, 11, 1987082406, , MIWU, 0, 134N, 1359E,  70,  970, TY,
WP, 11, 1987082412, , MIWU, 0, 140N, 1348E,  80,  962, TY,
WP, 11, 1987082418, , MIWU, 0, 146N, 1337E,  90,  954, TY,
WP, 11, 1987082500, , MIWU, 0, 152N, 1328E, 105,  942, TY,
WP, 11, 1987082506, , MIWU, 0, 160N, 1319E, 125,  926, TY,
WP, 11, 1987082512, , MIWU, 0, 167N, 1312E, 150,  910, ST,
WP, 11, 1987082518, , MIWU, 0, 173N, 1306E, 155,  907, ST,
WP, 11, 1987082600, , MIWU, 0, 178N, 1303E, 145,  905, ST,
WP, 11, 1987082606, , MIWU, 0, 185N, 1300E, 140,  907, ST,
WP, 11, 1987082612, , MIWU, 0, 191N, 1298E, 130,  912, ST,
WP, 11, 1987082618, , MIWU, 0, 196N, 1296E, 125,  915, TY,
WP, 11, 1987082700, , MIWU, 0, 200N, 1292E, 120,  918, TY,
WP, 11, 1987082706, , MIWU, 0, 202N, 1287E, 110,  926, TY,
WP, 11, 1987082712, , MIWU, 0, 204N, 1283E, 105,  930, TY,
WP, 11, 1987082718, , MIWU, 0, 207N, 1279E, 105,  932, TY,
WP, 11, 1987082800, , MIWU, 0, 210N, 1276E, 105,  934, TY,
WP, 11, 1987082806, , MIWU, 0, 212N, 1272E, 110,  932, TY,
WP, 11, 1987082812, , MIWU, 0, 215N, 1269E, 120,  928, TY,
WP, 11, 1987082818, , MIWU, 0, 222N, 1266E, 120,  927, TY,
WP, 11, 1987082900, , MIWU, 0, 230N, 1264E, 120,  927, TY,
WP, 11, 1987082906, , MIWU, 0, 239N, 1262E, 115,  930, TY,
WP, 11, 1987082912, , MIWU, 0, 249N, 1261E, 110,  933, TY,
WP, 11, 1987082918, , MIWU, 0, 264N, 1261E, 105,  936, TY,
WP, 11, 1987083000, , MIWU, 0, 280N, 1261E, 110,  934, TY,
WP, 11, 1987083006, , MIWU, 0, 299N, 1266E, 110,  935, TY,
WP, 11, 1987083012, , MIWU, 0, 317N, 1274E, 105,  937, TY,
WP, 11, 1987083018, , MIWU, 0, 342N, 1289E,  95,  944, TY,
WP, 11, 1987083100, , MIWU, 0, 371N, 1314E,  85,  952, TY,
WP, 11, 1987083106, , MIWU, 0, 395N, 1336E,  75,  960, TY,
WP, 11, 1987083112, , MIWU, 0, 417N, 1360E,  65,  968, EX,
WP, 11, 1987083118, , MIWU, 0, 433N, 1387E,  60,  972, EX,
WP, 11, 1987090100, , MIWU, 0, 449N, 1415E,  50,  980, EX,
WP, 11, 1987090106, , MIWU, 0, 464N, 1450E,  45,  984, EX,
WP, 11, 1987090112, , MIWU, 0, 474N, 1485E,  45,  984, EX,
WP, 11, 1987090118, , MIWU, 0, 484N, 1521E,  45,  986, EX,
WP, 11, 1987090200, , MIWU, 0, 494N, 1560E,  40,  989, EX,
WP, 11, 1987090206, , MIWU, 0, 503N, 1597E,  40,  990, EX,
WP, 11, 1987090212, , MIWU, 0, 508N, 1629E,  35,  993, EX,
WP, 11, 1987090218, , MIWU, 0, 507N, 1663E,  35,  994, EX,
WP, 11, 1987090300, , MIWU, 0, 502N, 1700E,  30,  996, EX,
WP, 11, 1987090306, , MIWU, 0, 496N, 1732E,  25,  998, EX,
