WP, 13, 1987090318, , MIWU, 0,  94N, 1495E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Freda,
WP, 13, 1987090400, , MIWU, 0,  99N, 1482E,  20, 1006, DB,
WP, 13, 1987090406, , MIWU, 0, 104N, 1469E,  20, 1005, DB,
WP, 13, 1987090412, , MIWU, 0, 113N, 1458E,  25, 1002, TD,
WP, 13, 1987090418, , MIWU, 0, 123N, 1450E,  30,  999, TD,
WP, 13, 1987090500, , MIWU, 0, 130N, 1440E,  35,  996, TS,
WP, 13, 1987090506, , MIWU, 0, 136N, 1429E,  40,  993, TS,
WP, 13, 1987090512, , MIWU, 0, 142N, 1418E,  40,  993, TS,
WP, 13, 1987090518, , MIWU, 0, 145N, 1410E,  40,  992, TS,
WP, 13, 1987090600, , MIWU, 0, 148N, 1408E,  50,  986, TS,
WP, 13, 1987090606, , MIWU, 0, 149N, 1409E,  60,  980, TS,
WP, 13, 1987090612, , MIWU, 0, 149N, 1412E,  65,  977, TY,
WP, 13, 1987090618, , MIWU, 0, 150N, 1414E,  70,  974, TY,
WP, 13, 1987090700, , MIWU, 0, 152N, 1414E,  70,  973, TY,
WP, 13, 1987090706, , MIWU, 0, 153N, 1413E,  75,  970, TY,
WP, 13, 1987090712, , MIWU, 0, 155N, 1412E,  75,  969, TY,
WP, 13, 1987090718, , MIWU, 0, 156N, 1410E,  85,  962, TY,
WP, 13, 1987090800, , MIWU, 0, 157N, 1408E,  95,  952, TY,
WP, 13, 1987090806, , MIWU, 0, 159N, 1406E, 105,  942, TY,
WP, 13, 1987090812, , MIWU, 0, 161N, 1402E, 120,  927, TY,
WP, 13, 1987090818, , MIWU, 0, 164N, 1396E, 125,  922, TY,
WP, 13, 1987090900, , MIWU, 0, 164N, 1390E, 135,  914, ST,
WP, 13, 1987090906, , MIWU, 0, 165N, 1385E, 145,  907, ST,
WP, 13, 1987090912, , MIWU, 0, 167N, 1381E, 140,  905, ST,
WP, 13, 1987090918, , MIWU, 0, 169N, 1378E, 135,  906, ST,
WP, 13, 1987091000, , MIWU, 0, 170N, 1375E, 130,  909, ST,
WP, 13, 1987091006, , MIWU, 0, 172N, 1372E, 125,  912, TY,
WP, 13, 1987091012, , MIWU, 0, 173N, 1371E, 115,  920, TY,
WP, 13, 1987091018, , MIWU, 0, 175N, 1370E, 105,  930, TY,
WP, 13, 1987091100, , MIWU, 0, 177N, 1370E,  95,  940, TY,
WP, 13, 1987091106, , MIWU, 0, 180N, 1371E,  80,  955, TY,
WP, 13, 1987091112, , MIWU, 0, 183N, 1373E,  70,  963, TY,
WP, 13, 1987091118, , MIWU, 0, 186N, 1376E,  60,  971, TS,
WP, 13, 1987091200, , MIWU, 0, 190N, 1379E,  60,  972, TS,
WP, 13, 1987091206, , MIWU, 0, 194N, 1383E,  60,  972, TS,
WP, 13, 1987091212, , MIWU, 0, 198N, 1387E,  70,  968, TY,
WP, 13, 1987091218, , MIWU, 0, 202N, 1390E,  80,  964, TY,
WP, 13, 1987091300, , MIWU, 0, 207N, 1393E,  85,  962, TY,
WP, 13, 1987091306, , MIWU, 0, 213N, 1395E,  90,  960, TY,
WP, 13, 1987091312, , MIWU, 0, 220N, 1397E, 100,  958, TY,
WP, 13, 1987091318, , MIWU, 0, 226N, 1399E, 100,  957, TY,
WP, 13, 1987091400, , MIWU, 0, 233N, 1400E,  95,  960, TY,
WP, 13, 1987091406, , MIWU, 0, 241N, 1400E,  95,  961, TY,
WP, 13, 1987091412, , MIWU, 0, 249N, 1401E,  90,  963, TY,
WP, 13, 1987091418, , MIWU, 0, 257N, 1401E,  80,  967, TY,
WP, 13, 1987091500, , MIWU, 0, 265N, 1399E,  75,  969, TY,
WP, 13, 1987091506, , MIWU, 0, 274N, 1398E,  70,  971, TY,
WP, 13, 1987091512, , MIWU, 0, 284N, 1399E,  65,  973, TY,
WP, 13, 1987091518, , MIWU, 0, 294N, 1400E,  60,  975, TS,
WP, 13, 1987091600, , MIWU, 0, 302N, 1401E,  55,  977, TS,
WP, 13, 1987091606, , MIWU, 0, 310N, 1403E,  55,  978, TS,
WP, 13, 1987091612, , MIWU, 0, 316N, 1407E,  55,  978, TS,
WP, 13, 1987091618, , MIWU, 0, 321N, 1414E,  55,  978, TS,
WP, 13, 1987091700, , MIWU, 0, 326N, 1428E,  60,  976, TS,
WP, 13, 1987091706, , MIWU, 0, 334N, 1446E,  60,  975, TS,
WP, 13, 1987091712, , MIWU, 0, 342N, 1462E,  55,  978, TS,
WP, 13, 1987091718, , MIWU, 0, 350N, 1480E,  50,  981, TS,
WP, 13, 1987091800, , MIWU, 0, 360N, 1500E,  50,  982, TS,
WP, 13, 1987091806, , MIWU, 0, 371N, 1521E,  50,  982, TS,
WP, 13, 1987091812, , MIWU, 0, 383N, 1544E,  55,  980, TS,
WP, 13, 1987091818, , MIWU, 0, 398N, 1570E,  55,  979, TS,
WP, 13, 1987091900, , MIWU, 0, 416N, 1590E,  50,  982, TS,
WP, 13, 1987091906, , MIWU, 0, 439N, 1610E,  50,  984, EX,
WP, 13, 1987091912, , MIWU, 0, 470N, 1630E,  55,  982, EX,
WP, 13, 1987091918, , MIWU, 0, 499N, 1650E,  55,  981, EX,
WP, 13, 1987092000, , MIWU, 0, 522N, 1669E,  45,  986, EX,
