WP, 15, 1987090212, , MIWU, 0, 110N, 1726E,  15, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Holly,
WP, 15, 1987090218, , MIWU, 0, 110N, 1722E,  20, 1008, DB,
WP, 15, 1987090300, , MIWU, 0, 110N, 1717E,  20, 1007, DB,
WP, 15, 1987090306, , MIWU, 0, 110N, 1713E,  20, 1007, DB,
WP, 15, 1987090312, , MIWU, 0, 110N, 1709E,  25, 1004, TD,
WP, 15, 1987090318, , MIWU, 0, 111N, 1705E,  30, 1002, TD,
WP, 15, 1987090400, , MIWU, 0, 112N, 1701E,  30, 1001, TD,
WP, 15, 1987090406, , MIWU, 0, 114N, 1697E,  25, 1003, TD,
WP, 15, 1987090412, , MIWU, 0, 117N, 1694E,  25, 1004, TD,
WP, 15, 1987090418, , MIWU, 0, 119N, 1691E,  30, 1001, TD,
WP, 15, 1987090500, , MIWU, 0, 121N, 1687E,  30, 1000, TD,
WP, 15, 1987090506, , MIWU, 0, 122N, 1683E,  35,  997, TS,
WP, 15, 1987090512, , MIWU, 0, 122N, 1678E,  50,  988, TS,
WP, 15, 1987090518, , MIWU, 0, 123N, 1671E,  60,  980, TS,
WP, 15, 1987090600, , MIWU, 0, 124N, 1662E,  65,  977, TY,
WP, 15, 1987090606, , MIWU, 0, 126N, 1655E,  75,  971, TY,
WP, 15, 1987090612, , MIWU, 0, 129N, 1646E,  80,  968, TY,
WP, 15, 1987090618, , MIWU, 0, 133N, 1637E, 110,  945, TY,
WP, 15, 1987090700, , MIWU, 0, 138N, 1630E, 130,  925, ST,
WP, 15, 1987090706, , MIWU, 0, 143N, 1622E, 160,  900, ST,
WP, 15, 1987090712, , MIWU, 0, 148N, 1614E, 145,  895, ST,
WP, 15, 1987090718, , MIWU, 0, 153N, 1607E, 140,  899, ST,
WP, 15, 1987090800, , MIWU, 0, 158N, 1599E, 150,  895, ST,
WP, 15, 1987090806, , MIWU, 0, 163N, 1592E, 170,  888, ST,
WP, 15, 1987090812, , MIWU, 0, 168N, 1584E, 170,  887, ST,
WP, 15, 1987090818, , MIWU, 0, 173N, 1576E, 165,  886, ST,
WP, 15, 1987090900, , MIWU, 0, 177N, 1567E, 150,  885, ST,
WP, 15, 1987090906, , MIWU, 0, 181N, 1561E, 140,  891, ST,
WP, 15, 1987090912, , MIWU, 0, 184N, 1557E, 130,  901, ST,
WP, 15, 1987090918, , MIWU, 0, 188N, 1555E, 120,  913, TY,
WP, 15, 1987091000, , MIWU, 0, 193N, 1554E, 110,  924, TY,
WP, 15, 1987091006, , MIWU, 0, 200N, 1555E, 115,  922, TY,
WP, 15, 1987091012, , MIWU, 0, 207N, 1556E, 120,  920, TY,
WP, 15, 1987091018, , MIWU, 0, 214N, 1557E, 110,  928, TY,
WP, 15, 1987091100, , MIWU, 0, 222N, 1559E, 105,  932, TY,
WP, 15, 1987091106, , MIWU, 0, 231N, 1560E,  95,  940, TY,
WP, 15, 1987091112, , MIWU, 0, 241N, 1559E,  90,  945, TY,
WP, 15, 1987091118, , MIWU, 0, 250N, 1556E,  90,  947, TY,
WP, 15, 1987091200, , MIWU, 0, 256N, 1552E,  80,  956, TY,
WP, 15, 1987091206, , MIWU, 0, 260N, 1551E,  75,  960, TY,
WP, 15, 1987091212, , MIWU, 0, 263N, 1552E,  70,  964, TY,
WP, 15, 1987091218, , MIWU, 0, 266N, 1554E,  70,  966, TY,
WP, 15, 1987091300, , MIWU, 0, 269N, 1557E,  65,  970, TY,
WP, 15, 1987091306, , MIWU, 0, 271N, 1562E,  60,  974, TS,
WP, 15, 1987091312, , MIWU, 0, 272N, 1568E,  55,  978, TS,
WP, 15, 1987091318, , MIWU, 0, 275N, 1573E,  55,  980, TS,
WP, 15, 1987091400, , MIWU, 0, 280N, 1578E,  55,  980, TS,
WP, 15, 1987091406, , MIWU, 0, 283N, 1583E,  50,  984, TS,
WP, 15, 1987091412, , MIWU, 0, 286N, 1586E,  50,  986, TS,
WP, 15, 1987091418, , MIWU, 0, 288N, 1588E,  50,  987, TS,
WP, 15, 1987091500, , MIWU, 0, 291N, 1589E,  60,  983, TS,
WP, 15, 1987091506, , MIWU, 0, 294N, 1589E,  60,  984, TS,
WP, 15, 1987091512, , MIWU, 0, 297N, 1587E,  50,  989, TS,
WP, 15, 1987091518, , MIWU, 0, 299N, 1584E,  45,  992, TS,
WP, 15, 1987091600, , MIWU, 0, 301N, 1583E,  40,  995, TS,
WP, 15, 1987091606, , MIWU, 0, 304N, 1582E,  45,  993, TS,
WP, 15, 1987091612, , MIWU, 0, 309N, 1582E,  45,  992, TS,
WP, 15, 1987091618, , MIWU, 0, 316N, 1585E,  40,  994, TS,
WP, 15, 1987091700, , MIWU, 0, 323N, 1593E,  40,  995, TS,
WP, 15, 1987091706, , MIWU, 0, 334N, 1598E,  35,  997, TS,
WP, 15, 1987091712, , MIWU, 0, 347N, 1600E,  35,  997, LO,
WP, 15, 1987091718, , MIWU, 0, 364N, 1602E,  35,  996, LO,
WP, 15, 1987091800, , MIWU, 0, 385N, 1607E,  40,  994, LO,
WP, 15, 1987091806, , MIWU, 0, 410N, 1614E,  40,  995, EX,
WP, 15, 1987091812, , MIWU, 0, 438N, 1612E,  35,  997, EX,
WP, 15, 1987091818, , MIWU, 0, 454N, 1603E,  35,  998, EX,
