WP, 80, 1987080918, , MIWU, 0, 263N, 1450E,  25, 1008, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-01,
WP, 80, 1987081000, , MIWU, 0, 272N, 1441E,  30, 1006, LO,
WP, 80, 1987081006, , MIWU, 0, 282N, 1432E,  35, 1004, TS,
WP, 80, 1987081012, , MIWU, 0, 294N, 1425E,  35, 1003, TS,
WP, 80, 1987081018, , MIWU, 0, 305N, 1417E,  40, 1001, TS,
WP, 80, 1987081100, , MIWU, 0, 316N, 1408E,  40, 1000, TS,
WP, 80, 1987081106, , MIWU, 0, 327N, 1405E,  45,  998, TS,
WP, 80, 1987081112, , MIWU, 0, 339N, 1405E,  45,  997, TS,
WP, 80, 1987081118, , MIWU, 0, 349N, 1408E,  45,  997, TS,
WP, 80, 1987081200, , MIWU, 0, 360N, 1415E,  50,  994, TS,
WP, 80, 1987081206, , MIWU, 0, 367N, 1427E,  60,  990, TS,
WP, 80, 1987081212, , MIWU, 0, 370N, 1440E,  55,  992, TS,
WP, 80, 1987081218, , MIWU, 0, 374N, 1453E,  50,  994, TS,
WP, 80, 1987081300, , MIWU, 0, 377N, 1467E,  45,  996, TS,
WP, 80, 1987081306, , MIWU, 0, 379N, 1484E,  45,  996, SS,
WP, 80, 1987081312, , MIWU, 0, 379N, 1502E,  45,  997, SS,
WP, 80, 1987081318, , MIWU, 0, 376N, 1524E,  45,  997, SS,
WP, 80, 1987081400, , MIWU, 0, 374N, 1544E,  45,  997, SS,
WP, 80, 1987081406, , MIWU, 0, 372N, 1563E,  40,  999, SS,
WP, 80, 1987081412, , MIWU, 0, 369N, 1580E,  40,  998, EX,
WP, 80, 1987081418, , MIWU, 0, 368N, 1596E,  40,  998, EX,
WP, 80, 1987081500, , MIWU, 0, 369N, 1609E,  45,  995, EX,
WP, 80, 1987081506, , MIWU, 0, 373N, 1620E,  45,  994, EX,
WP, 80, 1987081512, , MIWU, 0, 379N, 1630E,  40,  996, EX,
WP, 80, 1987081518, , MIWU, 0, 390N, 1640E,  35,  998, EX,
WP, 80, 1987081600, , MIWU, 0, 415N, 1650E,  30, 1000, EX,
WP, 80, 1987081606, , MIWU, 0, 444N, 1656E,  25, 1002, EX,
