WP, 01, 1989010912,   , MIWU, 0, 159N, 1483W,  20, 1011, SD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Winona,
WP, 01, 1989010918,   , MIWU, 0, 162N, 1493W,  20, 1011, SD,
WP, 01, 1989011000,   , MIWU, 0, 164N, 1503W,  20, 1011, SD,
WP, 01, 1989011006,   , MIWU, 0, 166N, 1515W,  20, 1011, SD,
WP, 01, 1989011012,   , MIWU, 0, 168N, 1531W,  20, 1011, SD,
WP, 01, 1989011018,   , MIWU, 0, 172N, 1549W,  20, 1011, SD,
WP, 01, 1989011100,   , MIWU, 0, 179N, 1569W,  20, 1010, SD,
WP, 01, 1989011106,   , MIWU, 0, 187N, 1582W,  20, 1010, SD,
WP, 01, 1989011112,   , MIWU, 0, 195N, 1590W,  20, 1010, SD,
WP, 01, 1989011118,   , MIWU, 0, 200N, 1600W,  25, 1009, SD,
WP, 01, 1989011200,   , MIWU, 0, 204N, 1613W,  25, 1009, SD,
WP, 01, 1989011206,   , MIWU, 0, 206N, 1625W,  25, 1009, SD,
WP, 01, 1989011212,   , MIWU, 0, 208N, 1638W,  25, 1009, SD,
WP, 01, 1989011218,   , MIWU, 0, 210N, 1650W,  25, 1009, TD,
WP, 01, 1989011300,   , MIWU, 0, 211N, 1662W,  30, 1008, TD,
WP, 01, 1989011306,   , MIWU, 0, 211N, 1675W,  35, 1006, TS,
WP, 01, 1989011312,   , MIWU, 0, 210N, 1690W,  35, 1006, TS,
WP, 01, 1989011318,   , MIWU, 0, 209N, 1705W,  30, 1008, TD,
WP, 01, 1989011400,   , MIWU, 0, 209N, 1719W,  30, 1007, TD,
WP, 01, 1989011406,   , MIWU, 0, 209N, 1731W,  30, 1007, TD,
WP, 01, 1989011412,   , MIWU, 0, 209N, 1744W,  35, 1005, TS,
WP, 01, 1989011418,   , MIWU, 0, 210N, 1758W,  35, 1005, TS,
WP, 01, 1989011500,   , MIWU, 0, 210N, 1775W,  35, 1004, TS,
WP, 01, 1989011506,   , MIWU, 0, 209N, 1795W,  35, 1004, TS,
WP, 01, 1989011512,   , MIWU, 0, 207N, 1786E,  30, 1006, TD,
WP, 01, 1989011518,   , MIWU, 0, 202N, 1764E,  30, 1006, TD,
WP, 01, 1989011600,   , MIWU, 0, 196N, 1742E,  30, 1006, TD,
WP, 01, 1989011606,   , MIWU, 0, 187N, 1719E,  30, 1006, TD,
WP, 01, 1989011612,   , MIWU, 0, 180N, 1692E,  30, 1005, TD,
WP, 01, 1989011618,   , MIWU, 0, 175N, 1665E,  30, 1005, TD,
WP, 01, 1989011700,   , MIWU, 0, 171N, 1640E,  35, 1003, TS,
WP, 01, 1989011706,   , MIWU, 0, 170N, 1615E,  35, 1002, TS,
WP, 01, 1989011712,   , MIWU, 0, 169N, 1590E,  30, 1004, TD,
WP, 01, 1989011718,   , MIWU, 0, 169N, 1570E,  30, 1004, TD,
WP, 01, 1989011800,   , MIWU, 0, 169N, 1545E,  35, 1002, TS,
WP, 01, 1989011806,   , MIWU, 0, 168N, 1520E,  40, 1000, TS,
WP, 01, 1989011812,   , MIWU, 0, 166N, 1500E,  45,  998, TS,
WP, 01, 1989011818,   , MIWU, 0, 161N, 1480E,  45,  998, TS,
WP, 01, 1989011900,   , MIWU, 0, 153N, 1456E,  45,  997, TS,
WP, 01, 1989011906,   , MIWU, 0, 146N, 1430E,  40,  999, TS,
WP, 01, 1989011912,   , MIWU, 0, 140N, 1400E,  30, 1003, TD,
WP, 01, 1989011918,   , MIWU, 0, 136N, 1370E,  25, 1005, TD,
WP, 01, 1989012000,   , MIWU, 0, 135N, 1344E,  20, 1007, DB,
WP, 01, 1989012006,   , MIWU, 0, 135N, 1322E,  20, 1007, DB,
WP, 01, 1989012012,   , MIWU, 0, 135N, 1304E,  25, 1005, TD,
WP, 01, 1989012018,   , MIWU, 0, 133N, 1289E,  30, 1003, TD,
WP, 01, 1989012100,   , MIWU, 0, 129N, 1277E,  25, 1004, TD,
WP, 01, 1989012106,   , MIWU, 0, 123N, 1263E,  20, 1006, DB,
WP, 01, 1989012112,   , MIWU, 0, 119N, 1247E,  20, 1006, DB,
WP, 01, 1989012118,   , MIWU, 0, 117N, 1228E,  20, 1007, DB,
WP, 01, 1989012200,   , MIWU, 0, 116N, 1208E,  15, 1009, DB,
