WP, 06, 1989061800,   , MIWU, 0, 160N, 1420E,  20, 1003, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ellis,
WP, 06, 1989061806,   , MIWU, 0, 158N, 1404E,  20, 1003, LO,
WP, 06, 1989061812,   , MIWU, 0, 156N, 1386E,  20, 1003, LO,
WP, 06, 1989061818,   , MIWU, 0, 153N, 1366E,  20, 1003, LO,
WP, 06, 1989061900,   , MIWU, 0, 151N, 1348E,  20, 1002, LO,
WP, 06, 1989061906,   , MIWU, 0, 150N, 1333E,  25, 1000, TD,
WP, 06, 1989061912,   , MIWU, 0, 151N, 1323E,  25,  999, TD,
WP, 06, 1989061918,   , MIWU, 0, 155N, 1314E,  30,  997, TD,
WP, 06, 1989062000,   , MIWU, 0, 159N, 1307E,  30,  997, TD,
WP, 06, 1989062006,   , MIWU, 0, 162N, 1300E,  30,  998, TD,
WP, 06, 1989062012,   , MIWU, 0, 164N, 1291E,  30,  998, TD,
WP, 06, 1989062018,   , MIWU, 0, 166N, 1286E,  25, 1000, LO,
WP, 06, 1989062100,   , MIWU, 0, 167N, 1284E,  25, 1000, LO,
WP, 06, 1989062106,   , MIWU, 0, 169N, 1283E,  25, 1000, LO,
WP, 06, 1989062112,   , MIWU, 0, 171N, 1282E,  30,  998, LO,
WP, 06, 1989062118,   , MIWU, 0, 173N, 1280E,  30,  997, TD,
WP, 06, 1989062200,   , MIWU, 0, 177N, 1278E,  35,  994, TS,
WP, 06, 1989062206,   , MIWU, 0, 182N, 1275E,  35,  994, TS,
WP, 06, 1989062212,   , MIWU, 0, 190N, 1273E,  40,  991, TS,
WP, 06, 1989062218,   , MIWU, 0, 201N, 1273E,  40,  990, TS,
WP, 06, 1989062300,   , MIWU, 0, 214N, 1274E,  40,  990, TS,
WP, 06, 1989062306,   , MIWU, 0, 233N, 1279E,  40,  991, TS,
WP, 06, 1989062312,   , MIWU, 0, 258N, 1288E,  40,  991, TS,
WP, 06, 1989062318,   , MIWU, 0, 296N, 1299E,  50,  985, TS,
WP, 06, 1989062400,   , MIWU, 0, 330N, 1309E,  45,  987, TS,
WP, 06, 1989062406,   , MIWU, 0, 350N, 1318E,  40,  990, EX,
WP, 06, 1989062412,   , MIWU, 0, 366N, 1328E,  35,  992, EX,
WP, 06, 1989062418,   , MIWU, 0, 381N, 1340E,  35,  993, EX,
WP, 06, 1989062500,   , MIWU, 0, 395N, 1346E,  35,  993, EX,
WP, 06, 1989062506,   , MIWU, 0, 407N, 1352E,  30,  995, EX,
WP, 06, 1989062512,   , MIWU, 0, 420N, 1360E,  30,  995, EX,
WP, 06, 1989062518,   , MIWU, 0, 434N, 1372E,  30,  996, EX,
