WP, 08, 1989070912,   , MIWU, 0, 196N, 1574E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gordon,
WP, 08, 1989070918,   , MIWU, 0, 196N, 1563E,  20, 1011, DB,
WP, 08, 1989071000,   , MIWU, 0, 195N, 1551E,  20, 1011, DB,
WP, 08, 1989071006,   , MIWU, 0, 194N, 1537E,  20, 1011, DB,
WP, 08, 1989071012,   , MIWU, 0, 192N, 1522E,  25, 1009, TD,
WP, 08, 1989071018,   , MIWU, 0, 190N, 1506E,  25, 1009, TD,
WP, 08, 1989071100,   , MIWU, 0, 188N, 1490E,  30, 1007, TD,
WP, 08, 1989071106,   , MIWU, 0, 186N, 1475E,  35, 1005, TS,
WP, 08, 1989071112,   , MIWU, 0, 185N, 1460E,  40, 1003, TS,
WP, 08, 1989071118,   , MIWU, 0, 183N, 1446E,  40, 1002, TS,
WP, 08, 1989071200,   , MIWU, 0, 181N, 1432E,  40, 1002, TS,
WP, 08, 1989071206,   , MIWU, 0, 180N, 1417E,  45, 1000, TS,
WP, 08, 1989071212,   , MIWU, 0, 179N, 1403E,  50,  998, TS,
WP, 08, 1989071218,   , MIWU, 0, 178N, 1387E,  55,  995, TS,
WP, 08, 1989071300,   , MIWU, 0, 177N, 1372E,  65,  989, TY,
WP, 08, 1989071306,   , MIWU, 0, 175N, 1355E,  70,  986, TY,
WP, 08, 1989071312,   , MIWU, 0, 171N, 1340E,  75,  982, TY,
WP, 08, 1989071318,   , MIWU, 0, 167N, 1327E,  85,  974, TY,
WP, 08, 1989071400,   , MIWU, 0, 164N, 1315E,  95,  966, TY,
WP, 08, 1989071406,   , MIWU, 0, 163N, 1302E, 105,  958, TY,
WP, 08, 1989071412,   , MIWU, 0, 163N, 1288E, 115,  950, TY,
WP, 08, 1989071418,   , MIWU, 0, 164N, 1275E, 130,  935, ST,
WP, 08, 1989071500,   , MIWU, 0, 166N, 1262E, 155,  910, ST,
WP, 08, 1989071506,   , MIWU, 0, 170N, 1251E, 170,  890, ST,
WP, 08, 1989071512,   , MIWU, 0, 175N, 1240E, 165,  890, ST,
WP, 08, 1989071518,   , MIWU, 0, 179N, 1226E, 150,  900, ST,
WP, 08, 1989071600,   , MIWU, 0, 182N, 1213E, 115,  934, TY,
WP, 08, 1989071606,   , MIWU, 0, 183N, 1201E,  85,  958, TY,
WP, 08, 1989071612,   , MIWU, 0, 185N, 1189E,  80,  961, TY,
WP, 08, 1989071618,   , MIWU, 0, 188N, 1177E,  80,  962, TY,
WP, 08, 1989071700,   , MIWU, 0, 192N, 1166E,  75,  966, TY,
WP, 08, 1989071706,   , MIWU, 0, 197N, 1156E,  70,  970, TY,
WP, 08, 1989071712,   , MIWU, 0, 203N, 1147E,  70,  970, TY,
WP, 08, 1989071718,   , MIWU, 0, 208N, 1136E,  70,  971, TY,
WP, 08, 1989071800,   , MIWU, 0, 212N, 1123E,  65,  974, TY,
WP, 08, 1989071806,   , MIWU, 0, 215N, 1113E,  55,  982, TS,
WP, 08, 1989071812,   , MIWU, 0, 218N, 1102E,  45,  990, TS,
WP, 08, 1989071818,   , MIWU, 0, 222N, 1090E,  35,  996, TS,
WP, 08, 1989071900,   , MIWU, 0, 225N, 1077E,  30,  998, TD,
WP, 08, 1989071906,   , MIWU, 0, 226N, 1063E,  25, 1000, TD,
WP, 08, 1989071912,   , MIWU, 0, 226N, 1048E,  20, 1003, DB,
WP, 08, 1989071918,   , MIWU, 0, 226N, 1032E,  15, 1006, DB,
WP, 08, 1989072000,   , MIWU, 0, 226N, 1014E,  15, 1007, DB,
