WP, 10, 1989071812,   , MIWU, 0,  73N, 1365E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Irving,
WP, 10, 1989071818,   , MIWU, 0,  86N, 1347E,  20, 1005, DB,
WP, 10, 1989071900,   , MIWU, 0,  98N, 1327E,  20, 1005, DB,
WP, 10, 1989071906,   , MIWU, 0, 110N, 1302E,  20, 1004, DB,
WP, 10, 1989071912,   , MIWU, 0, 120N, 1280E,  25, 1002, TD,
WP, 10, 1989071918,   , MIWU, 0, 127N, 1262E,  30, 1000, TD,
WP, 10, 1989072000,   , MIWU, 0, 132N, 1244E,  30,  999, TD,
WP, 10, 1989072006,   , MIWU, 0, 136N, 1227E,  30,  999, TD,
WP, 10, 1989072012,   , MIWU, 0, 140N, 1210E,  30,  998, TD,
WP, 10, 1989072018,   , MIWU, 0, 145N, 1189E,  35,  995, TS,
WP, 10, 1989072100,   , MIWU, 0, 150N, 1169E,  40,  992, TS,
WP, 10, 1989072106,   , MIWU, 0, 151N, 1150E,  45,  989, TS,
WP, 10, 1989072112,   , MIWU, 0, 150N, 1135E,  50,  986, TS,
WP, 10, 1989072118,   , MIWU, 0, 150N, 1123E,  65,  977, TY,
WP, 10, 1989072200,   , MIWU, 0, 153N, 1115E,  60,  979, TS,
WP, 10, 1989072206,   , MIWU, 0, 158N, 1109E,  55,  981, TS,
WP, 10, 1989072212,   , MIWU, 0, 162N, 1102E,  55,  982, TS,
WP, 10, 1989072218,   , MIWU, 0, 166N, 1095E,  65,  976, TY,
WP, 10, 1989072300,   , MIWU, 0, 171N, 1086E,  60,  978, TS,
WP, 10, 1989072306,   , MIWU, 0, 176N, 1078E,  60,  977, TS,
WP, 10, 1989072312,   , MIWU, 0, 181N, 1070E,  70,  971, TY,
WP, 10, 1989072318,   , MIWU, 0, 187N, 1063E,  90,  960, TY,
WP, 10, 1989072400,   , MIWU, 0, 194N, 1057E,  85,  963, TY,
WP, 10, 1989072406,   , MIWU, 0, 200N, 1050E,  55,  986, TS,
WP, 10, 1989072412,   , MIWU, 0, 205N, 1041E,  35,  996, TS,
WP, 10, 1989072418,   , MIWU, 0, 209N, 1033E,  25, 1002, TD,
WP, 10, 1989072500,   , MIWU, 0, 212N, 1025E,  20, 1005, DB,
WP, 10, 1989072506,   , MIWU, 0, 214N, 1017E,  15, 1007, DB,
