WP, 19, 1989081600,   , MIWU, 0, 293N, 1263E,  20, 1008, SD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nineteen-W,
WP, 19, 1989081606,   , MIWU, 0, 298N, 1260E,  20, 1008, SD,
WP, 19, 1989081612,   , MIWU, 0, 301N, 1255E,  20, 1007, SD,
WP, 19, 1989081618,   , MIWU, 0, 299N, 1248E,  20, 1007, SD,
WP, 19, 1989081700,   , MIWU, 0, 293N, 1242E,  25, 1005, SD,
WP, 19, 1989081706,   , MIWU, 0, 287N, 1238E,  25, 1005, SD,
WP, 19, 1989081712,   , MIWU, 0, 281N, 1237E,  25, 1004, SD,
WP, 19, 1989081718,   , MIWU, 0, 276N, 1235E,  25, 1004, SD,
WP, 19, 1989081800,   , MIWU, 0, 273N, 1232E,  30, 1002, TD,
WP, 19, 1989081806,   , MIWU, 0, 272N, 1228E,  30, 1002, TD,
WP, 19, 1989081812,   , MIWU, 0, 272N, 1224E,  30, 1003, TD,
WP, 19, 1989081818,   , MIWU, 0, 271N, 1220E,  25, 1005, TD,
WP, 19, 1989081900,   , MIWU, 0, 270N, 1215E,  25, 1006, TD,
WP, 19, 1989081906,   , MIWU, 0, 269N, 1210E,  20, 1008, DB,
WP, 19, 1989081912,   , MIWU, 0, 268N, 1206E,  20, 1008, DB,
WP, 19, 1989081918,   , MIWU, 0, 267N, 1203E,  20, 1009, DB,
WP, 19, 1989082000,   , MIWU, 0, 267N, 1200E,  15, 1011, DB,
WP, 19, 1989082006,   , MIWU, 0, 268N, 1196E,  15, 1012, DB,
