WP, 22, 1989090312,   , MIWU, 0, 165N, 1570E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sarah,
WP, 22, 1989090318,   , MIWU, 0, 171N, 1557E,  20, 1005, DB,
WP, 22, 1989090400,   , MIWU, 0, 180N, 1540E,  20, 1005, DB,
WP, 22, 1989090406,   , MIWU, 0, 190N, 1520E,  20, 1004, DB,
WP, 22, 1989090412,   , MIWU, 0, 198N, 1500E,  20, 1004, DB,
WP, 22, 1989090418,   , MIWU, 0, 203N, 1485E,  25, 1002, TD,
WP, 22, 1989090500,   , MIWU, 0, 205N, 1470E,  25, 1002, TD,
WP, 22, 1989090506,   , MIWU, 0, 205N, 1457E,  25, 1001, SD,
WP, 22, 1989090512,   , MIWU, 0, 205N, 1443E,  25, 1001, SD,
WP, 22, 1989090518,   , MIWU, 0, 205N, 1430E,  30,  999, SD,
WP, 22, 1989090600,   , MIWU, 0, 205N, 1415E,  30,  998, TD,
WP, 22, 1989090606,   , MIWU, 0, 205N, 1398E,  35,  996, TS,
WP, 22, 1989090612,   , MIWU, 0, 204N, 1383E,  40,  993, TS,
WP, 22, 1989090618,   , MIWU, 0, 203N, 1369E,  40,  992, TS,
WP, 22, 1989090700,   , MIWU, 0, 201N, 1357E,  45,  989, TS,
WP, 22, 1989090706,   , MIWU, 0, 202N, 1344E,  55,  983, TS,
WP, 22, 1989090712,   , MIWU, 0, 205N, 1330E,  65,  977, TY,
WP, 22, 1989090718,   , MIWU, 0, 209N, 1314E,  65,  976, TY,
WP, 22, 1989090800,   , MIWU, 0, 212N, 1294E,  60,  979, TS,
WP, 22, 1989090806,   , MIWU, 0, 209N, 1270E,  50,  986, TS,
WP, 22, 1989090812,   , MIWU, 0, 197N, 1254E,  50,  985, TS,
WP, 22, 1989090818,   , MIWU, 0, 185N, 1247E,  55,  982, TS,
WP, 22, 1989090900,   , MIWU, 0, 180N, 1243E,  55,  983, TS,
WP, 22, 1989090906,   , MIWU, 0, 179N, 1239E,  55,  983, TS,
WP, 22, 1989090912,   , MIWU, 0, 180N, 1237E,  60,  980, TS,
WP, 22, 1989090918,   , MIWU, 0, 184N, 1237E,  60,  978, TS,
WP, 22, 1989091000,   , MIWU, 0, 190N, 1238E,  65,  974, TY,
WP, 22, 1989091006,   , MIWU, 0, 197N, 1238E,  70,  970, TY,
WP, 22, 1989091012,   , MIWU, 0, 205N, 1236E,  90,  947, TY,
WP, 22, 1989091018,   , MIWU, 0, 211N, 1232E, 105,  938, TY,
WP, 22, 1989091100,   , MIWU, 0, 218N, 1229E, 120,  932, TY,
WP, 22, 1989091106,   , MIWU, 0, 226N, 1226E, 125,  930, TY,
WP, 22, 1989091112,   , MIWU, 0, 234N, 1221E, 115,  936, TY,
WP, 22, 1989091115,   , MIWU, 0, 236N, 1216E, 100,  948, TY,
WP, 22, 1989091118,   , MIWU, 0, 237N, 1214E,  85,  960, TY,
WP, 22, 1989091121,   , MIWU, 0, 238N, 1214E,  70,  969, TY,
WP, 22, 1989091200,   , MIWU, 0, 240N, 1217E,  55,  978, TS,
WP, 22, 1989091206,   , MIWU, 0, 243N, 1217E,  55,  979, TS,
WP, 22, 1989091212,   , MIWU, 0, 247N, 1215E,  50,  982, TS,
WP, 22, 1989091218,   , MIWU, 0, 251N, 1211E,  45,  986, TS,
WP, 22, 1989091300,   , MIWU, 0, 256N, 1205E,  40,  990, TS,
WP, 22, 1989091306,   , MIWU, 0, 261N, 1200E,  35,  993, TS,
WP, 22, 1989091312,   , MIWU, 0, 265N, 1197E,  30,  996, TD,
WP, 22, 1989091318,   , MIWU, 0, 268N, 1196E,  20, 1000, DB,
WP, 22, 1989091400,   , MIWU, 0, 270N, 1197E,  15, 1002, DB,
WP, 22, 1989091406,   , MIWU, 0, 271N, 1199E,  15, 1003, DB,
