WP, 28, 1989093006,   , MIWU, 0, 121N, 1560E,  20, 1003, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Colleen,
WP, 28, 1989093012,   , MIWU, 0, 124N, 1554E,  20, 1003, DB,
WP, 28, 1989093018,   , MIWU, 0, 128N, 1548E,  20, 1002, DB,
WP, 28, 1989100100,   , MIWU, 0, 130N, 1540E,  20, 1002, DB,
WP, 28, 1989100106,   , MIWU, 0, 130N, 1530E,  25, 1000, TD,
WP, 28, 1989100112,   , MIWU, 0, 128N, 1519E,  25,  999, TD,
WP, 28, 1989100118,   , MIWU, 0, 123N, 1509E,  30,  996, TD,
WP, 28, 1989100200,   , MIWU, 0, 119N, 1500E,  35,  993, TS,
WP, 28, 1989100206,   , MIWU, 0, 120N, 1491E,  40,  990, TS,
WP, 28, 1989100212,   , MIWU, 0, 126N, 1485E,  45,  987, TS,
WP, 28, 1989100218,   , MIWU, 0, 134N, 1482E,  50,  984, TS,
WP, 28, 1989100300,   , MIWU, 0, 143N, 1478E,  55,  980, TS,
WP, 28, 1989100306,   , MIWU, 0, 153N, 1474E,  60,  976, TS,
WP, 28, 1989100312,   , MIWU, 0, 162N, 1469E,  65,  972, TY,
WP, 28, 1989100318,   , MIWU, 0, 171N, 1464E,  70,  968, TY,
WP, 28, 1989100400,   , MIWU, 0, 180N, 1460E,  75,  964, TY,
WP, 28, 1989100406,   , MIWU, 0, 188N, 1454E,  80,  960, TY,
WP, 28, 1989100412,   , MIWU, 0, 195N, 1449E,  80,  958, TY,
WP, 28, 1989100418,   , MIWU, 0, 201N, 1446E,  85,  954, TY,
WP, 28, 1989100500,   , MIWU, 0, 207N, 1444E,  90,  950, TY,
WP, 28, 1989100506,   , MIWU, 0, 213N, 1441E,  95,  946, TY,
WP, 28, 1989100512,   , MIWU, 0, 220N, 1438E, 100,  942, TY,
WP, 28, 1989100518,   , MIWU, 0, 228N, 1433E, 100,  944, TY,
WP, 28, 1989100600,   , MIWU, 0, 238N, 1426E,  90,  950, TY,
WP, 28, 1989100606,   , MIWU, 0, 246N, 1416E,  85,  953, TY,
WP, 28, 1989100612,   , MIWU, 0, 254N, 1409E,  80,  956, TY,
WP, 28, 1989100618,   , MIWU, 0, 263N, 1406E,  75,  959, TY,
WP, 28, 1989100700,   , MIWU, 0, 275N, 1408E,  75,  959, TY,
WP, 28, 1989100706,   , MIWU, 0, 290N, 1415E,  75,  958, TY,
WP, 28, 1989100712,   , MIWU, 0, 309N, 1428E,  80,  955, TY,
WP, 28, 1989100718,   , MIWU, 0, 331N, 1452E,  80,  956, TY,
WP, 28, 1989100800,   , MIWU, 0, 360N, 1485E,  75,  959, TY,
WP, 28, 1989100806,   , MIWU, 0, 398N, 1527E,  70,  962, TY,
WP, 28, 1989100812,   , MIWU, 0, 446N, 1580E,  65,  965, EX,
WP, 28, 1989100818,   , MIWU, 0, 497N, 1620E,  60,  968, EX,
WP, 28, 1989100900,   , MIWU, 0, 545N, 1652E,  60,  968, EX,
WP, 28, 1989100906,   , MIWU, 0, 575N, 1674E,  60,  966, EX,
WP, 28, 1989100912,   , MIWU, 0, 590N, 1703E,  65,  962, EX,
WP, 28, 1989100918,   , MIWU, 0, 600N, 1743E,  70,  958, EX,
WP, 28, 1989101000,   , MIWU, 0, 604N, 1791E,  70,  956, EX,
WP, 28, 1989101006,   , MIWU, 0, 606N, 1756W,  65,  956, EX,
WP, 28, 1989101012,   , MIWU, 0, 606N, 1702W,  60,  960, EX,
WP, 28, 1989101018,   , MIWU, 0, 605N, 1645W,  50,  968, EX,
WP, 28, 1989101100,   , MIWU, 0, 605N, 1583W,  40,  976, EX,
WP, 28, 1989101106,   , MIWU, 0, 606N, 1510W,  30,  985, EX,
