WP, 31, 1989102012,   , MIWU, 0,  64N, 1539E,  20, 1003, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Forrest,
WP, 31, 1989102018,   , MIWU, 0,  72N, 1535E,  20, 1003, DB,
WP, 31, 1989102100,   , MIWU, 0,  78N, 1530E,  20, 1003, DB,
WP, 31, 1989102106,   , MIWU, 0,  83N, 1524E,  20, 1002, DB,
WP, 31, 1989102112,   , MIWU, 0,  87N, 1518E,  20, 1002, DB,
WP, 31, 1989102118,   , MIWU, 0,  91N, 1511E,  25, 1000, TD,
WP, 31, 1989102200,   , MIWU, 0,  95N, 1504E,  30,  998, TD,
WP, 31, 1989102206,   , MIWU, 0, 100N, 1498E,  35,  995, TS,
WP, 31, 1989102212,   , MIWU, 0, 107N, 1492E,  35,  994, TS,
WP, 31, 1989102218,   , MIWU, 0, 114N, 1485E,  40,  991, TS,
WP, 31, 1989102300,   , MIWU, 0, 121N, 1479E,  40,  991, TS,
WP, 31, 1989102306,   , MIWU, 0, 128N, 1475E,  40,  990, TS,
WP, 31, 1989102312,   , MIWU, 0, 134N, 1471E,  45,  986, TS,
WP, 31, 1989102318,   , MIWU, 0, 140N, 1466E,  50,  982, TS,
WP, 31, 1989102400,   , MIWU, 0, 146N, 1461E,  50,  980, TS,
WP, 31, 1989102406,   , MIWU, 0, 151N, 1454E,  55,  976, TS,
WP, 31, 1989102412,   , MIWU, 0, 156N, 1445E,  60,  972, TS,
WP, 31, 1989102418,   , MIWU, 0, 160N, 1436E,  65,  968, TY,
WP, 31, 1989102500,   , MIWU, 0, 165N, 1427E,  70,  964, TY,
WP, 31, 1989102506,   , MIWU, 0, 172N, 1418E,  75,  960, TY,
WP, 31, 1989102512,   , MIWU, 0, 179N, 1410E,  85,  952, TY,
WP, 31, 1989102518,   , MIWU, 0, 186N, 1404E,  95,  944, TY,
WP, 31, 1989102600,   , MIWU, 0, 194N, 1397E,  90,  947, TY,
WP, 31, 1989102606,   , MIWU, 0, 202N, 1391E,  95,  945, TY,
WP, 31, 1989102612,   , MIWU, 0, 210N, 1385E, 105,  940, TY,
WP, 31, 1989102618,   , MIWU, 0, 217N, 1380E, 120,  933, TY,
WP, 31, 1989102700,   , MIWU, 0, 225N, 1376E, 115,  935, TY,
WP, 31, 1989102706,   , MIWU, 0, 234N, 1373E, 110,  937, TY,
WP, 31, 1989102712,   , MIWU, 0, 245N, 1373E, 105,  940, TY,
WP, 31, 1989102718,   , MIWU, 0, 258N, 1374E, 100,  943, TY,
WP, 31, 1989102800,   , MIWU, 0, 271N, 1378E,  90,  949, TY,
WP, 31, 1989102806,   , MIWU, 0, 284N, 1385E,  80,  955, TY,
WP, 31, 1989102812,   , MIWU, 0, 299N, 1403E,  75,  958, TY,
WP, 31, 1989102818,   , MIWU, 0, 319N, 1438E,  70,  961, TY,
WP, 31, 1989102900,   , MIWU, 0, 338N, 1485E,  65,  964, EX,
WP, 31, 1989102906,   , MIWU, 0, 370N, 1540E,  65,  962, EX,
WP, 31, 1989102912,   , MIWU, 0, 405N, 1580E,  75,  954, EX,
WP, 31, 1989102918,   , MIWU, 0, 440N, 1607E,  85,  946, EX,
WP, 31, 1989103000,   , MIWU, 0, 462N, 1629E,  85,  944, EX,
WP, 31, 1989103006,   , MIWU, 0, 466N, 1637E,  80,  944, EX,
WP, 31, 1989103012,   , MIWU, 0, 465N, 1648E,  75,  947, EX,
WP, 31, 1989103018,   , MIWU, 0, 463N, 1666E,  70,  950, EX,
WP, 31, 1989103100,   , MIWU, 0, 461N, 1694E,  65,  954, EX,
WP, 31, 1989103106,   , MIWU, 0, 461N, 1726E,  60,  958, EX,
WP, 31, 1989103112,   , MIWU, 0, 465N, 1759E,  55,  962, EX,
WP, 31, 1989103118,   , MIWU, 0, 471N, 1794E,  45,  970, EX,
WP, 31, 1989110100,   , MIWU, 0, 480N, 1770W,  40,  975, EX,
WP, 31, 1989110106,   , MIWU, 0, 486N, 1734W,  35,  980, EX,
WP, 31, 1989110112,   , MIWU, 0, 488N, 1697W,  35,  980, EX,
WP, 31, 1989110118,   , MIWU, 0, 487N, 1664W,  30,  985, EX,
WP, 31, 1989110200,   , MIWU, 0, 484N, 1632W,  30,  986, EX,
WP, 31, 1989110206,   , MIWU, 0, 483N, 1606W,  25,  990, EX,
WP, 31, 1989110212,   , MIWU, 0, 485N, 1586W,  25,  992, EX,
