WP, 32, 1989103112,   , MIWU, 0,  72N, 1052E,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gay,
WP, 32, 1989103118,   , MIWU, 0,  74N, 1047E,  20, 1010, DB,
WP, 32, 1989110100,   , MIWU, 0,  75N, 1042E,  25, 1008, TD,
WP, 32, 1989110106,   , MIWU, 0,  76N, 1037E,  30, 1006, TD,
WP, 32, 1989110112,   , MIWU, 0,  78N, 1032E,  40, 1002, TS,
WP, 32, 1989110118,   , MIWU, 0,  80N, 1027E,  50,  998, TS,
WP, 32, 1989110200,   , MIWU, 0,  82N, 1023E,  55,  996, TS,
WP, 32, 1989110206,   , MIWU, 0,  83N, 1020E,  60,  993, TS,
WP, 32, 1989110212,   , MIWU, 0,  85N, 1018E,  70,  987, TY,
WP, 32, 1989110218,   , MIWU, 0,  89N, 1016E,  85,  976, TY,
WP, 32, 1989110300,   , MIWU, 0,  94N, 1014E,  95,  968, TY,
WP, 32, 1989110306,   , MIWU, 0,  98N, 1011E, 105,  960, TY,
WP, 32, 1989110312,   , MIWU, 0, 102N, 1008E, 120,  945, TY,
WP, 32, 1989110318,   , MIWU, 0, 104N, 1003E, 135,  930, ST,
WP, 32, 1989110321,   , MIWU, 0, 105N, 1000E, 150,  918, ST,
WP, 32, 1989110400,   , MIWU, 0, 106N,  997E, 155,  915, ST,
WP, 32, 1989110406,   , MIWU, 0, 108N,  990E, 110,  955, TY,
WP, 32, 1989110412,   , MIWU, 0, 110N,  983E,  90,  971, TY,
WP, 32, 1989110418,   , MIWU, 0, 112N,  976E,  85,  977, TY,
WP, 32, 1989110500,   , MIWU, 0, 114N,  968E,  95,  973, TY,
WP, 32, 1989110506,   , MIWU, 0, 117N,  959E, 100,  970, TY,
WP, 32, 1989110512,   , MIWU, 0, 120N,  949E,  90,  974, TY,
WP, 32, 1989110518,   , MIWU, 0, 122N,  938E,  80,  978, TY,
WP, 32, 1989110600,   , MIWU, 0, 125N,  926E,  75,  981, TY,
WP, 32, 1989110606,   , MIWU, 0, 129N,  914E,  85,  976, TY,
WP, 32, 1989110612,   , MIWU, 0, 133N,  902E,  95,  970, TY,
WP, 32, 1989110618,   , MIWU, 0, 136N,  891E, 105,  964, TY,
WP, 32, 1989110700,   , MIWU, 0, 139N,  881E, 110,  960, TY,
WP, 32, 1989110706,   , MIWU, 0, 142N,  871E, 110,  960, TY,
WP, 32, 1989110712,   , MIWU, 0, 145N,  861E, 115,  955, TY,
WP, 32, 1989110718,   , MIWU, 0, 146N,  850E, 120,  950, TY,
WP, 32, 1989110800,   , MIWU, 0, 146N,  838E, 130,  940, ST,
WP, 32, 1989110806,   , MIWU, 0, 146N,  826E, 145,  925, ST,
WP, 32, 1989110809,   , MIWU, 0, 146N,  820E, 155,  916, ST,
WP, 32, 1989110812,   , MIWU, 0, 147N,  815E, 150,  918, ST,
WP, 32, 1989110818,   , MIWU, 0, 148N,  804E, 135,  930, ST,
WP, 32, 1989110900,   , MIWU, 0, 151N,  791E,  75,  980, TY,
WP, 32, 1989110906,   , MIWU, 0, 154N,  777E,  45,  994, TS,
WP, 32, 1989110912,   , MIWU, 0, 158N,  765E,  30, 1000, TD,
WP, 32, 1989110918,   , MIWU, 0, 166N,  755E,  20, 1004, DB,
WP, 32, 1989111000,   , MIWU, 0, 175N,  746E,  15, 1006, DB,
WP, 32, 1989111006,   , MIWU, 0, 182N,  739E,  15, 1007, DB,
