WP, 36, 1989122018,   , MIWU, 0,  56N, 1558E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jack,
WP, 36, 1989122100,   , MIWU, 0,  58N, 1561E,  20, 1007, DB,
WP, 36, 1989122106,   , MIWU, 0,  60N, 1562E,  20, 1007, DB,
WP, 36, 1989122112,   , MIWU, 0,  63N, 1561E,  20, 1006, DB,
WP, 36, 1989122118,   , MIWU, 0,  67N, 1558E,  25, 1004, TD,
WP, 36, 1989122200,   , MIWU, 0,  72N, 1554E,  25, 1003, TD,
WP, 36, 1989122206,   , MIWU, 0,  78N, 1549E,  30, 1001, TD,
WP, 36, 1989122212,   , MIWU, 0,  86N, 1543E,  35,  999, TS,
WP, 36, 1989122218,   , MIWU, 0,  94N, 1535E,  40,  996, TS,
WP, 36, 1989122300,   , MIWU, 0, 102N, 1527E,  45,  993, TS,
WP, 36, 1989122306,   , MIWU, 0, 110N, 1520E,  45,  992, TS,
WP, 36, 1989122312,   , MIWU, 0, 115N, 1514E,  50,  989, TS,
WP, 36, 1989122318,   , MIWU, 0, 119N, 1509E,  60,  983, TS,
WP, 36, 1989122400,   , MIWU, 0, 123N, 1505E,  70,  977, TY,
WP, 36, 1989122406,   , MIWU, 0, 126N, 1501E,  80,  971, TY,
WP, 36, 1989122412,   , MIWU, 0, 128N, 1497E,  90,  968, TY,
WP, 36, 1989122418,   , MIWU, 0, 129N, 1493E, 105,  956, TY,
WP, 36, 1989122500,   , MIWU, 0, 131N, 1490E, 120,  944, TY,
WP, 36, 1989122506,   , MIWU, 0, 134N, 1487E, 130,  936, ST,
WP, 36, 1989122512,   , MIWU, 0, 137N, 1484E, 145,  924, ST,
WP, 36, 1989122518,   , MIWU, 0, 138N, 1482E, 145,  922, ST,
WP, 36, 1989122600,   , MIWU, 0, 139N, 1482E, 140,  924, ST,
WP, 36, 1989122606,   , MIWU, 0, 140N, 1481E, 125,  933, TY,
WP, 36, 1989122612,   , MIWU, 0, 140N, 1480E, 115,  940, TY,
WP, 36, 1989122618,   , MIWU, 0, 139N, 1480E, 100,  952, TY,
WP, 36, 1989122700,   , MIWU, 0, 137N, 1479E,  85,  964, TY,
WP, 36, 1989122706,   , MIWU, 0, 135N, 1476E,  70,  976, TY,
WP, 36, 1989122712,   , MIWU, 0, 137N, 1472E,  50,  992, TS,
WP, 36, 1989122718,   , MIWU, 0, 141N, 1467E,  30, 1005, TD,
WP, 36, 1989122800,   , MIWU, 0, 145N, 1460E,  15, 1012, DB,
