CP, 01, 1990080618,   , MIWU, 0, 101N, 1460W,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Aka,
CP, 01, 1990080700,   , MIWU, 0, 102N, 1470W,  20, 1011, DB,
CP, 01, 1990080706,   , MIWU, 0, 103N, 1481W,  20, 1010, DB,
CP, 01, 1990080712,   , MIWU, 0, 104N, 1490W,  20, 1010, DB,
CP, 01, 1990080718,   , MIWU, 0, 105N, 1502W,  25, 1008, TD,
CP, 01, 1990080800,   , MIWU, 0, 106N, 1515W,  25, 1008, TD,
CP, 01, 1990080806,   , MIWU, 0, 108N, 1528W,  30, 1006, TD,
CP, 01, 1990080812,   , MIWU, 0, 111N, 1541W,  30, 1006, TD,
CP, 01, 1990080818,   , MIWU, 0, 114N, 1552W,  30, 1006, TD,
CP, 01, 1990080900,   , MIWU, 0, 117N, 1562W,  35, 1004, TS,
CP, 01, 1990080906,   , MIWU, 0, 118N, 1573W,  40, 1002, TS,
CP, 01, 1990080912,   , MIWU, 0, 117N, 1586W,  45, 1000, TS,
CP, 01, 1990080918,   , MIWU, 0, 115N, 1601W,  50,  998, TS,
CP, 01, 1990081000,   , MIWU, 0, 113N, 1617W,  55,  997, TS,
CP, 01, 1990081006,   , MIWU, 0, 112N, 1632W,  50,  999, TS,
CP, 01, 1990081012,   , MIWU, 0, 113N, 1648W,  50, 1000, TS,
CP, 01, 1990081018,   , MIWU, 0, 117N, 1664W,  45, 1002, TS,
CP, 01, 1990081100,   , MIWU, 0, 123N, 1678W,  40, 1004, TS,
CP, 01, 1990081106,   , MIWU, 0, 128N, 1691W,  30, 1008, TD,
CP, 01, 1990081112,   , MIWU, 0, 131N, 1702W,  30, 1008, TD,
CP, 01, 1990081118,   , MIWU, 0, 134N, 1713W,  35, 1006, TS,
CP, 01, 1990081200,   , MIWU, 0, 138N, 1724W,  35, 1006, TS,
CP, 01, 1990081206,   , MIWU, 0, 141N, 1736W,  40, 1004, TS,
CP, 01, 1990081212,   , MIWU, 0, 144N, 1749W,  40, 1004, TS,
CP, 01, 1990081218,   , MIWU, 0, 147N, 1762W,  40, 1004, TS,
CP, 01, 1990081300,   , MIWU, 0, 149N, 1778W,  45, 1002, TS,
CP, 01, 1990081306,   , MIWU, 0, 149N, 1794W,  40, 1004, TS,
CP, 01, 1990081312,   , MIWU, 0, 149N, 1789E,  40, 1004, TS,
CP, 01, 1990081318,   , MIWU, 0, 151N, 1770E,  35, 1006, TS,
CP, 01, 1990081400,   , MIWU, 0, 152N, 1754E,  30, 1008, TD,
CP, 01, 1990081406,   , MIWU, 0, 154N, 1741E,  25, 1010, TD,
CP, 01, 1990081412,   , MIWU, 0, 159N, 1730E,  25, 1010, TD,
CP, 01, 1990081418,   , MIWU, 0, 163N, 1720E,  20, 1011, DB,
CP, 01, 1990081500,   , MIWU, 0, 166N, 1707E,  20, 1011, DB,
CP, 01, 1990081506,   , MIWU, 0, 168N, 1692E,  20, 1011, DB,
CP, 01, 1990081512,   , MIWU, 0, 169N, 1677E,  15, 1012, DB,
