WP, 05, 1990061212,   , MIWU, 0,  84N, 1316E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nathan,
WP, 05, 1990061218,   , MIWU, 0,  85N, 1309E,  20, 1004, DB,
WP, 05, 1990061300,   , MIWU, 0,  88N, 1300E,  20, 1003, DB,
WP, 05, 1990061306,   , MIWU, 0,  93N, 1290E,  20, 1003, DB,
WP, 05, 1990061312,   , MIWU, 0, 101N, 1280E,  25, 1001, TD,
WP, 05, 1990061318,   , MIWU, 0, 110N, 1270E,  25, 1000, TD,
WP, 05, 1990061400,   , MIWU, 0, 121N, 1258E,  30,  998, TD,
WP, 05, 1990061406,   , MIWU, 0, 133N, 1244E,  35,  996, TS,
WP, 05, 1990061412,   , MIWU, 0, 145N, 1229E,  40,  993, TS,
WP, 05, 1990061418,   , MIWU, 0, 156N, 1210E,  40,  994, TS,
WP, 05, 1990061500,   , MIWU, 0, 166N, 1190E,  40,  993, TS,
WP, 05, 1990061506,   , MIWU, 0, 174N, 1171E,  40,  993, TS,
WP, 05, 1990061512,   , MIWU, 0, 178N, 1154E,  45,  990, TS,
WP, 05, 1990061518,   , MIWU, 0, 177N, 1140E,  45,  990, TS,
WP, 05, 1990061600,   , MIWU, 0, 175N, 1129E,  45,  989, TS,
WP, 05, 1990061606,   , MIWU, 0, 174N, 1122E,  45,  989, TS,
WP, 05, 1990061612,   , MIWU, 0, 174N, 1120E,  45,  989, TS,
WP, 05, 1990061618,   , MIWU, 0, 176N, 1118E,  50,  986, TS,
WP, 05, 1990061700,   , MIWU, 0, 180N, 1117E,  50,  985, TS,
WP, 05, 1990061706,   , MIWU, 0, 186N, 1116E,  55,  982, TS,
WP, 05, 1990061712,   , MIWU, 0, 192N, 1114E,  55,  981, TS,
WP, 05, 1990061718,   , MIWU, 0, 198N, 1111E,  55,  981, TS,
WP, 05, 1990061800,   , MIWU, 0, 205N, 1105E,  50,  983, TS,
WP, 05, 1990061806,   , MIWU, 0, 212N, 1096E,  45,  986, TS,
WP, 05, 1990061812,   , MIWU, 0, 218N, 1086E,  40,  989, TS,
WP, 05, 1990061818,   , MIWU, 0, 223N, 1075E,  30,  995, TD,
WP, 05, 1990061900,   , MIWU, 0, 228N, 1064E,  25,  998, TD,
WP, 05, 1990061906,   , MIWU, 0, 232N, 1052E,  20, 1001, DB,
WP, 05, 1990061912,   , MIWU, 0, 235N, 1040E,  15, 1004, DB,
