WP, 10, 1990072506,   , MIWU, 0, 205N, 1216E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Tasha,
WP, 10, 1990072512,   , MIWU, 0, 203N, 1206E,  20, 1009, DB,
WP, 10, 1990072518,   , MIWU, 0, 202N, 1199E,  20, 1009, DB,
WP, 10, 1990072600,   , MIWU, 0, 200N, 1196E,  20, 1008, DB,
WP, 10, 1990072606,   , MIWU, 0, 199N, 1195E,  20, 1008, DB,
WP, 10, 1990072612,   , MIWU, 0, 198N, 1196E,  25, 1006, TD,
WP, 10, 1990072618,   , MIWU, 0, 196N, 1197E,  25, 1006, TD,
WP, 10, 1990072700,   , MIWU, 0, 193N, 1199E,  25, 1005, TD,
WP, 10, 1990072706,   , MIWU, 0, 189N, 1199E,  25, 1005, TD,
WP, 10, 1990072712,   , MIWU, 0, 186N, 1197E,  30, 1003, TD,
WP, 10, 1990072718,   , MIWU, 0, 184N, 1192E,  30, 1002, TD,
WP, 10, 1990072800,   , MIWU, 0, 184N, 1184E,  35,  999, TS,
WP, 10, 1990072806,   , MIWU, 0, 184N, 1178E,  35,  998, TS,
WP, 10, 1990072812,   , MIWU, 0, 185N, 1174E,  40,  995, TS,
WP, 10, 1990072818,   , MIWU, 0, 187N, 1171E,  45,  992, TS,
WP, 10, 1990072900,   , MIWU, 0, 189N, 1169E,  45,  992, TS,
WP, 10, 1990072906,   , MIWU, 0, 188N, 1166E,  45,  991, TS,
WP, 10, 1990072912,   , MIWU, 0, 188N, 1162E,  50,  988, TS,
WP, 10, 1990072918,   , MIWU, 0, 190N, 1160E,  50,  987, TS,
WP, 10, 1990073000,   , MIWU, 0, 194N, 1159E,  55,  984, TS,
WP, 10, 1990073006,   , MIWU, 0, 201N, 1158E,  65,  976, TY,
WP, 10, 1990073012,   , MIWU, 0, 213N, 1158E,  70,  972, TY,
WP, 10, 1990073018,   , MIWU, 0, 224N, 1157E,  70,  972, TY,
WP, 10, 1990073100,   , MIWU, 0, 236N, 1152E,  60,  978, TS,
WP, 10, 1990073106,   , MIWU, 0, 249N, 1148E,  45,  988, TS,
WP, 10, 1990073112,   , MIWU, 0, 255N, 1145E,  30,  996, TD,
WP, 10, 1990073118,   , MIWU, 0, 260N, 1145E,  25,  998, TD,
WP, 10, 1990080100,   , MIWU, 0, 263N, 1146E,  20, 1000, DB,
WP, 10, 1990080106,   , MIWU, 0, 265N, 1148E,  15, 1002, DB,
WP, 10, 1990080112,   , MIWU, 0, 266N, 1151E,  15, 1003, DB,
