WP, 11, 1990072706,   , MIWU, 0, 174N, 1332E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vernon,
WP, 11, 1990072712,   , MIWU, 0, 173N, 1336E,  20, 1009, DB,
WP, 11, 1990072718,   , MIWU, 0, 172N, 1340E,  20, 1009, DB,
WP, 11, 1990072800,   , MIWU, 0, 173N, 1344E,  20, 1009, DB,
WP, 11, 1990072806,   , MIWU, 0, 174N, 1347E,  25, 1007, TD,
WP, 11, 1990072812,   , MIWU, 0, 175N, 1350E,  25, 1006, TD,
WP, 11, 1990072818,   , MIWU, 0, 176N, 1353E,  30, 1004, TD,
WP, 11, 1990072900,   , MIWU, 0, 178N, 1357E,  30, 1003, TD,
WP, 11, 1990072906,   , MIWU, 0, 181N, 1362E,  35, 1001, TS,
WP, 11, 1990072912,   , MIWU, 0, 184N, 1366E,  40,  999, TS,
WP, 11, 1990072918,   , MIWU, 0, 188N, 1369E,  50,  993, TS,
WP, 11, 1990073000,   , MIWU, 0, 192N, 1370E,  60,  987, TS,
WP, 11, 1990073006,   , MIWU, 0, 195N, 1371E,  70,  981, TY,
WP, 11, 1990073012,   , MIWU, 0, 198N, 1374E,  75,  978, TY,
WP, 11, 1990073018,   , MIWU, 0, 201N, 1378E,  80,  974, TY,
WP, 11, 1990073100,   , MIWU, 0, 205N, 1384E,  90,  966, TY,
WP, 11, 1990073106,   , MIWU, 0, 212N, 1388E,  95,  962, TY,
WP, 11, 1990073112,   , MIWU, 0, 219N, 1391E, 100,  958, TY,
WP, 11, 1990073118,   , MIWU, 0, 228N, 1392E, 105,  954, TY,
WP, 11, 1990080100,   , MIWU, 0, 238N, 1392E, 110,  950, TY,
WP, 11, 1990080106,   , MIWU, 0, 247N, 1392E, 115,  945, TY,
WP, 11, 1990080112,   , MIWU, 0, 257N, 1393E, 105,  945, TY,
WP, 11, 1990080118,   , MIWU, 0, 266N, 1394E,  95,  950, TY,
WP, 11, 1990080200,   , MIWU, 0, 275N, 1393E,  85,  956, TY,
WP, 11, 1990080206,   , MIWU, 0, 284N, 1393E,  80,  959, TY,
WP, 11, 1990080212,   , MIWU, 0, 292N, 1394E,  75,  962, TY,
WP, 11, 1990080218,   , MIWU, 0, 300N, 1396E,  75,  963, TY,
WP, 11, 1990080300,   , MIWU, 0, 307N, 1397E,  75,  962, TY,
WP, 11, 1990080306,   , MIWU, 0, 313N, 1399E,  75,  962, TY,
WP, 11, 1990080312,   , MIWU, 0, 319N, 1401E,  75,  962, TY,
WP, 11, 1990080318,   , MIWU, 0, 324N, 1404E,  70,  965, TY,
WP, 11, 1990080400,   , MIWU, 0, 328N, 1408E,  70,  966, TY,
WP, 11, 1990080406,   , MIWU, 0, 331N, 1412E,  65,  969, TY,
WP, 11, 1990080412,   , MIWU, 0, 332N, 1417E,  65,  970, TY,
WP, 11, 1990080418,   , MIWU, 0, 333N, 1422E,  60,  973, TS,
WP, 11, 1990080500,   , MIWU, 0, 335N, 1427E,  60,  973, TS,
WP, 11, 1990080506,   , MIWU, 0, 337N, 1432E,  60,  974, TS,
WP, 11, 1990080512,   , MIWU, 0, 337N, 1437E,  55,  977, TS,
WP, 11, 1990080518,   , MIWU, 0, 337N, 1441E,  55,  977, TS,
WP, 11, 1990080600,   , MIWU, 0, 338N, 1445E,  55,  978, TS,
WP, 11, 1990080606,   , MIWU, 0, 339N, 1450E,  55,  978, TS,
WP, 11, 1990080612,   , MIWU, 0, 340N, 1455E,  55,  977, TS,
WP, 11, 1990080618,   , MIWU, 0, 342N, 1460E,  60,  975, TS,
WP, 11, 1990080700,   , MIWU, 0, 346N, 1465E,  60,  974, TS,
WP, 11, 1990080706,   , MIWU, 0, 351N, 1470E,  55,  977, TS,
WP, 11, 1990080712,   , MIWU, 0, 356N, 1475E,  50,  980, TS,
WP, 11, 1990080718,   , MIWU, 0, 362N, 1482E,  45,  983, TS,
WP, 11, 1990080800,   , MIWU, 0, 370N, 1495E,  40,  986, TS,
WP, 11, 1990080806,   , MIWU, 0, 377N, 1516E,  40,  986, TS,
WP, 11, 1990080812,   , MIWU, 0, 382N, 1538E,  40,  987, TS,
WP, 11, 1990080818,   , MIWU, 0, 386N, 1560E,  40,  987, TS,
WP, 11, 1990080900,   , MIWU, 0, 390N, 1582E,  45,  985, TS,
WP, 11, 1990080906,   , MIWU, 0, 396N, 1607E,  50,  983, TS,
WP, 11, 1990080912,   , MIWU, 0, 405N, 1635E,  45,  986, TS,
WP, 11, 1990080918,   , MIWU, 0, 420N, 1667E,  45,  986, EX,
WP, 11, 1990081000,   , MIWU, 0, 440N, 1705E,  45,  987, EX,
WP, 11, 1990081006,   , MIWU, 0, 460N, 1745E,  45,  987, EX,
WP, 11, 1990081012,   , MIWU, 0, 490N, 1785E,  45,  987, EX,
WP, 11, 1990081018,   , MIWU, 0, 530N, 1790W,  40,  990, EX,
WP, 11, 1990081100,   , MIWU, 0, 565N, 1790W,  40,  990, EX,
WP, 11, 1990081106,   , MIWU, 0, 600N, 1798W,  40,  991, EX,
WP, 11, 1990081112,   , MIWU, 0, 630N, 1790E,  40,  991, EX,
WP, 11, 1990081118,   , MIWU, 0, 644N, 1775E,  40,  991, EX,
WP, 11, 1990081200,   , MIWU, 0, 650N, 1760E,  35,  994, EX,
WP, 11, 1990081206,   , MIWU, 0, 653N, 1750E,  35,  995, EX,
