WP, 17, 1990090206,   , MIWU, 0, 159N, 1480E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dot,
WP, 17, 1990090212,   , MIWU, 0, 156N, 1467E,  20, 1005, DB,
WP, 17, 1990090218,   , MIWU, 0, 155N, 1455E,  25, 1003, TD,
WP, 17, 1990090300,   , MIWU, 0, 156N, 1442E,  25, 1002, TD,
WP, 17, 1990090306,   , MIWU, 0, 155N, 1430E,  30, 1000, TD,
WP, 17, 1990090312,   , MIWU, 0, 152N, 1418E,  35,  998, TS,
WP, 17, 1990090318,   , MIWU, 0, 147N, 1407E,  35,  997, TS,
WP, 17, 1990090400,   , MIWU, 0, 144N, 1398E,  40,  994, TS,
WP, 17, 1990090406,   , MIWU, 0, 142N, 1387E,  40,  994, TS,
WP, 17, 1990090412,   , MIWU, 0, 143N, 1376E,  45,  991, TS,
WP, 17, 1990090418,   , MIWU, 0, 147N, 1368E,  50,  988, TS,
WP, 17, 1990090500,   , MIWU, 0, 156N, 1358E,  50,  987, TS,
WP, 17, 1990090506,   , MIWU, 0, 167N, 1342E,  50,  987, TS,
WP, 17, 1990090512,   , MIWU, 0, 177N, 1326E,  55,  984, TS,
WP, 17, 1990090518,   , MIWU, 0, 184N, 1312E,  60,  980, TS,
WP, 17, 1990090600,   , MIWU, 0, 190N, 1298E,  65,  975, TY,
WP, 17, 1990090606,   , MIWU, 0, 198N, 1283E,  70,  970, TY,
WP, 17, 1990090612,   , MIWU, 0, 204N, 1267E,  75,  966, TY,
WP, 17, 1990090618,   , MIWU, 0, 210N, 1254E,  80,  962, TY,
WP, 17, 1990090700,   , MIWU, 0, 217N, 1242E,  85,  958, TY,
WP, 17, 1990090706,   , MIWU, 0, 223N, 1230E,  75,  963, TY,
WP, 17, 1990090712,   , MIWU, 0, 229N, 1219E,  70,  966, TY,
WP, 17, 1990090718,   , MIWU, 0, 235N, 1206E,  60,  974, TS,
WP, 17, 1990090800,   , MIWU, 0, 238N, 1192E,  55,  978, TS,
WP, 17, 1990090806,   , MIWU, 0, 242N, 1182E,  50,  982, TS,
WP, 17, 1990090812,   , MIWU, 0, 245N, 1172E,  45,  986, TS,
WP, 17, 1990090818,   , MIWU, 0, 245N, 1164E,  40,  990, TS,
WP, 17, 1990090900,   , MIWU, 0, 244N, 1159E,  30,  996, TD,
WP, 17, 1990090906,   , MIWU, 0, 247N, 1158E,  25,  998, TD,
WP, 17, 1990090912,   , MIWU, 0, 252N, 1159E,  20, 1000, DB,
WP, 17, 1990090918,   , MIWU, 0, 260N, 1160E,  20, 1001, DB,
WP, 17, 1990091000,   , MIWU, 0, 270N, 1161E,  15, 1003, DB,
WP, 17, 1990091006,   , MIWU, 0, 280N, 1161E,  15, 1004, DB,
