WP, 18, 1990090206,   , MIWU, 0, 201N, 1228E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Cecil,
WP, 18, 1990090212,   , MIWU, 0, 210N, 1229E,  20, 1009, DB,
WP, 18, 1990090218,   , MIWU, 0, 219N, 1229E,  20, 1009, DB,
WP, 18, 1990090300,   , MIWU, 0, 229N, 1229E,  20, 1008, DB,
WP, 18, 1990090306,   , MIWU, 0, 238N, 1228E,  25, 1006, TD,
WP, 18, 1990090312,   , MIWU, 0, 248N, 1225E,  25, 1006, TD,
WP, 18, 1990090318,   , MIWU, 0, 256N, 1219E,  25, 1005, TD,
WP, 18, 1990090400,   , MIWU, 0, 262N, 1212E,  30, 1003, TD,
WP, 18, 1990090406,   , MIWU, 0, 267N, 1206E,  35, 1001, TS,
WP, 18, 1990090412,   , MIWU, 0, 271N, 1202E,  35, 1000, TS,
WP, 18, 1990090418,   , MIWU, 0, 275N, 1203E,  30, 1002, TD,
WP, 18, 1990090500,   , MIWU, 0, 280N, 1207E,  20, 1006, DB,
