WP, 21, 1990092200,   , MIWU, 0, 136N, 1350E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gene,
WP, 21, 1990092206,   , MIWU, 0, 136N, 1346E,  20, 1010, DB,
WP, 21, 1990092212,   , MIWU, 0, 137N, 1341E,  20, 1009, DB,
WP, 21, 1990092218,   , MIWU, 0, 139N, 1335E,  20, 1009, DB,
WP, 21, 1990092300,   , MIWU, 0, 145N, 1332E,  20, 1009, DB,
WP, 21, 1990092306,   , MIWU, 0, 154N, 1330E,  25, 1007, TD,
WP, 21, 1990092312,   , MIWU, 0, 165N, 1327E,  30, 1004, TD,
WP, 21, 1990092318,   , MIWU, 0, 173N, 1321E,  35, 1001, TS,
WP, 21, 1990092400,   , MIWU, 0, 179N, 1313E,  40,  998, TS,
WP, 21, 1990092406,   , MIWU, 0, 185N, 1305E,  40,  997, TS,
WP, 21, 1990092412,   , MIWU, 0, 190N, 1296E,  45,  994, TS,
WP, 21, 1990092418,   , MIWU, 0, 196N, 1285E,  50,  991, TS,
WP, 21, 1990092500,   , MIWU, 0, 200N, 1278E,  55,  988, TS,
WP, 21, 1990092506,   , MIWU, 0, 206N, 1273E,  55,  987, TS,
WP, 21, 1990092512,   , MIWU, 0, 214N, 1269E,  60,  984, TS,
WP, 21, 1990092518,   , MIWU, 0, 222N, 1266E,  65,  980, TY,
WP, 21, 1990092600,   , MIWU, 0, 229N, 1264E,  75,  972, TY,
WP, 21, 1990092606,   , MIWU, 0, 235N, 1263E,  80,  968, TY,
WP, 21, 1990092612,   , MIWU, 0, 241N, 1263E,  90,  960, TY,
WP, 21, 1990092618,   , MIWU, 0, 247N, 1262E,  85,  962, TY,
WP, 21, 1990092700,   , MIWU, 0, 254N, 1260E,  75,  968, TY,
WP, 21, 1990092706,   , MIWU, 0, 261N, 1259E,  75,  967, TY,
WP, 21, 1990092712,   , MIWU, 0, 267N, 1260E,  75,  967, TY,
WP, 21, 1990092718,   , MIWU, 0, 273N, 1262E,  80,  964, TY,
WP, 21, 1990092800,   , MIWU, 0, 278N, 1265E,  85,  961, TY,
WP, 21, 1990092806,   , MIWU, 0, 284N, 1270E,  90,  958, TY,
WP, 21, 1990092812,   , MIWU, 0, 291N, 1277E,  90,  958, TY,
WP, 21, 1990092818,   , MIWU, 0, 297N, 1284E,  85,  960, TY,
WP, 21, 1990092900,   , MIWU, 0, 304N, 1294E,  85,  961, TY,
WP, 21, 1990092906,   , MIWU, 0, 311N, 1308E,  85,  961, TY,
WP, 21, 1990092912,   , MIWU, 0, 318N, 1322E,  75,  968, TY,
WP, 21, 1990092918,   , MIWU, 0, 326N, 1335E,  65,  976, TY,
WP, 21, 1990093000,   , MIWU, 0, 336N, 1352E,  60,  980, TS,
WP, 21, 1990093006,   , MIWU, 0, 347N, 1374E,  50,  988, TS,
WP, 21, 1990093012,   , MIWU, 0, 357N, 1397E,  40,  994, EX,
WP, 21, 1990093018,   , MIWU, 0, 366N, 1416E,  35,  997, EX,
WP, 21, 1990100100,   , MIWU, 0, 378N, 1433E,  30, 1000, EX,
WP, 21, 1990100106,   , MIWU, 0, 395N, 1443E,  30, 1000, EX,
WP, 21, 1990100112,   , MIWU, 0, 418N, 1456E,  30, 1002, EX,
WP, 21, 1990100118,   , MIWU, 0, 447N, 1470E,  25, 1005, EX,
