WP, 26, 1990101512,   , MIWU, 0, 148N, 1170E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lola,
WP, 26, 1990101518,   , MIWU, 0, 146N, 1164E,  20, 1008, DB,
WP, 26, 1990101600,   , MIWU, 0, 144N, 1158E,  20, 1007, DB,
WP, 26, 1990101606,   , MIWU, 0, 142N, 1152E,  20, 1007, DB,
WP, 26, 1990101612,   , MIWU, 0, 141N, 1146E,  25, 1005, TD,
WP, 26, 1990101618,   , MIWU, 0, 140N, 1140E,  30, 1003, TD,
WP, 26, 1990101700,   , MIWU, 0, 140N, 1133E,  35, 1001, TS,
WP, 26, 1990101706,   , MIWU, 0, 140N, 1124E,  40,  999, TS,
WP, 26, 1990101712,   , MIWU, 0, 140N, 1114E,  45,  996, TS,
WP, 26, 1990101718,   , MIWU, 0, 140N, 1105E,  50,  993, TS,
WP, 26, 1990101800,   , MIWU, 0, 139N, 1097E,  55,  990, TS,
WP, 26, 1990101806,   , MIWU, 0, 137N, 1089E,  45,  994, TS,
WP, 26, 1990101812,   , MIWU, 0, 138N, 1080E,  35,  998, TS,
WP, 26, 1990101818,   , MIWU, 0, 140N, 1068E,  25, 1002, TD,
WP, 26, 1990101900,   , MIWU, 0, 143N, 1056E,  20, 1004, DB,
WP, 26, 1990101906,   , MIWU, 0, 146N, 1044E,  20, 1005, DB,
WP, 26, 1990101912,   , MIWU, 0, 145N, 1034E,  15, 1007, DB,
WP, 26, 1990101918,   , MIWU, 0, 143N, 1025E,  15, 1007, DB,
WP, 26, 1990102000,   , MIWU, 0, 144N, 1016E,  15, 1008, DB,
WP, 26, 1990102006,   , MIWU, 0, 146N, 1008E,  15, 1008, DB,
