WP, 28, 1990110818,   , MIWU, 0, 118N, 1168E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nell,
WP, 28, 1990110900,   , MIWU, 0, 120N, 1158E,  20, 1007, DB,
WP, 28, 1990110906,   , MIWU, 0, 122N, 1151E,  20, 1006, DB,
WP, 28, 1990110912,   , MIWU, 0, 125N, 1145E,  20, 1006, DB,
WP, 28, 1990110918,   , MIWU, 0, 127N, 1140E,  25, 1004, TD,
WP, 28, 1990111000,   , MIWU, 0, 128N, 1136E,  30, 1002, TD,
WP, 28, 1990111006,   , MIWU, 0, 127N, 1132E,  30, 1001, TD,
WP, 28, 1990111012,   , MIWU, 0, 127N, 1129E,  35,  999, TS,
WP, 28, 1990111018,   , MIWU, 0, 128N, 1126E,  35,  998, TS,
WP, 28, 1990111100,   , MIWU, 0, 127N, 1123E,  40,  996, TS,
WP, 28, 1990111106,   , MIWU, 0, 127N, 1119E,  45,  993, TS,
WP, 28, 1990111112,   , MIWU, 0, 127N, 1114E,  45,  993, TS,
WP, 28, 1990111118,   , MIWU, 0, 126N, 1106E,  45,  992, TS,
WP, 28, 1990111200,   , MIWU, 0, 125N, 1096E,  45,  992, TS,
WP, 28, 1990111206,   , MIWU, 0, 125N, 1084E,  40,  994, TS,
WP, 28, 1990111212,   , MIWU, 0, 125N, 1071E,  30, 1000, TD,
WP, 28, 1990111218,   , MIWU, 0, 126N, 1058E,  20, 1006, DB,
WP, 28, 1990111300,   , MIWU, 0, 127N, 1046E,  15, 1009, DB,
