WP, 29, 1990111318,   , MIWU, 0, 113N, 1579E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Page,
WP, 29, 1990111400,   , MIWU, 0, 113N, 1574E,  20, 1009, DB,
WP, 29, 1990111406,   , MIWU, 0, 113N, 1569E,  20, 1009, DB,
WP, 29, 1990111412,   , MIWU, 0, 113N, 1564E,  20, 1008, DB,
WP, 29, 1990111418,   , MIWU, 0, 113N, 1559E,  20, 1008, DB,
WP, 29, 1990111500,   , MIWU, 0, 113N, 1554E,  25, 1006, TD,
WP, 29, 1990111506,   , MIWU, 0, 114N, 1550E,  25, 1006, TD,
WP, 29, 1990111512,   , MIWU, 0, 115N, 1546E,  25, 1007, TD,
WP, 29, 1990111518,   , MIWU, 0, 116N, 1542E,  20, 1009, DB,
WP, 29, 1990111600,   , MIWU, 0, 116N, 1538E,  20, 1009, DB,
WP, 29, 1990111606,   , MIWU, 0, 116N, 1534E,  20, 1009, DB,
WP, 29, 1990111612,   , MIWU, 0, 115N, 1530E,  20, 1009, DB,
WP, 29, 1990111618,   , MIWU, 0, 114N, 1526E,  20, 1008, DB,
WP, 29, 1990111700,   , MIWU, 0, 112N, 1522E,  20, 1008, DB,
WP, 29, 1990111706,   , MIWU, 0, 109N, 1517E,  20, 1008, DB,
WP, 29, 1990111712,   , MIWU, 0, 104N, 1508E,  25, 1006, TD,
WP, 29, 1990111718,   , MIWU, 0,  99N, 1496E,  25, 1006, TD,
WP, 29, 1990111800,   , MIWU, 0,  94N, 1483E,  25, 1005, TD,
WP, 29, 1990111806,   , MIWU, 0,  90N, 1472E,  30, 1003, TD,
WP, 29, 1990111812,   , MIWU, 0,  86N, 1464E,  30, 1002, TD,
WP, 29, 1990111818,   , MIWU, 0,  84N, 1456E,  30, 1002, TD,
WP, 29, 1990111900,   , MIWU, 0,  83N, 1446E,  25, 1004, TD,
WP, 29, 1990111906,   , MIWU, 0,  82N, 1439E,  25, 1005, TD,
WP, 29, 1990111912,   , MIWU, 0,  80N, 1435E,  25, 1005, TD,
WP, 29, 1990111918,   , MIWU, 0,  79N, 1434E,  30, 1003, TD,
WP, 29, 1990112000,   , MIWU, 0,  77N, 1437E,  35, 1001, TS,
WP, 29, 1990112006,   , MIWU, 0,  75N, 1442E,  35, 1000, TS,
WP, 29, 1990112012,   , MIWU, 0,  74N, 1447E,  30, 1002, TD,
WP, 29, 1990112018,   , MIWU, 0,  74N, 1451E,  25, 1004, TD,
WP, 29, 1990112100,   , MIWU, 0,  76N, 1453E,  25, 1003, TD,
WP, 29, 1990112106,   , MIWU, 0,  81N, 1453E,  30, 1001, TD,
WP, 29, 1990112112,   , MIWU, 0,  87N, 1450E,  30, 1000, TD,
WP, 29, 1990112118,   , MIWU, 0,  95N, 1445E,  35,  998, TS,
WP, 29, 1990112200,   , MIWU, 0, 100N, 1438E,  40,  995, TS,
WP, 29, 1990112206,   , MIWU, 0, 104N, 1431E,  40,  995, TS,
WP, 29, 1990112212,   , MIWU, 0, 109N, 1425E,  40,  994, TS,
WP, 29, 1990112218,   , MIWU, 0, 114N, 1418E,  45,  991, TS,
WP, 29, 1990112300,   , MIWU, 0, 121N, 1412E,  45,  991, TS,
WP, 29, 1990112306,   , MIWU, 0, 124N, 1405E,  45,  990, TS,
WP, 29, 1990112312,   , MIWU, 0, 124N, 1398E,  50,  987, TS,
WP, 29, 1990112318,   , MIWU, 0, 122N, 1390E,  60,  980, TS,
WP, 29, 1990112400,   , MIWU, 0, 120N, 1382E,  65,  976, TY,
