WP, 31, 1990121306,   , MIWU, 0,  48N, 1734E,  15, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Russ,
WP, 31, 1990121312,   , MIWU, 0,  49N, 1728E,  15, 1008, DB,
WP, 31, 1990121318,   , MIWU, 0,  50N, 1721E,  20, 1006, DB,
WP, 31, 1990121400,   , MIWU, 0,  51N, 1712E,  25, 1004, TD,
WP, 31, 1990121406,   , MIWU, 0,  52N, 1703E,  30, 1002, TD,
WP, 31, 1990121412,   , MIWU, 0,  52N, 1693E,  35, 1000, TS,
WP, 31, 1990121418,   , MIWU, 0,  52N, 1684E,  40,  997, TS,
WP, 31, 1990121500,   , MIWU, 0,  54N, 1674E,  45,  994, TS,
WP, 31, 1990121506,   , MIWU, 0,  59N, 1662E,  50,  991, TS,
WP, 31, 1990121512,   , MIWU, 0,  65N, 1648E,  55,  988, TS,
WP, 31, 1990121518,   , MIWU, 0,  70N, 1633E,  60,  984, TS,
WP, 31, 1990121600,   , MIWU, 0,  74N, 1618E,  65,  980, TY,
WP, 31, 1990121606,   , MIWU, 0,  77N, 1606E,  75,  972, TY,
WP, 31, 1990121612,   , MIWU, 0,  80N, 1597E,  80,  968, TY,
WP, 31, 1990121618,   , MIWU, 0,  84N, 1588E,  85,  964, TY,
WP, 31, 1990121700,   , MIWU, 0,  89N, 1579E,  90,  960, TY,
WP, 31, 1990121706,   , MIWU, 0,  94N, 1571E,  95,  955, TY,
WP, 31, 1990121712,   , MIWU, 0,  98N, 1561E, 100,  950, TY,
WP, 31, 1990121718,   , MIWU, 0, 100N, 1551E, 100,  948, TY,
WP, 31, 1990121800,   , MIWU, 0, 102N, 1541E, 105,  944, TY,
WP, 31, 1990121806,   , MIWU, 0, 104N, 1530E, 120,  932, TY,
WP, 31, 1990121812,   , MIWU, 0, 106N, 1519E, 145,  912, ST,
WP, 31, 1990121818,   , MIWU, 0, 109N, 1510E, 140,  910, ST,
WP, 31, 1990121900,   , MIWU, 0, 110N, 1502E, 135,  913, ST,
WP, 31, 1990121906,   , MIWU, 0, 111N, 1495E, 125,  920, TY,
WP, 31, 1990121912,   , MIWU, 0, 113N, 1489E, 115,  928, TY,
WP, 31, 1990121918,   , MIWU, 0, 116N, 1482E, 105,  936, TY,
WP, 31, 1990122000,   , MIWU, 0, 119N, 1475E, 100,  940, TY,
WP, 31, 1990122006,   , MIWU, 0, 122N, 1465E,  90,  948, TY,
WP, 31, 1990122012,   , MIWU, 0, 125N, 1454E,  95,  946, TY,
WP, 31, 1990122018,   , MIWU, 0, 128N, 1442E, 100,  943, TY,
WP, 31, 1990122100,   , MIWU, 0, 132N, 1429E, 110,  938, TY,
WP, 31, 1990122106,   , MIWU, 0, 138N, 1416E, 120,  934, TY,
WP, 31, 1990122112,   , MIWU, 0, 146N, 1402E, 125,  932, TY,
WP, 31, 1990122118,   , MIWU, 0, 155N, 1391E, 115,  938, TY,
WP, 31, 1990122200,   , MIWU, 0, 164N, 1382E, 105,  946, TY,
WP, 31, 1990122206,   , MIWU, 0, 176N, 1376E, 110,  944, TY,
WP, 31, 1990122212,   , MIWU, 0, 190N, 1377E, 110,  945, TY,
WP, 31, 1990122218,   , MIWU, 0, 202N, 1383E, 105,  948, TY,
WP, 31, 1990122300,   , MIWU, 0, 215N, 1392E,  95,  956, TY,
WP, 31, 1990122306,   , MIWU, 0, 228N, 1405E,  80,  966, TY,
WP, 31, 1990122312,   , MIWU, 0, 240N, 1423E,  65,  975, TY,
WP, 31, 1990122318,   , MIWU, 0, 250N, 1444E,  55,  982, TS,
WP, 31, 1990122400,   , MIWU, 0, 260N, 1472E,  45,  990, EX,
WP, 31, 1990122406,   , MIWU, 0, 270N, 1510E,  40,  993, EX,
WP, 31, 1990122412,   , MIWU, 0, 283N, 1554E,  35,  996, EX,
WP, 31, 1990122418,   , MIWU, 0, 300N, 1596E,  30,  999, EX,
