WP, 01, 1992010306,   , MIWU, 0,  33N, 1759E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Axel,
WP, 01, 1992010312,   , MIWU, 0,  32N, 1769E,  20, 1008, DB,
WP, 01, 1992010318,   , MIWU, 0,  35N, 1778E,  20, 1007, DB,
WP, 01, 1992010400,   , MIWU, 0,  40N, 1787E,  25, 1005, TD,
WP, 01, 1992010406,   , MIWU, 0,  45N, 1791E,  30, 1003, TD,
WP, 01, 1992010412,   , MIWU, 0,  50N, 1791E,  30, 1002, TD,
WP, 01, 1992010418,   , MIWU, 0,  54N, 1788E,  35, 1000, TS,
WP, 01, 1992010500,   , MIWU, 0,  57N, 1783E,  35,  999, TS,
WP, 01, 1992010506,   , MIWU, 0,  59N, 1776E,  40,  997, TS,
WP, 01, 1992010512,   , MIWU, 0,  60N, 1768E,  45,  995, TS,
WP, 01, 1992010518,   , MIWU, 0,  61N, 1760E,  40,  996, TS,
WP, 01, 1992010600,   , MIWU, 0,  62N, 1752E,  45,  993, TS,
WP, 01, 1992010606,   , MIWU, 0,  62N, 1743E,  45,  992, TS,
WP, 01, 1992010612,   , MIWU, 0,  62N, 1735E,  50,  989, TS,
WP, 01, 1992010618,   , MIWU, 0,  60N, 1727E,  60,  983, TS,
WP, 01, 1992010700,   , MIWU, 0,  59N, 1719E,  55,  985, TS,
WP, 01, 1992010706,   , MIWU, 0,  58N, 1710E,  45,  989, TS,
WP, 01, 1992010712,   , MIWU, 0,  58N, 1701E,  40,  991, TS,
WP, 01, 1992010718,   , MIWU, 0,  58N, 1690E,  40,  992, TS,
WP, 01, 1992010800,   , MIWU, 0,  59N, 1678E,  40,  992, TS,
WP, 01, 1992010806,   , MIWU, 0,  60N, 1665E,  45,  990, TS,
WP, 01, 1992010812,   , MIWU, 0,  60N, 1651E,  50,  988, TS,
WP, 01, 1992010818,   , MIWU, 0,  60N, 1636E,  55,  986, TS,
WP, 01, 1992010900,   , MIWU, 0,  62N, 1621E,  55,  985, TS,
WP, 01, 1992010906,   , MIWU, 0,  65N, 1606E,  50,  987, TS,
WP, 01, 1992010912,   , MIWU, 0,  69N, 1593E,  45,  989, TS,
WP, 01, 1992010918,   , MIWU, 0,  73N, 1580E,  45,  990, TS,
WP, 01, 1992011000,   , MIWU, 0,  77N, 1567E,  45,  990, TS,
WP, 01, 1992011006,   , MIWU, 0,  83N, 1556E,  40,  993, TS,
WP, 01, 1992011012,   , MIWU, 0,  89N, 1545E,  35,  996, TS,
WP, 01, 1992011018,   , MIWU, 0,  93N, 1534E,  35,  997, TS,
WP, 01, 1992011100,   , MIWU, 0,  95N, 1523E,  35,  997, TS,
WP, 01, 1992011106,   , MIWU, 0,  96N, 1512E,  30,  999, TD,
WP, 01, 1992011112,   , MIWU, 0,  97N, 1501E,  30, 1000, TD,
WP, 01, 1992011118,   , MIWU, 0,  98N, 1490E,  30, 1000, TD,
WP, 01, 1992011200,   , MIWU, 0,  99N, 1479E,  35,  998, TS,
WP, 01, 1992011206,   , MIWU, 0, 101N, 1469E,  40,  996, TS,
WP, 01, 1992011212,   , MIWU, 0, 104N, 1459E,  40,  996, TS,
WP, 01, 1992011218,   , MIWU, 0, 109N, 1450E,  40,  995, TS,
WP, 01, 1992011300,   , MIWU, 0, 116N, 1442E,  40,  995, TS,
WP, 01, 1992011306,   , MIWU, 0, 122N, 1434E,  45,  993, TS,
WP, 01, 1992011312,   , MIWU, 0, 126N, 1425E,  45,  992, TS,
WP, 01, 1992011318,   , MIWU, 0, 133N, 1416E,  40,  994, TS,
WP, 01, 1992011400,   , MIWU, 0, 143N, 1408E,  40,  994, TS,
WP, 01, 1992011406,   , MIWU, 0, 155N, 1406E,  40,  994, TS,
WP, 01, 1992011412,   , MIWU, 0, 170N, 1409E,  40,  994, EX,
WP, 01, 1992011418,   , MIWU, 0, 188N, 1419E,  35,  996, EX,
WP, 01, 1992011500,   , MIWU, 0, 212N, 1442E,  35,  996, EX,
WP, 01, 1992011506,   , MIWU, 0, 234N, 1482E,  30,  998, EX,
WP, 01, 1992011512,   , MIWU, 0, 255N, 1536E,  30,  999, EX,
WP, 01, 1992011518,   , MIWU, 0, 280N, 1590E,  30,  999, EX,
