WP, 04, 1992062618,   , MIWU, 0,  65N, 1414E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Deanna,
WP, 04, 1992062700,   , MIWU, 0,  59N, 1412E,  20, 1010, DB,
WP, 04, 1992062706,   , MIWU, 0,  54N, 1412E,  20, 1009, DB,
WP, 04, 1992062712,   , MIWU, 0,  51N, 1416E,  20, 1009, DB,
WP, 04, 1992062718,   , MIWU, 0,  53N, 1419E,  25, 1007, TD,
WP, 04, 1992062800,   , MIWU, 0,  57N, 1418E,  25, 1007, TD,
WP, 04, 1992062806,   , MIWU, 0,  60N, 1415E,  25, 1006, TD,
WP, 04, 1992062812,   , MIWU, 0,  62N, 1411E,  25, 1006, TD,
WP, 04, 1992062818,   , MIWU, 0,  65N, 1406E,  30, 1004, TD,
WP, 04, 1992062900,   , MIWU, 0,  69N, 1399E,  30, 1003, TD,
WP, 04, 1992062906,   , MIWU, 0,  76N, 1390E,  35, 1001, TS,
WP, 04, 1992062912,   , MIWU, 0,  87N, 1378E,  40,  999, TS,
WP, 04, 1992062918,   , MIWU, 0,  98N, 1366E,  40,  999, TS,
WP, 04, 1992063000,   , MIWU, 0, 107N, 1354E,  40, 1000, TS,
WP, 04, 1992063006,   , MIWU, 0, 114N, 1341E,  35, 1002, TS,
WP, 04, 1992063012,   , MIWU, 0, 122N, 1331E,  30, 1004, TD,
WP, 04, 1992063018,   , MIWU, 0, 130N, 1322E,  30, 1005, TD,
WP, 04, 1992070100,   , MIWU, 0, 139N, 1313E,  35, 1003, TS,
WP, 04, 1992070106,   , MIWU, 0, 148N, 1305E,  35, 1002, TS,
WP, 04, 1992070112,   , MIWU, 0, 157N, 1296E,  40, 1000, TS,
WP, 04, 1992070118,   , MIWU, 0, 166N, 1288E,  40, 1000, TS,
WP, 04, 1992070200,   , MIWU, 0, 177N, 1281E,  40,  999, TS,
WP, 04, 1992070206,   , MIWU, 0, 191N, 1281E,  40,  999, TS,
WP, 04, 1992070212,   , MIWU, 0, 203N, 1288E,  35,  999, TS,
WP, 04, 1992070218,   , MIWU, 0, 215N, 1297E,  40,  998, TS,
WP, 04, 1992070300,   , MIWU, 0, 228N, 1305E,  35, 1000, TS,
WP, 04, 1992070306,   , MIWU, 0, 246N, 1314E,  30, 1002, TD,
WP, 04, 1992070312,   , MIWU, 0, 265N, 1328E,  30, 1002, TD,
WP, 04, 1992070318,   , MIWU, 0, 287N, 1354E,  30, 1003, EX,
WP, 04, 1992070400,   , MIWU, 0, 307N, 1389E,  30, 1003, EX,
