WP, 07, 1992071706,   , MIWU, 0, 119N, 1314E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gary,
WP, 07, 1992071712,   , MIWU, 0, 124N, 1305E,  20, 1005, DB,
WP, 07, 1992071718,   , MIWU, 0, 131N, 1294E,  20, 1005, DB,
WP, 07, 1992071800,   , MIWU, 0, 137N, 1284E,  25, 1002, TD,
WP, 07, 1992071806,   , MIWU, 0, 141N, 1275E,  25, 1002, TD,
WP, 07, 1992071812,   , MIWU, 0, 144N, 1268E,  25, 1001, TD,
WP, 07, 1992071818,   , MIWU, 0, 147N, 1259E,  30,  998, TD,
WP, 07, 1992071900,   , MIWU, 0, 149N, 1249E,  30,  997, TD,
WP, 07, 1992071906,   , MIWU, 0, 152N, 1241E,  35,  994, TS,
WP, 07, 1992071912,   , MIWU, 0, 155N, 1234E,  35,  993, TS,
WP, 07, 1992071918,   , MIWU, 0, 157N, 1228E,  40,  990, TS,
WP, 07, 1992072000,   , MIWU, 0, 163N, 1222E,  40,  991, TS,
WP, 07, 1992072006,   , MIWU, 0, 170N, 1214E,  35,  993, TS,
WP, 07, 1992072012,   , MIWU, 0, 175N, 1202E,  40,  990, TS,
WP, 07, 1992072018,   , MIWU, 0, 177N, 1189E,  45,  986, TS,
WP, 07, 1992072100,   , MIWU, 0, 179N, 1177E,  45,  986, TS,
WP, 07, 1992072106,   , MIWU, 0, 183N, 1165E,  45,  984, TS,
WP, 07, 1992072112,   , MIWU, 0, 189N, 1155E,  45,  984, TS,
WP, 07, 1992072118,   , MIWU, 0, 195N, 1146E,  50,  980, TS,
WP, 07, 1992072200,   , MIWU, 0, 198N, 1135E,  55,  977, TS,
WP, 07, 1992072206,   , MIWU, 0, 200N, 1123E,  65,  971, TY,
WP, 07, 1992072209,   , MIWU, 0, 201N, 1118E,  70,  968, TY,
WP, 07, 1992072212,   , MIWU, 0, 204N, 1113E,  65,  970, TY,
WP, 07, 1992072218,   , MIWU, 0, 211N, 1104E,  60,  973, TS,
WP, 07, 1992072300,   , MIWU, 0, 217N, 1093E,  45,  982, TS,
WP, 07, 1992072306,   , MIWU, 0, 221N, 1079E,  40,  986, TS,
WP, 07, 1992072312,   , MIWU, 0, 225N, 1066E,  35,  990, TS,
WP, 07, 1992072318,   , MIWU, 0, 227N, 1052E,  30,  994, TD,
WP, 07, 1992072400,   , MIWU, 0, 226N, 1037E,  25,  997, TD,
WP, 07, 1992072406,   , MIWU, 0, 224N, 1022E,  20, 1000, DB,
WP, 07, 1992072412,   , MIWU, 0, 221N, 1009E,  20, 1001, DB,
WP, 07, 1992072418,   , MIWU, 0, 219N,  996E,  15, 1003, DB,
