WP, 12, 1992081406,   , MIWU, 0, 150N, 1280E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lois,
WP, 12, 1992081412,   , MIWU, 0, 151N, 1282E,  20, 1007, DB,
WP, 12, 1992081418,   , MIWU, 0, 153N, 1285E,  20, 1007, DB,
WP, 12, 1992081500,   , MIWU, 0, 158N, 1289E,  30, 1003, TD,
WP, 12, 1992081506,   , MIWU, 0, 164N, 1294E,  40,  997, TS,
WP, 12, 1992081512,   , MIWU, 0, 168N, 1299E,  40,  997, TS,
WP, 12, 1992081518,   , MIWU, 0, 172N, 1303E,  40,  996, TS,
WP, 12, 1992081600,   , MIWU, 0, 175N, 1308E,  40,  996, TS,
WP, 12, 1992081606,   , MIWU, 0, 177N, 1312E,  35,  998, TS,
WP, 12, 1992081612,   , MIWU, 0, 179N, 1318E,  30, 1000, TD,
WP, 12, 1992081618,   , MIWU, 0, 182N, 1328E,  30, 1000, TD,
WP, 12, 1992081700,   , MIWU, 0, 185N, 1340E,  35,  998, TS,
WP, 12, 1992081706,   , MIWU, 0, 187N, 1349E,  35,  997, TS,
WP, 12, 1992081712,   , MIWU, 0, 190N, 1354E,  35,  997, TS,
WP, 12, 1992081718,   , MIWU, 0, 195N, 1359E,  30,  999, TD,
WP, 12, 1992081800,   , MIWU, 0, 202N, 1365E,  30,  999, TD,
WP, 12, 1992081806,   , MIWU, 0, 209N, 1371E,  30, 1000, TD,
WP, 12, 1992081812,   , MIWU, 0, 217N, 1376E,  30, 1000, TD,
WP, 12, 1992081818,   , MIWU, 0, 227N, 1380E,  30, 1000, TD,
WP, 12, 1992081900,   , MIWU, 0, 238N, 1384E,  30,  998, TD,
WP, 12, 1992081906,   , MIWU, 0, 249N, 1390E,  35,  995, TS,
WP, 12, 1992081912,   , MIWU, 0, 260N, 1397E,  35,  994, TS,
WP, 12, 1992081918,   , MIWU, 0, 270N, 1406E,  35,  994, TS,
WP, 12, 1992082000,   , MIWU, 0, 280N, 1415E,  35,  993, TS,
WP, 12, 1992082006,   , MIWU, 0, 287N, 1427E,  35,  993, TS,
WP, 12, 1992082012,   , MIWU, 0, 294N, 1440E,  35,  993, TS,
WP, 12, 1992082018,   , MIWU, 0, 305N, 1453E,  35,  992, EX,
WP, 12, 1992082100,   , MIWU, 0, 323N, 1470E,  35,  992, EX,
WP, 12, 1992082106,   , MIWU, 0, 341N, 1487E,  40,  989, EX,
WP, 12, 1992082112,   , MIWU, 0, 363N, 1503E,  40,  988, EX,
WP, 12, 1992082118,   , MIWU, 0, 380N, 1520E,  40,  988, EX,
WP, 12, 1992082200,   , MIWU, 0, 395N, 1537E,  35,  988, EX,
WP, 12, 1992082206,   , MIWU, 0, 402N, 1555E,  30,  990, EX,
WP, 12, 1992082212,   , MIWU, 0, 406N, 1570E,  30,  991, EX,
WP, 12, 1992082218,   , MIWU, 0, 409N, 1584E,  25,  993, EX,
WP, 12, 1992082300,   , MIWU, 0, 410N, 1596E,  25,  994, EX,
WP, 12, 1992082306,   , MIWU, 0, 411N, 1608E,  25,  994, EX,
WP, 12, 1992082312,   , MIWU, 0, 413N, 1620E,  20,  996, EX,
WP, 12, 1992082318,   , MIWU, 0, 417N, 1633E,  20,  996, EX,
WP, 12, 1992082400,   , MIWU, 0, 424N, 1649E,  20,  997, EX,
WP, 12, 1992082406,   , MIWU, 0, 432N, 1672E,  20,  998, EX,
WP, 12, 1992082412,   , MIWU, 0, 441N, 1698E,  20,  999, EX,
