WP, 14, 1992081606,   , MIWU, 0, 242N, 1617E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nina,
WP, 14, 1992081612,   , MIWU, 0, 242N, 1616E,  20, 1010, DB,
WP, 14, 1992081618,   , MIWU, 0, 243N, 1614E,  20, 1010, DB,
WP, 14, 1992081700,   , MIWU, 0, 245N, 1611E,  25, 1008, TD,
WP, 14, 1992081706,   , MIWU, 0, 248N, 1607E,  30, 1006, TD,
WP, 14, 1992081712,   , MIWU, 0, 250N, 1602E,  30, 1005, TD,
WP, 14, 1992081718,   , MIWU, 0, 253N, 1597E,  35, 1003, TS,
WP, 14, 1992081800,   , MIWU, 0, 257N, 1593E,  35, 1002, TS,
WP, 14, 1992081806,   , MIWU, 0, 259N, 1589E,  40, 1000, TS,
WP, 14, 1992081812,   , MIWU, 0, 262N, 1585E,  40, 1000, TS,
WP, 14, 1992081818,   , MIWU, 0, 268N, 1582E,  40,  999, TS,
WP, 14, 1992081900,   , MIWU, 0, 276N, 1577E,  45,  997, TS,
WP, 14, 1992081906,   , MIWU, 0, 287N, 1571E,  45,  997, TS,
WP, 14, 1992081912,   , MIWU, 0, 299N, 1564E,  45,  996, TS,
WP, 14, 1992081918,   , MIWU, 0, 313N, 1556E,  45,  996, TS,
WP, 14, 1992082000,   , MIWU, 0, 333N, 1555E,  45,  996, TS,
WP, 14, 1992082006,   , MIWU, 0, 351N, 1559E,  50,  993, TS,
WP, 14, 1992082012,   , MIWU, 0, 368N, 1569E,  55,  990, TS,
WP, 14, 1992082018,   , MIWU, 0, 386N, 1587E,  55,  990, TS,
WP, 14, 1992082100,   , MIWU, 0, 395N, 1613E,  50,  990, TS,
WP, 14, 1992082106,   , MIWU, 0, 399N, 1647E,  50,  990, EX,
WP, 14, 1992082112,   , MIWU, 0, 400N, 1690E,  45,  992, EX,
WP, 14, 1992082118,   , MIWU, 0, 401N, 1730E,  40,  994, EX,
WP, 14, 1992082200,   , MIWU, 0, 404N, 1775E,  40,  994, EX,
WP, 14, 1992082206,   , MIWU, 0, 409N, 1780W,  35,  996, EX,
