WP, 23, 1992100700,   , MIWU, 0, 160N, 1338E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Yvette,
WP, 23, 1992100706,   , MIWU, 0, 159N, 1333E,  20, 1010, DB,
WP, 23, 1992100712,   , MIWU, 0, 158N, 1326E,  20, 1010, DB,
WP, 23, 1992100718,   , MIWU, 0, 158N, 1320E,  25, 1008, TD,
WP, 23, 1992100800,   , MIWU, 0, 158N, 1313E,  30, 1006, TD,
WP, 23, 1992100806,   , MIWU, 0, 158N, 1306E,  40, 1002, TS,
WP, 23, 1992100812,   , MIWU, 0, 157N, 1299E,  40, 1001, TS,
WP, 23, 1992100818,   , MIWU, 0, 155N, 1290E,  45,  999, TS,
WP, 23, 1992100900,   , MIWU, 0, 153N, 1280E,  50,  997, TS,
WP, 23, 1992100906,   , MIWU, 0, 151N, 1270E,  50,  996, TS,
WP, 23, 1992100912,   , MIWU, 0, 151N, 1261E,  55,  993, TS,
WP, 23, 1992100918,   , MIWU, 0, 152N, 1256E,  60,  990, TS,
WP, 23, 1992101000,   , MIWU, 0, 153N, 1254E,  70,  982, TY,
WP, 23, 1992101006,   , MIWU, 0, 155N, 1255E,  90,  966, TY,
WP, 23, 1992101012,   , MIWU, 0, 157N, 1257E, 120,  946, TY,
WP, 23, 1992101018,   , MIWU, 0, 158N, 1258E, 140,  930, ST,
WP, 23, 1992101100,   , MIWU, 0, 158N, 1259E, 145,  928, ST,
WP, 23, 1992101106,   , MIWU, 0, 159N, 1261E, 125,  941, TY,
WP, 23, 1992101112,   , MIWU, 0, 160N, 1263E, 110,  950, TY,
WP, 23, 1992101118,   , MIWU, 0, 162N, 1266E, 100,  956, TY,
WP, 23, 1992101200,   , MIWU, 0, 165N, 1270E,  90,  962, TY,
WP, 23, 1992101206,   , MIWU, 0, 169N, 1274E,  80,  968, TY,
WP, 23, 1992101212,   , MIWU, 0, 172N, 1278E,  85,  964, TY,
WP, 23, 1992101218,   , MIWU, 0, 175N, 1281E, 100,  952, TY,
WP, 23, 1992101300,   , MIWU, 0, 178N, 1285E, 120,  936, TY,
WP, 23, 1992101306,   , MIWU, 0, 182N, 1289E, 135,  924, ST,
WP, 23, 1992101312,   , MIWU, 0, 187N, 1292E, 155,  912, ST,
WP, 23, 1992101318,   , MIWU, 0, 192N, 1294E, 155,  911, ST,
WP, 23, 1992101400,   , MIWU, 0, 197N, 1293E, 155,  910, ST,
WP, 23, 1992101406,   , MIWU, 0, 202N, 1295E, 150,  910, ST,
WP, 23, 1992101412,   , MIWU, 0, 209N, 1300E, 145,  913, ST,
WP, 23, 1992101418,   , MIWU, 0, 215N, 1306E, 140,  916, ST,
WP, 23, 1992101500,   , MIWU, 0, 221N, 1314E, 135,  919, ST,
WP, 23, 1992101506,   , MIWU, 0, 226N, 1321E, 130,  922, ST,
WP, 23, 1992101512,   , MIWU, 0, 233N, 1329E, 125,  926, TY,
WP, 23, 1992101518,   , MIWU, 0, 241N, 1338E, 115,  934, TY,
WP, 23, 1992101600,   , MIWU, 0, 251N, 1349E, 100,  946, TY,
WP, 23, 1992101606,   , MIWU, 0, 262N, 1363E,  90,  954, TY,
WP, 23, 1992101612,   , MIWU, 0, 271N, 1378E,  80,  962, TY,
WP, 23, 1992101618,   , MIWU, 0, 279N, 1395E,  75,  966, TY,
WP, 23, 1992101700,   , MIWU, 0, 287N, 1407E,  65,  974, TY,
WP, 23, 1992101706,   , MIWU, 0, 295N, 1419E,  55,  982, TS,
WP, 23, 1992101712,   , MIWU, 0, 303N, 1430E,  45,  990, TS,
WP, 23, 1992101718,   , MIWU, 0, 310N, 1446E,  40,  993, EX,
WP, 23, 1992101800,   , MIWU, 0, 315N, 1470E,  40,  994, EX,
WP, 23, 1992101806,   , MIWU, 0, 321N, 1496E,  35,  997, EX,
WP, 23, 1992101812,   , MIWU, 0, 330N, 1521E,  30, 1000, EX,
WP, 23, 1992101818,   , MIWU, 0, 341N, 1541E,  25, 1002, EX,
