WP, 24, 1992101500,   , MIWU, 0, 120N, 1177E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Angela,
WP, 24, 1992101506,   , MIWU, 0, 125N, 1181E,  20, 1005, DB,
WP, 24, 1992101512,   , MIWU, 0, 130N, 1185E,  25, 1003, TD,
WP, 24, 1992101518,   , MIWU, 0, 135N, 1186E,  30, 1001, TD,
WP, 24, 1992101600,   , MIWU, 0, 140N, 1185E,  40,  997, TS,
WP, 24, 1992101606,   , MIWU, 0, 144N, 1183E,  45,  995, TS,
WP, 24, 1992101612,   , MIWU, 0, 147N, 1180E,  45,  994, TS,
WP, 24, 1992101618,   , MIWU, 0, 146N, 1176E,  50,  991, TS,
WP, 24, 1992101700,   , MIWU, 0, 143N, 1174E,  55,  988, TS,
WP, 24, 1992101706,   , MIWU, 0, 140N, 1172E,  55,  987, TS,
WP, 24, 1992101712,   , MIWU, 0, 136N, 1169E,  55,  986, TS,
WP, 24, 1992101718,   , MIWU, 0, 133N, 1166E,  55,  986, TS,
WP, 24, 1992101800,   , MIWU, 0, 130N, 1163E,  60,  982, TS,
WP, 24, 1992101806,   , MIWU, 0, 128N, 1160E,  65,  978, TY,
WP, 24, 1992101812,   , MIWU, 0, 126N, 1156E,  65,  976, TY,
WP, 24, 1992101818,   , MIWU, 0, 125N, 1151E,  70,  972, TY,
WP, 24, 1992101900,   , MIWU, 0, 124N, 1145E,  75,  968, TY,
WP, 24, 1992101906,   , MIWU, 0, 122N, 1139E,  85,  962, TY,
WP, 24, 1992101912,   , MIWU, 0, 122N, 1134E,  80,  964, TY,
WP, 24, 1992101918,   , MIWU, 0, 123N, 1130E,  75,  967, TY,
WP, 24, 1992102000,   , MIWU, 0, 124N, 1127E,  75,  968, TY,
WP, 24, 1992102006,   , MIWU, 0, 126N, 1126E,  75,  968, TY,
WP, 24, 1992102012,   , MIWU, 0, 127N, 1125E,  70,  971, TY,
WP, 24, 1992102018,   , MIWU, 0, 128N, 1125E,  65,  975, TY,
WP, 24, 1992102100,   , MIWU, 0, 129N, 1124E,  60,  979, TS,
WP, 24, 1992102106,   , MIWU, 0, 130N, 1123E,  55,  983, TS,
WP, 24, 1992102112,   , MIWU, 0, 133N, 1122E,  50,  987, TS,
WP, 24, 1992102118,   , MIWU, 0, 136N, 1120E,  50,  989, TS,
WP, 24, 1992102200,   , MIWU, 0, 137N, 1118E,  55,  987, TS,
WP, 24, 1992102206,   , MIWU, 0, 136N, 1116E,  60,  985, TS,
WP, 24, 1992102212,   , MIWU, 0, 135N, 1112E,  60,  984, TS,
WP, 24, 1992102218,   , MIWU, 0, 134N, 1106E,  60,  984, TS,
WP, 24, 1992102300,   , MIWU, 0, 133N, 1100E,  60,  984, TS,
WP, 24, 1992102306,   , MIWU, 0, 133N, 1094E,  50,  990, TS,
WP, 24, 1992102312,   , MIWU, 0, 133N, 1087E,  40,  996, TS,
WP, 24, 1992102318,   , MIWU, 0, 132N, 1079E,  35,  998, TS,
WP, 24, 1992102400,   , MIWU, 0, 131N, 1071E,  25, 1002, TD,
WP, 24, 1992102406,   , MIWU, 0, 129N, 1066E,  20, 1004, DB,
WP, 24, 1992102412,   , MIWU, 0, 124N, 1061E,  15, 1006, DB,
WP, 24, 1992102418,   , MIWU, 0, 119N, 1059E,  10, 1008, DB,
WP, 24, 1992102500,   , MIWU, 0, 113N, 1058E,  10, 1008, DB,
WP, 24, 1992102506,   , MIWU, 0, 107N, 1057E,  10, 1009, DB,
WP, 24, 1992102512,   , MIWU, 0, 102N, 1056E,  15, 1009, DB,
WP, 24, 1992102518,   , MIWU, 0,  98N, 1054E,  20, 1007, DB,
WP, 24, 1992102600,   , MIWU, 0,  93N, 1051E,  25, 1005, TD,
WP, 24, 1992102606,   , MIWU, 0,  90N, 1046E,  25, 1004, TD,
WP, 24, 1992102612,   , MIWU, 0,  88N, 1042E,  25, 1004, TD,
WP, 24, 1992102618,   , MIWU, 0,  85N, 1037E,  30, 1002, TD,
WP, 24, 1992102700,   , MIWU, 0,  83N, 1032E,  35, 1000, TS,
WP, 24, 1992102706,   , MIWU, 0,  82N, 1028E,  40,  998, TS,
WP, 24, 1992102712,   , MIWU, 0,  83N, 1024E,  40,  998, TS,
WP, 24, 1992102718,   , MIWU, 0,  84N, 1022E,  40,  997, TS,
WP, 24, 1992102800,   , MIWU, 0,  85N, 1021E,  40,  997, TS,
WP, 24, 1992102806,   , MIWU, 0,  86N, 1022E,  40,  997, TS,
WP, 24, 1992102812,   , MIWU, 0,  88N, 1025E,  35,  999, TS,
WP, 24, 1992102818,   , MIWU, 0,  89N, 1030E,  30, 1001, TD,
WP, 24, 1992102900,   , MIWU, 0,  89N, 1036E,  30, 1002, TD,
WP, 24, 1992102906,   , MIWU, 0,  90N, 1040E,  30, 1002, TD,
WP, 24, 1992102912,   , MIWU, 0,  92N, 1042E,  25, 1004, TD,
WP, 24, 1992102918,   , MIWU, 0,  94N, 1043E,  20, 1006, DB,
WP, 24, 1992103000,   , MIWU, 0,  95N, 1042E,  20, 1007, DB,
WP, 24, 1992103006,   , MIWU, 0,  96N, 1040E,  15, 1009, DB,
WP, 24, 1992103012,   , MIWU, 0,  96N, 1037E,  10, 1011, DB,
