WP, 27, 1992102312,   , MIWU, 0,  98N, 1734W,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dan,
WP, 27, 1992102318,   , MIWU, 0,  99N, 1740W,  20, 1008, DB,
WP, 27, 1992102400,   , MIWU, 0, 100N, 1748W,  20, 1008, DB,
WP, 27, 1992102406,   , MIWU, 0, 102N, 1757W,  25, 1007, TD,
WP, 27, 1992102412,   , MIWU, 0, 104N, 1766W,  25, 1007, TD,
WP, 27, 1992102418,   , MIWU, 0, 107N, 1776W,  30, 1006, TD,
WP, 27, 1992102500,   , MIWU, 0, 111N, 1787W,  35, 1005, TS,
WP, 27, 1992102506,   , MIWU, 0, 117N, 1795W,  40, 1003, TS,
WP, 27, 1992102512,   , MIWU, 0, 125N, 1796E,  45, 1001, TS,
WP, 27, 1992102518,   , MIWU, 0, 133N, 1787E,  50,  999, TS,
WP, 27, 1992102600,   , MIWU, 0, 137N, 1776E,  50,  998, TS,
WP, 27, 1992102606,   , MIWU, 0, 142N, 1761E,  55,  995, TS,
WP, 27, 1992102612,   , MIWU, 0, 146N, 1743E,  65,  989, TY,
WP, 27, 1992102618,   , MIWU, 0, 150N, 1727E,  70,  986, TY,
WP, 27, 1992102700,   , MIWU, 0, 157N, 1713E,  70,  985, TY,
WP, 27, 1992102706,   , MIWU, 0, 165N, 1700E,  80,  979, TY,
WP, 27, 1992102712,   , MIWU, 0, 171N, 1689E,  90,  973, TY,
WP, 27, 1992102718,   , MIWU, 0, 177N, 1680E, 100,  967, TY,
WP, 27, 1992102800,   , MIWU, 0, 186N, 1671E, 110,  959, TY,
WP, 27, 1992102806,   , MIWU, 0, 196N, 1663E, 105,  961, TY,
WP, 27, 1992102812,   , MIWU, 0, 203N, 1655E, 100,  963, TY,
WP, 27, 1992102818,   , MIWU, 0, 211N, 1650E,  90,  967, TY,
WP, 27, 1992102900,   , MIWU, 0, 217N, 1648E,  80,  971, TY,
WP, 27, 1992102906,   , MIWU, 0, 221N, 1647E,  70,  975, TY,
WP, 27, 1992102912,   , MIWU, 0, 224N, 1646E,  65,  977, TY,
WP, 27, 1992102918,   , MIWU, 0, 223N, 1643E,  65,  976, TY,
WP, 27, 1992103000,   , MIWU, 0, 218N, 1638E,  70,  973, TY,
WP, 27, 1992103006,   , MIWU, 0, 214N, 1631E,  70,  974, TY,
WP, 27, 1992103012,   , MIWU, 0, 209N, 1620E,  70,  974, TY,
WP, 27, 1992103018,   , MIWU, 0, 203N, 1605E,  70,  973, TY,
WP, 27, 1992103100,   , MIWU, 0, 197N, 1591E,  70,  972, TY,
WP, 27, 1992103106,   , MIWU, 0, 194N, 1578E,  75,  969, TY,
WP, 27, 1992103112,   , MIWU, 0, 192N, 1563E,  80,  966, TY,
WP, 27, 1992103118,   , MIWU, 0, 193N, 1548E,  95,  957, TY,
WP, 27, 1992110100,   , MIWU, 0, 196N, 1530E, 110,  948, TY,
WP, 27, 1992110106,   , MIWU, 0, 200N, 1515E, 135,  931, ST,
WP, 27, 1992110112,   , MIWU, 0, 208N, 1502E, 130,  933, ST,
WP, 27, 1992110118,   , MIWU, 0, 217N, 1491E, 120,  939, TY,
WP, 27, 1992110200,   , MIWU, 0, 224N, 1486E, 115,  942, TY,
WP, 27, 1992110206,   , MIWU, 0, 232N, 1489E, 110,  945, TY,
WP, 27, 1992110212,   , MIWU, 0, 240N, 1495E, 105,  948, TY,
WP, 27, 1992110218,   , MIWU, 0, 252N, 1508E,  95,  954, TY,
WP, 27, 1992110300,   , MIWU, 0, 263N, 1524E,  85,  960, TY,
WP, 27, 1992110306,   , MIWU, 0, 276N, 1546E,  75,  966, TY,
WP, 27, 1992110312,   , MIWU, 0, 290N, 1567E,  65,  972, TY,
WP, 27, 1992110318,   , MIWU, 0, 305N, 1592E,  55,  978, TS,
WP, 27, 1992110400,   , MIWU, 0, 318N, 1612E,  45,  984, EX,
WP, 27, 1992110406,   , MIWU, 0, 329N, 1628E,  40,  987, EX,
WP, 27, 1992110412,   , MIWU, 0, 336N, 1643E,  30,  993, EX,
WP, 27, 1992110418,   , MIWU, 0, 335N, 1662E,  30,  994, EX,
WP, 27, 1992110500,   , MIWU, 0, 331N, 1686E,  25,  997, EX,
