WP, 28, 1992102806,   , MIWU, 0,  65N, 1511E,  15, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Elsie,
WP, 28, 1992102812,   , MIWU, 0,  71N, 1512E,  15, 1006, DB,
WP, 28, 1992102818,   , MIWU, 0,  75N, 1513E,  20, 1004, DB,
WP, 28, 1992102900,   , MIWU, 0,  78N, 1513E,  25, 1002, TD,
WP, 28, 1992102906,   , MIWU, 0,  80N, 1512E,  30, 1000, TD,
WP, 28, 1992102912,   , MIWU, 0,  81N, 1510E,  30, 1000, TD,
WP, 28, 1992102918,   , MIWU, 0,  82N, 1508E,  30, 1000, TD,
WP, 28, 1992103000,   , MIWU, 0,  83N, 1506E,  35,  998, TS,
WP, 28, 1992103006,   , MIWU, 0,  85N, 1505E,  40,  996, TS,
WP, 28, 1992103012,   , MIWU, 0,  88N, 1503E,  45,  994, TS,
WP, 28, 1992103018,   , MIWU, 0,  92N, 1498E,  55,  989, TS,
WP, 28, 1992103100,   , MIWU, 0,  96N, 1492E,  65,  983, TY,
WP, 28, 1992103106,   , MIWU, 0,  97N, 1484E,  70,  980, TY,
WP, 28, 1992103112,   , MIWU, 0,  96N, 1476E,  70,  979, TY,
WP, 28, 1992103118,   , MIWU, 0,  96N, 1471E,  70,  979, TY,
WP, 28, 1992110100,   , MIWU, 0,  97N, 1468E,  65,  981, TY,
WP, 28, 1992110106,   , MIWU, 0,  99N, 1466E,  60,  983, TS,
WP, 28, 1992110112,   , MIWU, 0, 103N, 1462E,  60,  984, TS,
WP, 28, 1992110118,   , MIWU, 0, 107N, 1459E,  55,  986, TS,
WP, 28, 1992110200,   , MIWU, 0, 111N, 1456E,  55,  987, TS,
WP, 28, 1992110206,   , MIWU, 0, 114N, 1454E,  60,  984, TS,
WP, 28, 1992110212,   , MIWU, 0, 118N, 1451E,  65,  980, TY,
WP, 28, 1992110218,   , MIWU, 0, 122N, 1446E,  75,  970, TY,
WP, 28, 1992110300,   , MIWU, 0, 127N, 1439E,  85,  960, TY,
WP, 28, 1992110306,   , MIWU, 0, 132N, 1431E,  95,  950, TY,
WP, 28, 1992110312,   , MIWU, 0, 136N, 1422E, 105,  940, TY,
WP, 28, 1992110318,   , MIWU, 0, 140N, 1414E, 120,  931, TY,
WP, 28, 1992110400,   , MIWU, 0, 144N, 1404E, 115,  934, TY,
WP, 28, 1992110406,   , MIWU, 0, 149N, 1394E, 110,  936, TY,
WP, 28, 1992110412,   , MIWU, 0, 155N, 1383E, 105,  938, TY,
WP, 28, 1992110418,   , MIWU, 0, 161N, 1372E, 115,  930, TY,
WP, 28, 1992110500,   , MIWU, 0, 169N, 1361E, 140,  911, ST,
WP, 28, 1992110506,   , MIWU, 0, 179N, 1351E, 145,  908, ST,
WP, 28, 1992110512,   , MIWU, 0, 189N, 1343E, 140,  907, ST,
WP, 28, 1992110518,   , MIWU, 0, 203N, 1338E, 140,  907, ST,
WP, 28, 1992110600,   , MIWU, 0, 217N, 1339E, 130,  913, ST,
WP, 28, 1992110606,   , MIWU, 0, 233N, 1345E, 115,  924, TY,
WP, 28, 1992110612,   , MIWU, 0, 253N, 1357E, 100,  936, TY,
WP, 28, 1992110618,   , MIWU, 0, 277N, 1371E,  85,  948, TY,
WP, 28, 1992110700,   , MIWU, 0, 294N, 1384E,  70,  960, TY,
WP, 28, 1992110706,   , MIWU, 0, 305N, 1404E,  60,  968, TS,
WP, 28, 1992110712,   , MIWU, 0, 316N, 1427E,  60,  969, TS,
WP, 28, 1992110718,   , MIWU, 0, 325N, 1444E,  60,  970, EX,
WP, 28, 1992110800,   , MIWU, 0, 333N, 1463E,  60,  970, EX,
WP, 28, 1992110806,   , MIWU, 0, 339N, 1488E,  55,  974, EX,
WP, 28, 1992110812,   , MIWU, 0, 340N, 1513E,  50,  978, EX,
WP, 28, 1992110818,   , MIWU, 0, 342N, 1539E,  45,  982, EX,
WP, 28, 1992110900,   , MIWU, 0, 345N, 1563E,  40,  986, EX,
WP, 28, 1992110906,   , MIWU, 0, 349N, 1589E,  35,  990, EX,
