WP, 06, 1996070318,   , MIWU, 0, 190N, 1532E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dan,
WP, 06, 1996070400,   , MIWU, 0, 190N, 1520E,  20, 1006, DB,
WP, 06, 1996070406,   , MIWU, 0, 191N, 1510E,  20, 1006, DB,
WP, 06, 1996070412,   , MIWU, 0, 193N, 1500E,  20, 1005, DB,
WP, 06, 1996070418,   , MIWU, 0, 196N, 1492E,  20, 1005, DB,
WP, 06, 1996070500,   , MIWU, 0, 198N, 1486E,  25, 1003, TD,
WP, 06, 1996070506,   , MIWU, 0, 199N, 1481E,  25, 1002, TD,
WP, 06, 1996070512,   , MIWU, 0, 199N, 1476E,  30, 1000, TD,
WP, 06, 1996070518,   , MIWU, 0, 200N, 1472E,  30,  999, TD,
WP, 06, 1996070600,   , MIWU, 0, 202N, 1468E,  35,  997, TS,
WP, 06, 1996070606,   , MIWU, 0, 205N, 1463E,  35,  996, TS,
WP, 06, 1996070612,   , MIWU, 0, 208N, 1457E,  40,  993, TS,
WP, 06, 1996070618,   , MIWU, 0, 211N, 1450E,  45,  990, TS,
WP, 06, 1996070700,   , MIWU, 0, 213N, 1442E,  45,  989, TS,
WP, 06, 1996070706,   , MIWU, 0, 216N, 1433E,  50,  986, TS,
WP, 06, 1996070712,   , MIWU, 0, 220N, 1426E,  55,  982, TS,
WP, 06, 1996070718,   , MIWU, 0, 224N, 1420E,  60,  978, TS,
WP, 06, 1996070800,   , MIWU, 0, 229N, 1414E,  65,  974, TY,
WP, 06, 1996070806,   , MIWU, 0, 234N, 1408E,  65,  972, TY,
WP, 06, 1996070812,   , MIWU, 0, 240N, 1405E,  65,  972, TY,
WP, 06, 1996070818,   , MIWU, 0, 247N, 1404E,  70,  968, TY,
WP, 06, 1996070900,   , MIWU, 0, 255N, 1405E,  70,  966, TY,
WP, 06, 1996070906,   , MIWU, 0, 264N, 1407E,  65,  968, TY,
WP, 06, 1996070912,   , MIWU, 0, 277N, 1409E,  60,  970, TS,
WP, 06, 1996070918,   , MIWU, 0, 294N, 1411E,  55,  973, TS,
WP, 06, 1996071000,   , MIWU, 0, 310N, 1411E,  55,  974, TS,
WP, 06, 1996071006,   , MIWU, 0, 324N, 1410E,  50,  977, TS,
WP, 06, 1996071012,   , MIWU, 0, 338N, 1414E,  50,  978, TS,
WP, 06, 1996071018,   , MIWU, 0, 351N, 1425E,  45,  981, TS,
WP, 06, 1996071100,   , MIWU, 0, 365N, 1439E,  40,  984, TS,
WP, 06, 1996071106,   , MIWU, 0, 377N, 1455E,  40,  985, TS,
WP, 06, 1996071112,   , MIWU, 0, 396N, 1475E,  45,  983, TS,
WP, 06, 1996071118,   , MIWU, 0, 422N, 1497E,  50,  981, TS,
WP, 06, 1996071200,   , MIWU, 0, 445N, 1511E,  50,  980, EX,
WP, 06, 1996071206,   , MIWU, 0, 458N, 1516E,  55,  977, EX,
WP, 06, 1996071212,   , MIWU, 0, 468N, 1522E,  50,  978, EX,
WP, 06, 1996071218,   , MIWU, 0, 470N, 1532E,  45,  981, EX,
WP, 06, 1996071300,   , MIWU, 0, 463N, 1546E,  45,  982, EX,
WP, 06, 1996071306,   , MIWU, 0, 456N, 1566E,  45,  982, EX,
WP, 06, 1996071312,   , MIWU, 0, 453N, 1596E,  40,  985, EX,
WP, 06, 1996071318,   , MIWU, 0, 455N, 1622E,  40,  986, EX,
WP, 06, 1996071400,   , MIWU, 0, 460N, 1649E,  35,  988, EX,
WP, 06, 1996071406,   , MIWU, 0, 464N, 1678E,  35,  989, EX,
WP, 06, 1996071412,   , MIWU, 0, 469N, 1698E,  30,  992, EX,
WP, 06, 1996071418,   , MIWU, 0, 476N, 1708E,  30,  993, EX,
WP, 06, 1996071500,   , MIWU, 0, 486N, 1714E,  25,  996, EX,
WP, 06, 1996071506,   , MIWU, 0, 495N, 1716E,  25,  997, EX,
WP, 06, 1996071512,   , MIWU, 0, 502N, 1719E,  25,  997, EX,
