WP, 07, 1996071106,   , MIWU, 0, 190N, 1495E,  15, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eve,
WP, 07, 1996071112,   , MIWU, 0, 190N, 1488E,  15, 1012, DB,
WP, 07, 1996071118,   , MIWU, 0, 190N, 1480E,  20, 1010, DB,
WP, 07, 1996071200,   , MIWU, 0, 189N, 1473E,  20, 1010, DB,
WP, 07, 1996071206,   , MIWU, 0, 188N, 1467E,  25, 1008, TD,
WP, 07, 1996071212,   , MIWU, 0, 188N, 1462E,  25, 1008, TD,
WP, 07, 1996071218,   , MIWU, 0, 188N, 1456E,  30, 1006, TD,
WP, 07, 1996071300,   , MIWU, 0, 188N, 1450E,  30, 1006, TD,
WP, 07, 1996071306,   , MIWU, 0, 189N, 1444E,  35, 1004, TS,
WP, 07, 1996071312,   , MIWU, 0, 192N, 1437E,  40, 1002, TS,
WP, 07, 1996071318,   , MIWU, 0, 196N, 1430E,  45, 1000, TS,
WP, 07, 1996071400,   , MIWU, 0, 200N, 1422E,  50,  998, TS,
WP, 07, 1996071406,   , MIWU, 0, 204N, 1415E,  55,  995, TS,
WP, 07, 1996071412,   , MIWU, 0, 209N, 1407E,  60,  992, TS,
WP, 07, 1996071418,   , MIWU, 0, 214N, 1398E,  65,  989, TY,
WP, 07, 1996071500,   , MIWU, 0, 220N, 1389E,  70,  986, TY,
WP, 07, 1996071506,   , MIWU, 0, 225N, 1380E,  90,  972, TY,
WP, 07, 1996071512,   , MIWU, 0, 230N, 1370E, 120,  948, TY,
WP, 07, 1996071515,   , MIWU, 0, 232N, 1365E, 145,  926, ST,
WP, 07, 1996071518,   , MIWU, 0, 235N, 1360E, 140,  924, ST,
WP, 07, 1996071600,   , MIWU, 0, 241N, 1353E, 130,  926, ST,
WP, 07, 1996071606,   , MIWU, 0, 248N, 1345E, 120,  930, TY,
WP, 07, 1996071612,   , MIWU, 0, 255N, 1337E, 110,  938, TY,
WP, 07, 1996071618,   , MIWU, 0, 263N, 1329E, 100,  946, TY,
WP, 07, 1996071700,   , MIWU, 0, 270N, 1322E,  90,  954, TY,
WP, 07, 1996071706,   , MIWU, 0, 279N, 1315E,  85,  958, TY,
WP, 07, 1996071712,   , MIWU, 0, 287N, 1310E,  85,  960, TY,
WP, 07, 1996071718,   , MIWU, 0, 296N, 1306E, 100,  958, TY,
WP, 07, 1996071800,   , MIWU, 0, 305N, 1304E,  95,  960, TY,
WP, 07, 1996071806,   , MIWU, 0, 315N, 1306E,  80,  972, TY,
WP, 07, 1996071812,   , MIWU, 0, 325N, 1309E,  60,  986, TS,
WP, 07, 1996071818,   , MIWU, 0, 334N, 1313E,  45,  996, TS,
WP, 07, 1996071900,   , MIWU, 0, 339N, 1320E,  35, 1000, TS,
WP, 07, 1996071906,   , MIWU, 0, 342N, 1330E,  30, 1002, TD,
WP, 07, 1996071912,   , MIWU, 0, 346N, 1341E,  30, 1003, TD,
WP, 07, 1996071918,   , MIWU, 0, 348N, 1351E,  25, 1005, TD,
WP, 07, 1996072000,   , MIWU, 0, 349N, 1360E,  25, 1006, TD,
WP, 07, 1996072006,   , MIWU, 0, 347N, 1370E,  25, 1006, TD,
WP, 07, 1996072012,   , MIWU, 0, 344N, 1380E,  25, 1005, TD,
WP, 07, 1996072018,   , MIWU, 0, 341N, 1390E,  25, 1005, TD,
WP, 07, 1996072100,   , MIWU, 0, 338N, 1400E,  30, 1003, TD,
WP, 07, 1996072106,   , MIWU, 0, 335N, 1410E,  35, 1001, TS,
WP, 07, 1996072112,   , MIWU, 0, 331N, 1420E,  35, 1001, TS,
WP, 07, 1996072118,   , MIWU, 0, 326N, 1430E,  35, 1000, TS,
WP, 07, 1996072200,   , MIWU, 0, 322N, 1440E,  35, 1000, SS,
WP, 07, 1996072206,   , MIWU, 0, 319N, 1450E,  40,  998, SS,
WP, 07, 1996072212,   , MIWU, 0, 315N, 1460E,  40,  997, SS,
WP, 07, 1996072218,   , MIWU, 0, 312N, 1470E,  35,  997, SS,
WP, 07, 1996072300,   , MIWU, 0, 313N, 1480E,  30,  999, SD,
WP, 07, 1996072306,   , MIWU, 0, 316N, 1490E,  30,  999, SD,
WP, 07, 1996072312,   , MIWU, 0, 320N, 1499E,  30, 1000, EX,
WP, 07, 1996072318,   , MIWU, 0, 328N, 1508E,  30, 1000, EX,
WP, 07, 1996072400,   , MIWU, 0, 342N, 1519E,  35,  998, EX,
WP, 07, 1996072406,   , MIWU, 0, 362N, 1531E,  40,  995, EX,
WP, 07, 1996072412,   , MIWU, 0, 382N, 1548E,  45,  992, EX,
WP, 07, 1996072418,   , MIWU, 0, 400N, 1568E,  55,  984, EX,
WP, 07, 1996072500,   , MIWU, 0, 415N, 1588E,  55,  982, EX,
WP, 07, 1996072506,   , MIWU, 0, 428N, 1606E,  50,  984, EX,
WP, 07, 1996072512,   , MIWU, 0, 442N, 1627E,  40,  990, EX,
WP, 07, 1996072518,   , MIWU, 0, 456N, 1648E,  35,  993, EX,
WP, 07, 1996072600,   , MIWU, 0, 468N, 1670E,  30,  996, EX,
WP, 07, 1996072606,   , MIWU, 0, 482N, 1690E,  30,  996, EX,
WP, 07, 1996072612,   , MIWU, 0, 496N, 1712E,  30,  997, EX,
WP, 07, 1996072618,   , MIWU, 0, 510N, 1738E,  25,  999, EX,
WP, 07, 1996072700,   , MIWU, 0, 520N, 1765E,  25,  999, EX,
WP, 07, 1996072706,   , MIWU, 0, 530N, 1795E,  30,  997, EX,
WP, 07, 1996072712,   , MIWU, 0, 540N, 1771W,  30,  998, EX,
WP, 07, 1996072718,   , MIWU, 0, 550N, 1735W,  25, 1000, EX,
