WP, 08, 1996071912,   , MIWU, 0, 164N, 1155E,  20, 1000, MD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Frankie,
WP, 08, 1996071918,   , MIWU, 0, 160N, 1158E,  20, 1000, MD,
WP, 08, 1996072000,   , MIWU, 0, 158N, 1158E,  20, 1000, MD,
WP, 08, 1996072006,   , MIWU, 0, 158N, 1154E,  25,  998, MD,
WP, 08, 1996072012,   , MIWU, 0, 159N, 1148E,  25,  998, MD,
WP, 08, 1996072018,   , MIWU, 0, 162N, 1142E,  30,  996, TD,
WP, 08, 1996072100,   , MIWU, 0, 166N, 1136E,  35,  994, TS,
WP, 08, 1996072106,   , MIWU, 0, 169N, 1130E,  35,  994, TS,
WP, 08, 1996072112,   , MIWU, 0, 171N, 1124E,  35,  993, TS,
WP, 08, 1996072118,   , MIWU, 0, 174N, 1118E,  40,  991, TS,
WP, 08, 1996072200,   , MIWU, 0, 180N, 1112E,  45,  988, TS,
WP, 08, 1996072206,   , MIWU, 0, 186N, 1107E,  45,  988, TS,
WP, 08, 1996072212,   , MIWU, 0, 190N, 1102E,  50,  985, TS,
WP, 08, 1996072218,   , MIWU, 0, 192N, 1095E,  45,  985, TS,
WP, 08, 1996072300,   , MIWU, 0, 195N, 1087E,  55,  981, TS,
WP, 08, 1996072306,   , MIWU, 0, 197N, 1080E,  65,  975, TY,
WP, 08, 1996072312,   , MIWU, 0, 198N, 1072E,  70,  972, TY,
WP, 08, 1996072318,   , MIWU, 0, 200N, 1065E,  75,  969, TY,
WP, 08, 1996072400,   , MIWU, 0, 202N, 1058E,  65,  976, TY,
WP, 08, 1996072406,   , MIWU, 0, 202N, 1050E,  50,  988, TS,
WP, 08, 1996072412,   , MIWU, 0, 202N, 1040E,  40,  994, TS,
WP, 08, 1996072418,   , MIWU, 0, 204N, 1031E,  30, 1000, TD,
WP, 08, 1996072500,   , MIWU, 0, 211N, 1023E,  25, 1002, TD,
WP, 08, 1996072506,   , MIWU, 0, 218N, 1016E,  25, 1003, TD,
WP, 08, 1996072512,   , MIWU, 0, 223N, 1010E,  20, 1005, DB,
WP, 08, 1996072518,   , MIWU, 0, 227N, 1005E,  20, 1005, DB,
WP, 08, 1996072600,   , MIWU, 0, 230N, 1002E,  20, 1006, DB,
WP, 08, 1996072606,   , MIWU, 0, 232N, 1001E,  20, 1006, DB,
WP, 08, 1996072612,   , MIWU, 0, 232N, 1000E,  15, 1008, DB,
WP, 08, 1996072618,   , MIWU, 0, 231N, 1000E,  15, 1008, DB,
