WP, 09, 1996071918,   , MIWU, 0,  87N, 1358E,  15, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gloria,
WP, 09, 1996072000,   , MIWU, 0,  91N, 1354E,  15, 1009, DB,
WP, 09, 1996072006,   , MIWU, 0,  95N, 1350E,  15, 1008, DB,
WP, 09, 1996072012,   , MIWU, 0, 100N, 1344E,  15, 1008, DB,
WP, 09, 1996072018,   , MIWU, 0, 106N, 1337E,  20, 1006, DB,
WP, 09, 1996072100,   , MIWU, 0, 112N, 1328E,  20, 1006, DB,
WP, 09, 1996072106,   , MIWU, 0, 118N, 1322E,  25, 1004, TD,
WP, 09, 1996072112,   , MIWU, 0, 123N, 1317E,  30, 1002, TD,
WP, 09, 1996072118,   , MIWU, 0, 128N, 1310E,  30, 1001, TD,
WP, 09, 1996072200,   , MIWU, 0, 131N, 1302E,  30, 1000, TD,
WP, 09, 1996072206,   , MIWU, 0, 135N, 1292E,  35,  998, TS,
WP, 09, 1996072212,   , MIWU, 0, 139N, 1282E,  40,  996, TS,
WP, 09, 1996072218,   , MIWU, 0, 144N, 1274E,  45,  993, TS,
WP, 09, 1996072300,   , MIWU, 0, 150N, 1266E,  50,  990, TS,
WP, 09, 1996072306,   , MIWU, 0, 156N, 1260E,  55,  986, TS,
WP, 09, 1996072312,   , MIWU, 0, 162N, 1255E,  60,  982, TS,
WP, 09, 1996072318,   , MIWU, 0, 166N, 1250E,  60,  980, TS,
WP, 09, 1996072400,   , MIWU, 0, 170N, 1245E,  60,  980, TS,
WP, 09, 1996072406,   , MIWU, 0, 174N, 1240E,  65,  976, TY,
WP, 09, 1996072412,   , MIWU, 0, 178N, 1234E,  65,  974, TY,
WP, 09, 1996072418,   , MIWU, 0, 182N, 1228E,  70,  971, TY,
WP, 09, 1996072500,   , MIWU, 0, 188N, 1223E,  70,  970, TY,
WP, 09, 1996072506,   , MIWU, 0, 194N, 1218E,  75,  968, TY,
WP, 09, 1996072512,   , MIWU, 0, 199N, 1214E,  80,  966, TY,
WP, 09, 1996072518,   , MIWU, 0, 204N, 1211E,  85,  964, TY,
WP, 09, 1996072600,   , MIWU, 0, 210N, 1208E,  75,  968, TY,
WP, 09, 1996072606,   , MIWU, 0, 219N, 1207E,  65,  972, TY,
WP, 09, 1996072612,   , MIWU, 0, 230N, 1202E,  55,  978, TS,
WP, 09, 1996072618,   , MIWU, 0, 241N, 1192E,  50,  981, TS,
WP, 09, 1996072700,   , MIWU, 0, 250N, 1178E,  40,  987, TS,
WP, 09, 1996072706,   , MIWU, 0, 256N, 1162E,  30,  993, TD,
WP, 09, 1996072712,   , MIWU, 0, 261N, 1145E,  25,  996, TD,
WP, 09, 1996072718,   , MIWU, 0, 264N, 1128E,  20,  999, DB,
WP, 09, 1996072800,   , MIWU, 0, 263N, 1110E,  20, 1000, DB,
WP, 09, 1996072806,   , MIWU, 0, 260N, 1096E,  15, 1002, DB,
WP, 09, 1996072812,   , MIWU, 0, 256N, 1088E,  15, 1002, DB,
