WP, 17, 1996081312,   , MIWU, 0, 296N, 1765E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen-W,
WP, 17, 1996081318,   , MIWU, 0, 298N, 1774E,  25, 1008, TD,
WP, 17, 1996081400,   , MIWU, 0, 301N, 1784E,  30, 1006, TD,
WP, 17, 1996081406,   , MIWU, 0, 302N, 1795E,  30, 1005, TD,
WP, 17, 1996081412,   , MIWU, 0, 300N, 1796W,  35, 1003, TS,
WP, 17, 1996081418,   , MIWU, 0, 297N, 1791W,  40, 1001, TS,
WP, 17, 1996081500,   , MIWU, 0, 294N, 1788W,  40, 1002, TS,
WP, 17, 1996081506,   , MIWU, 0, 291N, 1788W,  35, 1004, TS,
WP, 17, 1996081512,   , MIWU, 0, 287N, 1790W,  30, 1006, TD,
WP, 17, 1996081518,   , MIWU, 0, 283N, 1793W,  25, 1008, TD,
WP, 17, 1996081600,   , MIWU, 0, 279N, 1797W,  25, 1008, TD,
WP, 17, 1996081606,   , MIWU, 0, 277N, 1797E,  25, 1008, TD,
WP, 17, 1996081612,   , MIWU, 0, 276N, 1789E,  20, 1010, LO,
WP, 17, 1996081618,   , MIWU, 0, 275N, 1780E,  20, 1010, LO,
WP, 17, 1996081700,   , MIWU, 0, 274N, 1771E,  20, 1010, LO,
