WP, 19, 1996081706,   , MIWU, 0, 152N, 1559E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Orson,
WP, 19, 1996081712,   , MIWU, 0, 150N, 1541E,  20, 1004, DB,
WP, 19, 1996081718,   , MIWU, 0, 150N, 1523E,  20, 1003, DB,
WP, 19, 1996081800,   , MIWU, 0, 151N, 1506E,  20, 1003, DB,
WP, 19, 1996081806,   , MIWU, 0, 152N, 1492E,  20, 1003, DB,
WP, 19, 1996081812,   , MIWU, 0, 154N, 1479E,  25, 1001, TD,
WP, 19, 1996081818,   , MIWU, 0, 156N, 1466E,  25, 1001, TD,
WP, 19, 1996081900,   , MIWU, 0, 160N, 1453E,  25, 1001, TD,
WP, 19, 1996081906,   , MIWU, 0, 166N, 1443E,  25, 1001, TD,
WP, 19, 1996081912,   , MIWU, 0, 172N, 1438E,  25, 1002, TD,
WP, 19, 1996081918,   , MIWU, 0, 177N, 1436E,  25, 1002, TD,
WP, 19, 1996082000,   , MIWU, 0, 182N, 1434E,  20, 1004, DB,
WP, 19, 1996082006,   , MIWU, 0, 186N, 1432E,  20, 1004, DB,
WP, 19, 1996082012,   , MIWU, 0, 191N, 1431E,  20, 1005, DB,
WP, 19, 1996082018,   , MIWU, 0, 196N, 1430E,  20, 1005, DB,
WP, 19, 1996082100,   , MIWU, 0, 202N, 1429E,  20, 1004, DB,
WP, 19, 1996082106,   , MIWU, 0, 210N, 1428E,  20, 1004, DB,
WP, 19, 1996082112,   , MIWU, 0, 215N, 1428E,  25, 1002, TD,
WP, 19, 1996082118,   , MIWU, 0, 219N, 1428E,  30, 1000, TD,
WP, 19, 1996082200,   , MIWU, 0, 222N, 1429E,  35,  998, TS,
WP, 19, 1996082206,   , MIWU, 0, 225N, 1429E,  35,  998, TS,
WP, 19, 1996082212,   , MIWU, 0, 228N, 1428E,  35,  997, TS,
WP, 19, 1996082218,   , MIWU, 0, 231N, 1426E,  40,  995, TS,
WP, 19, 1996082300,   , MIWU, 0, 233N, 1424E,  50,  991, TS,
WP, 19, 1996082306,   , MIWU, 0, 235N, 1423E,  55,  989, TS,
WP, 19, 1996082312,   , MIWU, 0, 237N, 1424E,  50,  990, TS,
WP, 19, 1996082318,   , MIWU, 0, 238N, 1427E,  50,  990, TS,
WP, 19, 1996082400,   , MIWU, 0, 239N, 1432E,  50,  989, TS,
WP, 19, 1996082406,   , MIWU, 0, 241N, 1438E,  55,  986, TS,
WP, 19, 1996082412,   , MIWU, 0, 243N, 1446E,  70,  977, TY,
WP, 19, 1996082418,   , MIWU, 0, 243N, 1455E,  85,  968, TY,
WP, 19, 1996082500,   , MIWU, 0, 244N, 1465E,  90,  965, TY,
WP, 19, 1996082506,   , MIWU, 0, 246N, 1474E, 100,  959, TY,
WP, 19, 1996082512,   , MIWU, 0, 249N, 1482E, 110,  953, TY,
WP, 19, 1996082518,   , MIWU, 0, 252N, 1489E, 110,  952, TY,
WP, 19, 1996082600,   , MIWU, 0, 255N, 1495E, 105,  952, TY,
WP, 19, 1996082606,   , MIWU, 0, 258N, 1501E, 100,  954, TY,
WP, 19, 1996082612,   , MIWU, 0, 261N, 1506E,  95,  956, TY,
WP, 19, 1996082618,   , MIWU, 0, 262N, 1510E,  90,  959, TY,
WP, 19, 1996082700,   , MIWU, 0, 263N, 1513E,  80,  965, TY,
WP, 19, 1996082706,   , MIWU, 0, 263N, 1515E,  75,  968, TY,
WP, 19, 1996082712,   , MIWU, 0, 262N, 1516E,  70,  970, TY,
WP, 19, 1996082718,   , MIWU, 0, 262N, 1517E,  60,  976, TS,
WP, 19, 1996082800,   , MIWU, 0, 263N, 1517E,  50,  982, TS,
WP, 19, 1996082806,   , MIWU, 0, 264N, 1516E,  45,  985, TS,
WP, 19, 1996082812,   , MIWU, 0, 264N, 1513E,  45,  985, TS,
WP, 19, 1996082818,   , MIWU, 0, 264N, 1508E,  45,  984, TS,
WP, 19, 1996082900,   , MIWU, 0, 265N, 1502E,  45,  984, TS,
WP, 19, 1996082906,   , MIWU, 0, 267N, 1495E,  45,  984, TS,
WP, 19, 1996082912,   , MIWU, 0, 270N, 1489E,  45,  985, TS,
WP, 19, 1996082918,   , MIWU, 0, 273N, 1483E,  45,  985, TS,
WP, 19, 1996083000,   , MIWU, 0, 276N, 1477E,  45,  985, TS,
WP, 19, 1996083006,   , MIWU, 0, 279N, 1471E,  45,  985, TS,
WP, 19, 1996083012,   , MIWU, 0, 282N, 1465E,  50,  983, TS,
WP, 19, 1996083018,   , MIWU, 0, 286N, 1458E,  50,  983, TS,
WP, 19, 1996083100,   , MIWU, 0, 290N, 1451E,  50,  982, TS,
WP, 19, 1996083106,   , MIWU, 0, 294N, 1445E,  55,  980, TS,
WP, 19, 1996083112,   , MIWU, 0, 298N, 1440E,  55,  980, TS,
WP, 19, 1996083118,   , MIWU, 0, 303N, 1436E,  55,  979, TS,
WP, 19, 1996090100,   , MIWU, 0, 309N, 1433E,  55,  979, TS,
WP, 19, 1996090106,   , MIWU, 0, 316N, 1434E,  55,  979, TS,
WP, 19, 1996090112,   , MIWU, 0, 325N, 1439E,  60,  976, TS,
WP, 19, 1996090118,   , MIWU, 0, 338N, 1447E,  60,  976, TS,
WP, 19, 1996090200,   , MIWU, 0, 352N, 1457E,  60,  975, TS,
WP, 19, 1996090206,   , MIWU, 0, 369N, 1473E,  60,  975, TS,
WP, 19, 1996090212,   , MIWU, 0, 385N, 1493E,  55,  978, TS,
WP, 19, 1996090218,   , MIWU, 0, 398N, 1513E,  50,  981, TS,
WP, 19, 1996090300,   , MIWU, 0, 410N, 1536E,  45,  984, TS,
WP, 19, 1996090306,   , MIWU, 0, 421N, 1566E,  45,  984, TS,
WP, 19, 1996090312,   , MIWU, 0, 430N, 1602E,  45,  985, EX,
WP, 19, 1996090318,   , MIWU, 0, 436N, 1642E,  45,  985, EX,
WP, 19, 1996090400,   , MIWU, 0, 440N, 1685E,  45,  985, EX,
WP, 19, 1996090406,   , MIWU, 0, 442N, 1726E,  45,  984, EX,
WP, 19, 1996090412,   , MIWU, 0, 446N, 1769E,  50,  982, EX,
WP, 19, 1996090418,   , MIWU, 0, 454N, 1786W,  50,  982, EX,
WP, 19, 1996090500,   , MIWU, 0, 469N, 1760W,  50,  981, EX,
WP, 19, 1996090506,   , MIWU, 0, 492N, 1735W,  50,  981, EX,
WP, 19, 1996090512,   , MIWU, 0, 518N, 1703W,  55,  978, EX,
WP, 19, 1996090518,   , MIWU, 0, 547N, 1670W,  55,  978, EX,
WP, 19, 1996090600,   , MIWU, 0, 563N, 1656W,  55,  976, EX,
WP, 19, 1996090606,   , MIWU, 0, 577N, 1656W,  50,  976, EX,
WP, 19, 1996090612,   , MIWU, 0, 584N, 1667W,  45,  979, EX,
WP, 19, 1996090618,   , MIWU, 0, 587N, 1679W,  45,  979, EX,
WP, 19, 1996090700,   , MIWU, 0, 585N, 1692W,  45,  980, EX,
WP, 19, 1996090706,   , MIWU, 0, 580N, 1706W,  45,  980, EX,
WP, 19, 1996090712,   , MIWU, 0, 572N, 1714W,  45,  980, EX,
WP, 19, 1996090718,   , MIWU, 0, 562N, 1716W,  45,  980, EX,
WP, 19, 1996090800,   , MIWU, 0, 553N, 1712W,  45,  980, EX,
WP, 19, 1996090806,   , MIWU, 0, 546N, 1707W,  40,  984, EX,
WP, 19, 1996090812,   , MIWU, 0, 540N, 1697W,  40,  984, EX,
WP, 19, 1996090818,   , MIWU, 0, 535N, 1682W,  40,  986, EX,
WP, 19, 1996090900,   , MIWU, 0, 530N, 1660W,  35,  990, EX,
WP, 19, 1996090906,   , MIWU, 0, 524N, 1620W,  30,  994, EX,
WP, 19, 1996090912,   , MIWU, 0, 514N, 1580W,  30,  996, EX,
WP, 19, 1996090918,   , MIWU, 0, 500N, 1542W,  30,  996, EX,
WP, 19, 1996091000,   , MIWU, 0, 486N, 1512W,  35,  994, EX,
WP, 19, 1996091006,   , MIWU, 0, 480N, 1496W,  35,  994, EX,
WP, 19, 1996091012,   , MIWU, 0, 475N, 1484W,  35,  995, EX,
WP, 19, 1996091018,   , MIWU, 0, 469N, 1470W,  30,  998, EX,
WP, 19, 1996091100,   , MIWU, 0, 463N, 1448W,  30,  999, EX,
WP, 19, 1996091106,   , MIWU, 0, 462N, 1423W,  25, 1002, EX,
WP, 19, 1996091112,   , MIWU, 0, 464N, 1392W,  20, 1004, EX,
WP, 19, 1996091118,   , MIWU, 0, 468N, 1368W,  20, 1004, EX,
WP, 19, 1996091200,   , MIWU, 0, 474N, 1353W,  20, 1005, EX,
WP, 19, 1996091206,   , MIWU, 0, 482N, 1350W,  20, 1005, EX,
