WP, 22, 1996082700,   , MIWU, 0, 215N, 1680E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rick,
WP, 22, 1996082706,   , MIWU, 0, 223N, 1683E,  20, 1008, DB,
WP, 22, 1996082712,   , MIWU, 0, 228N, 1690E,  30, 1004, TD,
WP, 22, 1996082718,   , MIWU, 0, 229N, 1699E,  35, 1002, TS,
WP, 22, 1996082800,   , MIWU, 0, 230N, 1708E,  35, 1002, TS,
WP, 22, 1996082806,   , MIWU, 0, 234N, 1717E,  30, 1002, TD,
WP, 22, 1996082812,   , MIWU, 0, 240N, 1726E,  30, 1002, SD,
WP, 22, 1996082818,   , MIWU, 0, 248N, 1735E,  35, 1000, SS,
WP, 22, 1996082900,   , MIWU, 0, 259N, 1739E,  35, 1000, SS,
WP, 22, 1996082906,   , MIWU, 0, 271N, 1738E,  30, 1002, SD,
WP, 22, 1996082912,   , MIWU, 0, 283N, 1736E,  30, 1003, SD,
WP, 22, 1996082918,   , MIWU, 0, 295N, 1733E,  35, 1001, SS,
WP, 22, 1996083000,   , MIWU, 0, 303N, 1731E,  35, 1001, SS,
WP, 22, 1996083006,   , MIWU, 0, 307N, 1728E,  35, 1000, SS,
WP, 22, 1996083012,   , MIWU, 0, 310N, 1724E,  35, 1000, SS,
WP, 22, 1996083018,   , MIWU, 0, 313N, 1722E,  35, 1000, SS,
WP, 22, 1996083100,   , MIWU, 0, 316N, 1722E,  30, 1002, SD,
WP, 22, 1996083106,   , MIWU, 0, 319N, 1725E,  30, 1002, SD,
WP, 22, 1996083112,   , MIWU, 0, 322N, 1731E,  30, 1003, SD,
WP, 22, 1996083118,   , MIWU, 0, 325N, 1740E,  30, 1003, SD,
WP, 22, 1996090100,   , MIWU, 0, 329N, 1753E,  30, 1003, SD,
WP, 22, 1996090106,   , MIWU, 0, 333N, 1768E,  30, 1003, TD,
WP, 22, 1996090112,   , MIWU, 0, 337N, 1786E,  35, 1001, TS,
WP, 22, 1996090118,   , MIWU, 0, 345N, 1792W,  35, 1000, EX,
WP, 22, 1996090200,   , MIWU, 0, 355N, 1771W,  40,  998, EX,
WP, 22, 1996090206,   , MIWU, 0, 365N, 1750W,  40,  997, EX,
WP, 22, 1996090212,   , MIWU, 0, 378N, 1731W,  35,  997, EX,
WP, 22, 1996090218,   , MIWU, 0, 392N, 1713W,  35,  997, EX,
WP, 22, 1996090300,   , MIWU, 0, 407N, 1696W,  30,  999, EX,
