WP, 23, 1996090318,   , MIWU, 0, 121N, 1384E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sally,
WP, 23, 1996090400,   , MIWU, 0, 126N, 1371E,  20, 1008, DB,
WP, 23, 1996090406,   , MIWU, 0, 131N, 1361E,  20, 1007, DB,
WP, 23, 1996090412,   , MIWU, 0, 137N, 1354E,  20, 1007, DB,
WP, 23, 1996090418,   , MIWU, 0, 143N, 1348E,  25, 1005, TD,
WP, 23, 1996090500,   , MIWU, 0, 148N, 1342E,  25, 1004, TD,
WP, 23, 1996090506,   , MIWU, 0, 152N, 1336E,  30, 1002, TD,
WP, 23, 1996090512,   , MIWU, 0, 155N, 1330E,  35, 1000, TS,
WP, 23, 1996090518,   , MIWU, 0, 158N, 1323E,  45,  996, TS,
WP, 23, 1996090600,   , MIWU, 0, 162N, 1315E,  55,  990, TS,
WP, 23, 1996090606,   , MIWU, 0, 166N, 1305E,  65,  984, TY,
WP, 23, 1996090612,   , MIWU, 0, 171N, 1294E,  75,  978, TY,
WP, 23, 1996090618,   , MIWU, 0, 176N, 1282E,  80,  974, TY,
WP, 23, 1996090700,   , MIWU, 0, 181N, 1268E,  85,  970, TY,
WP, 23, 1996090706,   , MIWU, 0, 186N, 1252E,  90,  965, TY,
WP, 23, 1996090712,   , MIWU, 0, 189N, 1235E, 110,  945, TY,
WP, 23, 1996090718,   , MIWU, 0, 192N, 1217E, 135,  922, ST,
WP, 23, 1996090800,   , MIWU, 0, 195N, 1198E, 130,  920, ST,
WP, 23, 1996090806,   , MIWU, 0, 198N, 1178E, 120,  924, TY,
WP, 23, 1996090812,   , MIWU, 0, 202N, 1157E, 110,  930, TY,
WP, 23, 1996090818,   , MIWU, 0, 206N, 1136E, 100,  938, TY,
WP, 23, 1996090900,   , MIWU, 0, 210N, 1115E, 115,  934, TY,
WP, 23, 1996090902,   , MIWU, 0, 213N, 1106E, 105,  940, TY,
WP, 23, 1996090906,   , MIWU, 0, 215N, 1093E,  80,  960, TY,
WP, 23, 1996090912,   , MIWU, 0, 220N, 1073E,  60,  976, TS,
WP, 23, 1996090918,   , MIWU, 0, 226N, 1054E,  40,  992, TS,
WP, 23, 1996091000,   , MIWU, 0, 232N, 1039E,  30,  998, TD,
WP, 23, 1996091006,   , MIWU, 0, 239N, 1026E,  20, 1002, DB,
WP, 23, 1996091012,   , MIWU, 0, 246N, 1014E,  15, 1004, DB,
