WP, 30, 1996101018,   , MIWU, 0, 148N, 1266E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Abel,
WP, 30, 1996101100,   , MIWU, 0, 150N, 1256E,  20, 1005, DB,
WP, 30, 1996101106,   , MIWU, 0, 152N, 1246E,  20, 1004, DB,
WP, 30, 1996101112,   , MIWU, 0, 155N, 1235E,  25, 1002, TD,
WP, 30, 1996101118,   , MIWU, 0, 159N, 1225E,  25, 1002, TD,
WP, 30, 1996101200,   , MIWU, 0, 165N, 1215E,  20, 1004, DB,
WP, 30, 1996101206,   , MIWU, 0, 172N, 1205E,  20, 1003, DB,
WP, 30, 1996101212,   , MIWU, 0, 178N, 1195E,  25, 1001, TD,
WP, 30, 1996101218,   , MIWU, 0, 184N, 1185E,  30,  999, TD,
WP, 30, 1996101300,   , MIWU, 0, 189N, 1176E,  40,  996, TS,
WP, 30, 1996101306,   , MIWU, 0, 195N, 1168E,  40,  997, TS,
WP, 30, 1996101312,   , MIWU, 0, 198N, 1162E,  40,  996, TS,
WP, 30, 1996101318,   , MIWU, 0, 197N, 1156E,  35,  998, TS,
WP, 30, 1996101400,   , MIWU, 0, 195N, 1150E,  30, 1000, TD,
WP, 30, 1996101406,   , MIWU, 0, 192N, 1144E,  30, 1000, TD,
WP, 30, 1996101412,   , MIWU, 0, 188N, 1137E,  30, 1001, TD,
WP, 30, 1996101418,   , MIWU, 0, 181N, 1131E,  30, 1001, LO,
WP, 30, 1996101500,   , MIWU, 0, 174N, 1127E,  25, 1003, LO,
WP, 30, 1996101506,   , MIWU, 0, 165N, 1123E,  25, 1003, LO,
WP, 30, 1996101512,   , MIWU, 0, 156N, 1119E,  25, 1004, LO,
WP, 30, 1996101518,   , MIWU, 0, 148N, 1114E,  25, 1004, LO,
WP, 30, 1996101600,   , MIWU, 0, 142N, 1111E,  25, 1004, TD,
WP, 30, 1996101606,   , MIWU, 0, 138N, 1109E,  30, 1002, TD,
WP, 30, 1996101612,   , MIWU, 0, 136N, 1107E,  30, 1001, TD,
WP, 30, 1996101618,   , MIWU, 0, 136N, 1105E,  30, 1001, TD,
WP, 30, 1996101700,   , MIWU, 0, 137N, 1102E,  25, 1003, TD,
WP, 30, 1996101706,   , MIWU, 0, 138N, 1098E,  20, 1005, DB,
WP, 30, 1996101712,   , MIWU, 0, 139N, 1093E,  15, 1007, DB,
