WP, 31, 1996101118,   , MIWU, 0, 117N, 1523E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, ThirtyOne-W,
WP, 31, 1996101200,   , MIWU, 0, 122N, 1518E,  20, 1005, DB,
WP, 31, 1996101206,   , MIWU, 0, 128N, 1514E,  20, 1004, DB,
WP, 31, 1996101212,   , MIWU, 0, 134N, 1511E,  20, 1004, DB,
WP, 31, 1996101218,   , MIWU, 0, 140N, 1507E,  25, 1002, TD,
WP, 31, 1996101300,   , MIWU, 0, 144N, 1503E,  30, 1000, TD,
WP, 31, 1996101306,   , MIWU, 0, 148N, 1497E,  30, 1000, TD,
WP, 31, 1996101312,   , MIWU, 0, 152N, 1490E,  25, 1002, TD,
WP, 31, 1996101318,   , MIWU, 0, 156N, 1483E,  25, 1002, TD,
WP, 31, 1996101400,   , MIWU, 0, 160N, 1476E,  25, 1002, TD,
WP, 31, 1996101406,   , MIWU, 0, 165N, 1469E,  30, 1000, TD,
WP, 31, 1996101412,   , MIWU, 0, 169N, 1462E,  30, 1001, TD,
WP, 31, 1996101418,   , MIWU, 0, 173N, 1453E,  25, 1003, TD,
WP, 31, 1996101500,   , MIWU, 0, 176N, 1443E,  25, 1004, TD,
WP, 31, 1996101506,   , MIWU, 0, 180N, 1435E,  20, 1006, DB,
WP, 31, 1996101512,   , MIWU, 0, 186N, 1428E,  20, 1005, DB,
WP, 31, 1996101518,   , MIWU, 0, 194N, 1423E,  25, 1003, TD,
WP, 31, 1996101600,   , MIWU, 0, 202N, 1417E,  25, 1002, TD,
WP, 31, 1996101606,   , MIWU, 0, 208N, 1412E,  20, 1004, DB,
WP, 31, 1996101612,   , MIWU, 0, 215N, 1409E,  20, 1004, DB,
WP, 31, 1996101618,   , MIWU, 0, 224N, 1407E,  25, 1002, TD,
WP, 31, 1996101700,   , MIWU, 0, 232N, 1405E,  30, 1000, TD,
WP, 31, 1996101706,   , MIWU, 0, 238N, 1403E,  30, 1000, TD,
WP, 31, 1996101712,   , MIWU, 0, 243N, 1398E,  25, 1002, EX,
WP, 31, 1996101718,   , MIWU, 0, 249N, 1392E,  25, 1003, EX,
WP, 31, 1996101800,   , MIWU, 0, 258N, 1387E,  25, 1003, EX,
WP, 31, 1996101806,   , MIWU, 0, 270N, 1385E,  20, 1005, EX,
