WP, 37, 1996110306,   , MIWU, 0,  50N, 1371E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ernie,
WP, 37, 1996110312,   , MIWU, 0,  50N, 1359E,  20, 1006, DB,
WP, 37, 1996110318,   , MIWU, 0,  51N, 1347E,  20, 1006, DB,
WP, 37, 1996110400,   , MIWU, 0,  53N, 1334E,  20, 1005, DB,
WP, 37, 1996110406,   , MIWU, 0,  56N, 1322E,  20, 1005, DB,
WP, 37, 1996110412,   , MIWU, 0,  60N, 1312E,  25, 1003, TD,
WP, 37, 1996110418,   , MIWU, 0,  66N, 1302E,  25, 1002, TD,
WP, 37, 1996110500,   , MIWU, 0,  74N, 1292E,  30, 1000, TD,
WP, 37, 1996110506,   , MIWU, 0,  81N, 1283E,  35,  998, TS,
WP, 37, 1996110512,   , MIWU, 0,  87N, 1272E,  35,  998, TS,
WP, 37, 1996110518,   , MIWU, 0,  91N, 1263E,  30, 1000, TD,
WP, 37, 1996110600,   , MIWU, 0,  96N, 1255E,  30, 1000, TD,
WP, 37, 1996110606,   , MIWU, 0, 103N, 1247E,  30,  999, TD,
WP, 37, 1996110612,   , MIWU, 0, 112N, 1238E,  30,  999, TD,
WP, 37, 1996110618,   , MIWU, 0, 117N, 1228E,  35,  997, TS,
WP, 37, 1996110700,   , MIWU, 0, 120N, 1216E,  35,  996, TS,
WP, 37, 1996110706,   , MIWU, 0, 121N, 1206E,  35,  996, TS,
WP, 37, 1996110712,   , MIWU, 0, 123N, 1199E,  40,  994, TS,
WP, 37, 1996110718,   , MIWU, 0, 126N, 1195E,  40,  994, TS,
WP, 37, 1996110800,   , MIWU, 0, 130N, 1192E,  40,  993, TS,
WP, 37, 1996110806,   , MIWU, 0, 136N, 1189E,  40,  993, TS,
WP, 37, 1996110812,   , MIWU, 0, 143N, 1186E,  35,  995, TS,
WP, 37, 1996110818,   , MIWU, 0, 151N, 1184E,  30,  998, TD,
WP, 37, 1996110900,   , MIWU, 0, 160N, 1183E,  25, 1001, TD,
WP, 37, 1996110906,   , MIWU, 0, 170N, 1180E,  25, 1002, TD,
WP, 37, 1996110912,   , MIWU, 0, 178N, 1178E,  25, 1002, TD,
WP, 37, 1996110918,   , MIWU, 0, 185N, 1178E,  30, 1000, TD,
WP, 37, 1996111000,   , MIWU, 0, 191N, 1178E,  35,  998, TS,
WP, 37, 1996111006,   , MIWU, 0, 195N, 1179E,  40,  996, TS,
WP, 37, 1996111012,   , MIWU, 0, 198N, 1180E,  40,  995, TS,
WP, 37, 1996111018,   , MIWU, 0, 200N, 1181E,  40,  995, TS,
WP, 37, 1996111100,   , MIWU, 0, 200N, 1182E,  35,  997, TS,
WP, 37, 1996111106,   , MIWU, 0, 199N, 1186E,  30,  999, TD,
WP, 37, 1996111112,   , MIWU, 0, 197N, 1192E,  30, 1000, TD,
WP, 37, 1996111118,   , MIWU, 0, 194N, 1198E,  30, 1000, TD,
WP, 37, 1996111200,   , MIWU, 0, 190N, 1202E,  35,  998, TS,
WP, 37, 1996111206,   , MIWU, 0, 186N, 1204E,  35,  999, TS,
WP, 37, 1996111212,   , MIWU, 0, 181N, 1204E,  30, 1001, TD,
WP, 37, 1996111218,   , MIWU, 0, 174N, 1202E,  30, 1002, TD,
WP, 37, 1996111300,   , MIWU, 0, 165N, 1194E,  30, 1002, TD,
WP, 37, 1996111306,   , MIWU, 0, 158N, 1184E,  35, 1000, TS,
WP, 37, 1996111312,   , MIWU, 0, 154N, 1174E,  35,  999, TS,
WP, 37, 1996111318,   , MIWU, 0, 150N, 1162E,  40,  997, TS,
WP, 37, 1996111400,   , MIWU, 0, 145N, 1150E,  40,  996, TS,
WP, 37, 1996111406,   , MIWU, 0, 139N, 1139E,  35,  998, TS,
WP, 37, 1996111412,   , MIWU, 0, 131N, 1129E,  30, 1000, TD,
WP, 37, 1996111418,   , MIWU, 0, 124N, 1122E,  25, 1002, TD,
WP, 37, 1996111500,   , MIWU, 0, 116N, 1115E,  25, 1002, TD,
WP, 37, 1996111506,   , MIWU, 0, 110N, 1108E,  25, 1003, TD,
WP, 37, 1996111512,   , MIWU, 0, 106N, 1100E,  25, 1003, TD,
WP, 37, 1996111518,   , MIWU, 0, 102N, 1090E,  30, 1001, TD,
WP, 37, 1996111600,   , MIWU, 0,  99N, 1081E,  30, 1000, TD,
WP, 37, 1996111606,   , MIWU, 0,  98N, 1072E,  25, 1002, TD,
WP, 37, 1996111612,   , MIWU, 0,  98N, 1062E,  20, 1004, DB,
WP, 37, 1996111618,   , MIWU, 0,  99N, 1051E,  20, 1004, DB,
WP, 37, 1996111700,   , MIWU, 0,  98N, 1039E,  20, 1004, DB,
WP, 37, 1996111706,   , MIWU, 0,  98N, 1028E,  20, 1005, DB,
WP, 37, 1996111712,   , MIWU, 0,  99N, 1018E,  20, 1005, DB,
WP, 37, 1996111718,   , MIWU, 0, 101N, 1009E,  20, 1005, DB,
WP, 37, 1996111800,   , MIWU, 0, 104N, 1000E,  15, 1007, DB,
WP, 37, 1996111806,   , MIWU, 0, 107N,  992E,  15, 1008, DB,
