WP, 40, 1996112412,   , MIWU, 0, 116N, 1461E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fourty-W,
WP, 40, 1996112418,   , MIWU, 0, 123N, 1448E,  20, 1004, DB,
WP, 40, 1996112500,   , MIWU, 0, 134N, 1436E,  20, 1003, DB,
WP, 40, 1996112506,   , MIWU, 0, 149N, 1429E,  20, 1003, DB,
WP, 40, 1996112512,   , MIWU, 0, 161N, 1424E,  20, 1003, DB,
WP, 40, 1996112518,   , MIWU, 0, 170N, 1417E,  25, 1001, TD,
WP, 40, 1996112600,   , MIWU, 0, 175N, 1410E,  25, 1001, TD,
WP, 40, 1996112606,   , MIWU, 0, 178N, 1403E,  25, 1000, TD,
WP, 40, 1996112612,   , MIWU, 0, 181N, 1396E,  25, 1000, TD,
WP, 40, 1996112618,   , MIWU, 0, 183N, 1390E,  20, 1002, DB,
WP, 40, 1996112700,   , MIWU, 0, 183N, 1385E,  20, 1002, DB,
WP, 40, 1996112706,   , MIWU, 0, 181N, 1381E,  15, 1004, DB,
WP, 40, 1996112712,   , MIWU, 0, 177N, 1377E,  15, 1004, DB,
WP, 40, 1996112718,   , MIWU, 0, 170N, 1370E,  20, 1002, DB,
WP, 40, 1996112800,   , MIWU, 0, 161N, 1359E,  20, 1002, DB,
WP, 40, 1996112806,   , MIWU, 0, 157N, 1345E,  20, 1002, DB,
WP, 40, 1996112812,   , MIWU, 0, 158N, 1332E,  20, 1001, DB,
WP, 40, 1996112818,   , MIWU, 0, 160N, 1321E,  25,  999, TD,
WP, 40, 1996112900,   , MIWU, 0, 159N, 1312E,  30,  997, TD,
WP, 40, 1996112906,   , MIWU, 0, 153N, 1306E,  30,  998, TD,
WP, 40, 1996112912,   , MIWU, 0, 145N, 1304E,  25, 1000, TD,
WP, 40, 1996112918,   , MIWU, 0, 140N, 1299E,  25, 1000, TD,
WP, 40, 1996113000,   , MIWU, 0, 137N, 1293E,  25, 1001, TD,
WP, 40, 1996113006,   , MIWU, 0, 134N, 1286E,  20, 1003, DB,
WP, 40, 1996113012,   , MIWU, 0, 131N, 1278E,  20, 1004, DB,
WP, 40, 1996113018,   , MIWU, 0, 127N, 1270E,  25, 1002, TD,
WP, 40, 1996120100,   , MIWU, 0, 120N, 1263E,  25, 1002, TD,
WP, 40, 1996120106,   , MIWU, 0, 110N, 1260E,  25, 1003, TD,
WP, 40, 1996120112,   , MIWU, 0, 100N, 1258E,  20, 1005, DB,
WP, 40, 1996120118,   , MIWU, 0,  92N, 1257E,  20, 1006, DB,
WP, 40, 1996120200,   , MIWU, 0,  85N, 1256E,  15, 1008, DB,
