WP, 03, 1997041912,   , MIWU, 0,  66N, 1634E,  15, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jimmy,
WP, 03, 1997041918,   , MIWU, 0,  69N, 1626E,  15, 1012, DB,
WP, 03, 1997042000,   , MIWU, 0,  72N, 1619E,  15, 1011, DB,
WP, 03, 1997042006,   , MIWU, 0,  74N, 1612E,  15, 1011, DB,
WP, 03, 1997042012,   , MIWU, 0,  75N, 1607E,  20, 1009, DB,
WP, 03, 1997042018,   , MIWU, 0,  76N, 1602E,  20, 1009, DB,
WP, 03, 1997042100,   , MIWU, 0,  78N, 1597E,  20, 1009, DB,
WP, 03, 1997042106,   , MIWU, 0,  81N, 1593E,  25, 1007, TD,
WP, 03, 1997042112,   , MIWU, 0,  86N, 1588E,  25, 1007, TD,
WP, 03, 1997042118,   , MIWU, 0,  94N, 1582E,  30, 1005, TD,
WP, 03, 1997042200,   , MIWU, 0, 103N, 1576E,  35, 1003, TS,
WP, 03, 1997042206,   , MIWU, 0, 113N, 1571E,  35, 1002, TS,
WP, 03, 1997042212,   , MIWU, 0, 123N, 1565E,  35, 1002, TS,
WP, 03, 1997042218,   , MIWU, 0, 132N, 1555E,  40, 1000, TS,
WP, 03, 1997042300,   , MIWU, 0, 141N, 1547E,  40, 1000, TS,
WP, 03, 1997042306,   , MIWU, 0, 150N, 1542E,  45,  998, TS,
WP, 03, 1997042312,   , MIWU, 0, 158N, 1538E,  55,  993, TS,
WP, 03, 1997042318,   , MIWU, 0, 167N, 1536E,  65,  987, TY,
WP, 03, 1997042400,   , MIWU, 0, 176N, 1538E,  60,  989, TS,
WP, 03, 1997042406,   , MIWU, 0, 185N, 1541E,  55,  991, TS,
WP, 03, 1997042412,   , MIWU, 0, 191N, 1545E,  55,  992, TS,
WP, 03, 1997042418,   , MIWU, 0, 195N, 1548E,  55,  992, TS,
WP, 03, 1997042500,   , MIWU, 0, 199N, 1552E,  55,  991, TS,
WP, 03, 1997042506,   , MIWU, 0, 203N, 1558E,  45,  995, TS,
WP, 03, 1997042512,   , MIWU, 0, 206N, 1565E,  40,  997, TS,
WP, 03, 1997042518,   , MIWU, 0, 209N, 1573E,  30, 1001, TD,
WP, 03, 1997042600,   , MIWU, 0, 215N, 1583E,  25, 1003, EX,
WP, 03, 1997042606,   , MIWU, 0, 225N, 1596E,  25, 1004, EX,
WP, 03, 1997042612,   , MIWU, 0, 238N, 1612E,  20, 1006, EX,
