WP, 11, 1997072012,   , MIWU, 0, 235N, 1498E,  20, 1013, SD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Scott,
WP, 11, 1997072018,   , MIWU, 0, 237N, 1494E,  20, 1013, SD,
WP, 11, 1997072100,   , MIWU, 0, 240N, 1491E,  20, 1013, SD,
WP, 11, 1997072106,   , MIWU, 0, 242N, 1488E,  20, 1012, SD,
WP, 11, 1997072112,   , MIWU, 0, 244N, 1486E,  20, 1012, SD,
WP, 11, 1997072118,   , MIWU, 0, 247N, 1483E,  20, 1012, SD,
WP, 11, 1997072200,   , MIWU, 0, 252N, 1480E,  25, 1010, SD,
WP, 11, 1997072206,   , MIWU, 0, 258N, 1478E,  25, 1010, SD,
WP, 11, 1997072212,   , MIWU, 0, 263N, 1481E,  25, 1009, SD,
WP, 11, 1997072218,   , MIWU, 0, 268N, 1486E,  30, 1006, SD,
WP, 11, 1997072300,   , MIWU, 0, 275N, 1493E,  30, 1006, SD,
WP, 11, 1997072306,   , MIWU, 0, 284N, 1499E,  30, 1005, SD,
WP, 11, 1997072312,   , MIWU, 0, 293N, 1504E,  30, 1005, SD,
WP, 11, 1997072318,   , MIWU, 0, 302N, 1509E,  35, 1002, SS,
WP, 11, 1997072400,   , MIWU, 0, 309N, 1513E,  35, 1001, SS,
WP, 11, 1997072406,   , MIWU, 0, 315N, 1513E,  35, 1001, SS,
WP, 11, 1997072412,   , MIWU, 0, 317N, 1512E,  30, 1003, SD,
WP, 11, 1997072418,   , MIWU, 0, 318N, 1512E,  25, 1005, SD,
WP, 11, 1997072500,   , MIWU, 0, 317N, 1514E,  25, 1005, SD,
WP, 11, 1997072506,   , MIWU, 0, 313N, 1516E,  25, 1006, SD,
WP, 11, 1997072512,   , MIWU, 0, 307N, 1516E,  25, 1006, SD,
WP, 11, 1997072518,   , MIWU, 0, 299N, 1520E,  20, 1008, SD,
WP, 11, 1997072600,   , MIWU, 0, 285N, 1526E,  20, 1007, SD,
WP, 11, 1997072606,   , MIWU, 0, 269N, 1533E,  25, 1004, SD,
WP, 11, 1997072612,   , MIWU, 0, 253N, 1542E,  30, 1001, TD,
WP, 11, 1997072618,   , MIWU, 0, 238N, 1548E,  30, 1000, TD,
WP, 11, 1997072700,   , MIWU, 0, 227N, 1552E,  35,  997, TS,
WP, 11, 1997072706,   , MIWU, 0, 222N, 1557E,  35,  997, TS,
WP, 11, 1997072712,   , MIWU, 0, 228N, 1562E,  35,  997, TS,
WP, 11, 1997072718,   , MIWU, 0, 234N, 1560E,  35,  996, TS,
WP, 11, 1997072800,   , MIWU, 0, 238N, 1556E,  35,  996, TS,
WP, 11, 1997072806,   , MIWU, 0, 240N, 1554E,  35,  996, TS,
WP, 11, 1997072812,   , MIWU, 0, 242N, 1554E,  40,  993, TS,
WP, 11, 1997072818,   , MIWU, 0, 244N, 1555E,  45,  990, TS,
WP, 11, 1997072900,   , MIWU, 0, 249N, 1557E,  55,  982, TS,
WP, 11, 1997072906,   , MIWU, 0, 255N, 1559E,  65,  974, TY,
WP, 11, 1997072912,   , MIWU, 0, 260N, 1562E,  65,  972, TY,
WP, 11, 1997072918,   , MIWU, 0, 266N, 1566E,  60,  972, TS,
WP, 11, 1997073000,   , MIWU, 0, 273N, 1574E,  60,  973, TS,
WP, 11, 1997073006,   , MIWU, 0, 280N, 1583E,  60,  973, TS,
WP, 11, 1997073012,   , MIWU, 0, 288N, 1592E,  55,  975, TS,
WP, 11, 1997073018,   , MIWU, 0, 296N, 1597E,  50,  977, TS,
WP, 11, 1997073100,   , MIWU, 0, 303N, 1604E,  45,  980, SS,
WP, 11, 1997073106,   , MIWU, 0, 307N, 1614E,  40,  983, SS,
WP, 11, 1997073112,   , MIWU, 0, 310N, 1630E,  40,  983, SS,
WP, 11, 1997073118,   , MIWU, 0, 312N, 1645E,  40,  982, SS,
WP, 11, 1997080100,   , MIWU, 0, 313N, 1663E,  40,  982, TS,
WP, 11, 1997080106,   , MIWU, 0, 316N, 1681E,  45,  980, TS,
WP, 11, 1997080112,   , MIWU, 0, 323N, 1697E,  50,  978, TS,
WP, 11, 1997080118,   , MIWU, 0, 336N, 1709E,  60,  974, TS,
WP, 11, 1997080200,   , MIWU, 0, 350N, 1720E,  60,  973, TS,
WP, 11, 1997080206,   , MIWU, 0, 367N, 1732E,  55,  976, EX,
WP, 11, 1997080212,   , MIWU, 0, 390N, 1749E,  45,  982, EX,
WP, 11, 1997080218,   , MIWU, 0, 426N, 1779E,  45,  982, EX,
WP, 11, 1997080300,   , MIWU, 0, 475N, 1800E,  45,  982, EX,
WP, 11, 1997080306,   , MIWU, 0, 520N, 1795W,  40,  985, EX,
WP, 11, 1997080312,   , MIWU, 0, 550N, 1792W,  40,  985, EX,
WP, 11, 1997080318,   , MIWU, 0, 575N, 1793W,  35,  988, EX,
WP, 11, 1997080400,   , MIWU, 0, 598N, 1797W,  30,  991, EX,
