WP, 19, 1997082606,   , MIWU, 0, 110N, 1615E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bing,
WP, 19, 1997082612,   , MIWU, 0, 112N, 1600E,  20, 1004, DB,
WP, 19, 1997082618,   , MIWU, 0, 114N, 1585E,  20, 1003, DB,
WP, 19, 1997082700,   , MIWU, 0, 115N, 1569E,  20, 1003, DB,
WP, 19, 1997082706,   , MIWU, 0, 116N, 1553E,  20, 1003, DB,
WP, 19, 1997082712,   , MIWU, 0, 117N, 1538E,  25, 1001, TD,
WP, 19, 1997082718,   , MIWU, 0, 119N, 1524E,  25, 1001, TD,
WP, 19, 1997082800,   , MIWU, 0, 121N, 1509E,  25, 1001, TD,
WP, 19, 1997082806,   , MIWU, 0, 125N, 1495E,  25, 1000, TD,
WP, 19, 1997082812,   , MIWU, 0, 130N, 1481E,  30,  998, TD,
WP, 19, 1997082818,   , MIWU, 0, 134N, 1468E,  35,  996, TS,
WP, 19, 1997082900,   , MIWU, 0, 138N, 1455E,  35,  995, TS,
WP, 19, 1997082906,   , MIWU, 0, 142N, 1442E,  40,  993, TS,
WP, 19, 1997082912,   , MIWU, 0, 144N, 1428E,  45,  990, TS,
WP, 19, 1997082918,   , MIWU, 0, 148N, 1415E,  50,  987, TS,
WP, 19, 1997083000,   , MIWU, 0, 154N, 1403E,  50,  986, TS,
WP, 19, 1997083006,   , MIWU, 0, 160N, 1391E,  55,  983, TS,
WP, 19, 1997083012,   , MIWU, 0, 166N, 1385E,  60,  980, TS,
WP, 19, 1997083018,   , MIWU, 0, 172N, 1384E,  65,  976, TY,
WP, 19, 1997083100,   , MIWU, 0, 180N, 1384E,  75,  968, TY,
WP, 19, 1997083106,   , MIWU, 0, 189N, 1385E,  90,  956, TY,
WP, 19, 1997083112,   , MIWU, 0, 200N, 1386E, 105,  947, TY,
WP, 19, 1997083118,   , MIWU, 0, 213N, 1388E, 120,  938, TY,
WP, 19, 1997090100,   , MIWU, 0, 226N, 1390E, 130,  930, ST,
WP, 19, 1997090106,   , MIWU, 0, 239N, 1390E, 140,  920, ST,
WP, 19, 1997090112,   , MIWU, 0, 252N, 1389E, 135,  920, ST,
WP, 19, 1997090118,   , MIWU, 0, 263N, 1386E, 130,  923, ST,
WP, 19, 1997090200,   , MIWU, 0, 272N, 1383E, 120,  929, TY,
WP, 19, 1997090206,   , MIWU, 0, 281N, 1383E, 110,  936, TY,
WP, 19, 1997090212,   , MIWU, 0, 289N, 1388E, 105,  940, TY,
WP, 19, 1997090218,   , MIWU, 0, 300N, 1395E,  95,  946, TY,
WP, 19, 1997090300,   , MIWU, 0, 312N, 1405E,  90,  949, TY,
WP, 19, 1997090306,   , MIWU, 0, 324N, 1419E,  85,  952, TY,
WP, 19, 1997090312,   , MIWU, 0, 335N, 1441E,  85,  952, TY,
WP, 19, 1997090318,   , MIWU, 0, 348N, 1468E,  80,  955, TY,
WP, 19, 1997090400,   , MIWU, 0, 368N, 1500E,  75,  958, TY,
WP, 19, 1997090406,   , MIWU, 0, 388N, 1533E,  70,  961, TY,
WP, 19, 1997090412,   , MIWU, 0, 407N, 1568E,  65,  964, TY,
WP, 19, 1997090418,   , MIWU, 0, 426N, 1604E,  60,  967, EX,
WP, 19, 1997090500,   , MIWU, 0, 447N, 1643E,  55,  970, EX,
WP, 19, 1997090506,   , MIWU, 0, 466N, 1684E,  55,  972, EX,
WP, 19, 1997090512,   , MIWU, 0, 485N, 1728E,  50,  976, EX,
WP, 19, 1997090518,   , MIWU, 0, 498N, 1775E,  50,  976, EX,
WP, 19, 1997090600,   , MIWU, 0, 506N, 1783W,  50,  978, EX,
WP, 19, 1997090606,   , MIWU, 0, 513N, 1745W,  50,  978, EX,
WP, 19, 1997090612,   , MIWU, 0, 522N, 1708W,  55,  976, EX,
WP, 19, 1997090618,   , MIWU, 0, 534N, 1676W,  60,  973, EX,
WP, 19, 1997090700,   , MIWU, 0, 544N, 1662W,  60,  972, EX,
WP, 19, 1997090706,   , MIWU, 0, 553N, 1652W,  55,  976, EX,
WP, 19, 1997090712,   , MIWU, 0, 560N, 1645W,  50,  980, EX,
WP, 19, 1997090718,   , MIWU, 0, 565N, 1641W,  45,  983, EX,
WP, 19, 1997090800,   , MIWU, 0, 569N, 1639W,  40,  986, EX,
WP, 19, 1997090806,   , MIWU, 0, 572N, 1636W,  35,  989, EX,
WP, 19, 1997090812,   , MIWU, 0, 575N, 1631W,  35,  990, EX,
WP, 19, 1997090818,   , MIWU, 0, 577N, 1621W,  30,  993, EX,
WP, 19, 1997090900,   , MIWU, 0, 578N, 1600W,  30,  994, EX,
WP, 19, 1997090906,   , MIWU, 0, 578N, 1575W,  25,  997, EX,
WP, 19, 1997090912,   , MIWU, 0, 578N, 1550W,  25,  998, EX,
WP, 19, 1997090918,   , MIWU, 0, 577N, 1526W,  25,  998, EX,
WP, 19, 1997091000,   , MIWU, 0, 576N, 1510W,  25,  998, EX,
WP, 19, 1997091006,   , MIWU, 0, 573N, 1500W,  20, 1000, EX,
WP, 19, 1997091012,   , MIWU, 0, 569N, 1490W,  20, 1000, EX,
WP, 19, 1997091018,   , MIWU, 0, 564N, 1481W,  20, 1001, EX,
WP, 19, 1997091100,   , MIWU, 0, 559N, 1474W,  15, 1003, EX,
