WP, 04, 1998080106,   , MIWU, 0, 141N, 1280E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Otto,
WP, 04, 1998080112,   , MIWU, 0, 144N, 1276E,  20, 1007, DB,
WP, 04, 1998080118,   , MIWU, 0, 147N, 1271E,  25, 1005, TD,
WP, 04, 1998080200,   , MIWU, 0, 149N, 1266E,  30, 1002, TD,
WP, 04, 1998080206,   , MIWU, 0, 151N, 1260E,  35, 1000, TS,
WP, 04, 1998080212,   , MIWU, 0, 155N, 1254E,  40,  998, TS,
WP, 04, 1998080218,   , MIWU, 0, 160N, 1248E,  45,  995, TS,
WP, 04, 1998080300,   , MIWU, 0, 172N, 1245E,  50,  992, TS,
WP, 04, 1998080306,   , MIWU, 0, 187N, 1240E,  60,  986, TS,
WP, 04, 1998080312,   , MIWU, 0, 202N, 1232E,  70,  980, TY,
WP, 04, 1998080318,   , MIWU, 0, 212N, 1225E,  80,  974, TY,
WP, 04, 1998080400,   , MIWU, 0, 222N, 1219E,  90,  968, TY,
WP, 04, 1998080406,   , MIWU, 0, 233N, 1212E,  80,  972, TY,
WP, 04, 1998080412,   , MIWU, 0, 245N, 1204E,  55,  987, TS,
WP, 04, 1998080418,   , MIWU, 0, 253N, 1196E,  50,  990, TS,
WP, 04, 1998080500,   , MIWU, 0, 259N, 1187E,  40,  996, TS,
WP, 04, 1998080506,   , MIWU, 0, 263N, 1182E,  30, 1002, TD,
WP, 04, 1998080512,   , MIWU, 0, 265N, 1181E,  30, 1003, TD,
WP, 04, 1998080518,   , MIWU, 0, 268N, 1182E,  25, 1005, TD,
WP, 04, 1998080600,   , MIWU, 0, 272N, 1184E,  20, 1007, DB,
WP, 04, 1998080606,   , MIWU, 0, 277N, 1188E,  20, 1008, DB,
WP, 04, 1998080612,   , MIWU, 0, 283N, 1192E,  15, 1010, DB,
WP, 04, 1998080618,   , MIWU, 0, 289N, 1196E,  15, 1011, DB,
