WP, 05, 1998080506,   , MIWU, 0, 102N, 1299E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Penny,
WP, 05, 1998080512,   , MIWU, 0, 107N, 1294E,  20, 1009, DB,
WP, 05, 1998080518,   , MIWU, 0, 113N, 1289E,  20, 1008, DB,
WP, 05, 1998080600,   , MIWU, 0, 120N, 1283E,  20, 1008, DB,
WP, 05, 1998080606,   , MIWU, 0, 127N, 1277E,  20, 1008, DB,
WP, 05, 1998080612,   , MIWU, 0, 134N, 1270E,  25, 1006, TD,
WP, 05, 1998080618,   , MIWU, 0, 143N, 1264E,  25, 1006, TD,
WP, 05, 1998080700,   , MIWU, 0, 151N, 1258E,  30, 1004, TD,
WP, 05, 1998080706,   , MIWU, 0, 159N, 1250E,  35, 1002, TS,
WP, 05, 1998080712,   , MIWU, 0, 164N, 1241E,  40, 1000, TS,
WP, 05, 1998080718,   , MIWU, 0, 168N, 1231E,  45,  998, TS,
WP, 05, 1998080800,   , MIWU, 0, 172N, 1221E,  50,  996, TS,
WP, 05, 1998080806,   , MIWU, 0, 176N, 1211E,  40, 1000, TS,
WP, 05, 1998080812,   , MIWU, 0, 181N, 1200E,  40,  999, TS,
WP, 05, 1998080818,   , MIWU, 0, 187N, 1190E,  45,  996, TS,
WP, 05, 1998080900,   , MIWU, 0, 192N, 1179E,  50,  993, TS,
WP, 05, 1998080906,   , MIWU, 0, 194N, 1169E,  45,  995, TS,
WP, 05, 1998080912,   , MIWU, 0, 196N, 1160E,  45,  995, TS,
WP, 05, 1998080918,   , MIWU, 0, 198N, 1152E,  45,  994, TS,
WP, 05, 1998081000,   , MIWU, 0, 200N, 1144E,  50,  991, TS,
WP, 05, 1998081006,   , MIWU, 0, 202N, 1135E,  55,  988, TS,
WP, 05, 1998081012,   , MIWU, 0, 204N, 1125E,  60,  984, TS,
WP, 05, 1998081018,   , MIWU, 0, 207N, 1116E,  55,  987, TS,
WP, 05, 1998081100,   , MIWU, 0, 216N, 1110E,  45,  993, TS,
WP, 05, 1998081106,   , MIWU, 0, 225N, 1103E,  40,  996, TS,
WP, 05, 1998081112,   , MIWU, 0, 232N, 1093E,  30, 1000, TD,
WP, 05, 1998081118,   , MIWU, 0, 236N, 1082E,  20, 1004, DB,
WP, 05, 1998081200,   , MIWU, 0, 238N, 1070E,  15, 1006, DB,
