WP, 06, 1998082212,   , MIWU, 0, 166N, 1305E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rex,
WP, 06, 1998082218,   , MIWU, 0, 168N, 1294E,  20, 1009, DB,
WP, 06, 1998082300,   , MIWU, 0, 176N, 1286E,  20, 1009, DB,
WP, 06, 1998082306,   , MIWU, 0, 186N, 1287E,  25, 1007, TD,
WP, 06, 1998082312,   , MIWU, 0, 196N, 1292E,  25, 1007, TD,
WP, 06, 1998082318,   , MIWU, 0, 203N, 1298E,  30, 1004, TD,
WP, 06, 1998082400,   , MIWU, 0, 208N, 1303E,  30, 1003, TD,
WP, 06, 1998082406,   , MIWU, 0, 215N, 1308E,  35, 1000, TS,
WP, 06, 1998082412,   , MIWU, 0, 224N, 1312E,  35,  999, TS,
WP, 06, 1998082418,   , MIWU, 0, 234N, 1317E,  40,  996, TS,
WP, 06, 1998082500,   , MIWU, 0, 242N, 1323E,  50,  990, TS,
WP, 06, 1998082506,   , MIWU, 0, 246N, 1330E,  60,  984, TS,
WP, 06, 1998082512,   , MIWU, 0, 249N, 1337E,  65,  981, TY,
WP, 06, 1998082518,   , MIWU, 0, 251N, 1345E,  70,  978, TY,
WP, 06, 1998082600,   , MIWU, 0, 252N, 1353E,  75,  975, TY,
WP, 06, 1998082606,   , MIWU, 0, 250N, 1361E,  80,  972, TY,
WP, 06, 1998082612,   , MIWU, 0, 247N, 1369E,  80,  973, TY,
WP, 06, 1998082618,   , MIWU, 0, 246N, 1376E,  75,  975, TY,
WP, 06, 1998082700,   , MIWU, 0, 247N, 1383E,  75,  974, TY,
WP, 06, 1998082706,   , MIWU, 0, 250N, 1390E,  80,  971, TY,
WP, 06, 1998082712,   , MIWU, 0, 254N, 1397E,  90,  965, TY,
WP, 06, 1998082718,   , MIWU, 0, 259N, 1401E,  85,  966, TY,
WP, 06, 1998082800,   , MIWU, 0, 264N, 1405E,  85,  966, TY,
WP, 06, 1998082806,   , MIWU, 0, 269N, 1408E, 100,  957, TY,
WP, 06, 1998082812,   , MIWU, 0, 274N, 1410E, 115,  948, TY,
WP, 06, 1998082818,   , MIWU, 0, 278N, 1410E, 110,  946, TY,
WP, 06, 1998082900,   , MIWU, 0, 282N, 1410E, 105,  948, TY,
WP, 06, 1998082906,   , MIWU, 0, 285N, 1410E, 100,  950, TY,
WP, 06, 1998082912,   , MIWU, 0, 288N, 1410E,  90,  956, TY,
WP, 06, 1998082918,   , MIWU, 0, 292N, 1411E,  80,  962, TY,
WP, 06, 1998083000,   , MIWU, 0, 296N, 1412E,  75,  966, TY,
WP, 06, 1998083006,   , MIWU, 0, 300N, 1414E,  75,  966, TY,
WP, 06, 1998083012,   , MIWU, 0, 305N, 1418E,  75,  965, TY,
WP, 06, 1998083018,   , MIWU, 0, 309N, 1424E,  80,  963, TY,
WP, 06, 1998083100,   , MIWU, 0, 313N, 1431E,  80,  962, TY,
WP, 06, 1998083106,   , MIWU, 0, 316N, 1440E,  85,  960, TY,
WP, 06, 1998083112,   , MIWU, 0, 314N, 1450E,  95,  956, TY,
WP, 06, 1998083118,   , MIWU, 0, 309N, 1460E, 105,  952, TY,
WP, 06, 1998090100,   , MIWU, 0, 303N, 1470E, 105,  952, TY,
WP, 06, 1998090106,   , MIWU, 0, 298N, 1481E, 100,  952, TY,
WP, 06, 1998090112,   , MIWU, 0, 293N, 1492E, 100,  953, TY,
WP, 06, 1998090118,   , MIWU, 0, 290N, 1502E,  95,  956, TY,
WP, 06, 1998090200,   , MIWU, 0, 290N, 1512E,  85,  962, TY,
WP, 06, 1998090206,   , MIWU, 0, 292N, 1522E,  90,  960, TY,
WP, 06, 1998090212,   , MIWU, 0, 297N, 1531E,  80,  966, TY,
WP, 06, 1998090218,   , MIWU, 0, 305N, 1537E,  75,  969, TY,
WP, 06, 1998090300,   , MIWU, 0, 310N, 1540E,  70,  972, TY,
WP, 06, 1998090306,   , MIWU, 0, 313N, 1543E,  70,  973, TY,
WP, 06, 1998090312,   , MIWU, 0, 314N, 1548E,  65,  976, TY,
WP, 06, 1998090318,   , MIWU, 0, 315N, 1554E,  65,  976, TY,
WP, 06, 1998090400,   , MIWU, 0, 315N, 1560E,  60,  978, TS,
WP, 06, 1998090406,   , MIWU, 0, 315N, 1565E,  60,  978, TS,
WP, 06, 1998090412,   , MIWU, 0, 316N, 1570E,  60,  979, TS,
WP, 06, 1998090418,   , MIWU, 0, 318N, 1574E,  60,  979, TS,
WP, 06, 1998090500,   , MIWU, 0, 321N, 1577E,  55,  981, TS,
WP, 06, 1998090506,   , MIWU, 0, 327N, 1580E,  55,  981, TS,
WP, 06, 1998090512,   , MIWU, 0, 335N, 1582E,  55,  982, TS,
WP, 06, 1998090518,   , MIWU, 0, 343N, 1586E,  50,  985, TS,
WP, 06, 1998090600,   , MIWU, 0, 353N, 1594E,  50,  984, TS,
WP, 06, 1998090606,   , MIWU, 0, 366N, 1604E,  55,  982, TS,
WP, 06, 1998090612,   , MIWU, 0, 387N, 1617E,  55,  981, EX,
WP, 06, 1998090618,   , MIWU, 0, 422N, 1630E,  60,  978, EX,
WP, 06, 1998090700,   , MIWU, 0, 456N, 1646E,  65,  974, EX,
WP, 06, 1998090706,   , MIWU, 0, 478N, 1662E,  70,  970, EX,
WP, 06, 1998090712,   , MIWU, 0, 493N, 1679E,  65,  968, EX,
WP, 06, 1998090718,   , MIWU, 0, 502N, 1694E,  60,  970, EX,
WP, 06, 1998090800,   , MIWU, 0, 505N, 1706E,  55,  973, EX,
WP, 06, 1998090806,   , MIWU, 0, 506N, 1724E,  50,  976, EX,
WP, 06, 1998090812,   , MIWU, 0, 505N, 1764E,  45,  980, EX,
WP, 06, 1998090818,   , MIWU, 0, 504N, 1794W,  45,  982, EX,
WP, 06, 1998090900,   , MIWU, 0, 503N, 1752W,  40,  986, EX,
WP, 06, 1998090906,   , MIWU, 0, 503N, 1720W,  40,  986, EX,
WP, 06, 1998090912,   , MIWU, 0, 505N, 1690W,  40,  986, EX,
WP, 06, 1998090918,   , MIWU, 0, 512N, 1650W,  45,  984, EX,
WP, 06, 1998091000,   , MIWU, 0, 524N, 1600W,  45,  984, EX,
WP, 06, 1998091006,   , MIWU, 0, 536N, 1550W,  45,  984, EX,
WP, 06, 1998091012,   , MIWU, 0, 549N, 1515W,  45,  985, EX,
WP, 06, 1998091018,   , MIWU, 0, 562N, 1492W,  40,  988, EX,
WP, 06, 1998091100,   , MIWU, 0, 574N, 1470W,  40,  988, EX,
WP, 06, 1998091106,   , MIWU, 0, 584N, 1450W,  40,  989, EX,
WP, 06, 1998091112,   , MIWU, 0, 592N, 1426W,  35,  992, EX,
WP, 06, 1998091118,   , MIWU, 0, 598N, 1410W,  30,  995, EX,
WP, 06, 1998091200,   , MIWU, 0, 602N, 1400W,  30,  996, EX,
WP, 06, 1998091206,   , MIWU, 0, 604N, 1396W,  25,  998, EX,
WP, 06, 1998091212,   , MIWU, 0, 605N, 1394W,  20, 1000, EX,
