WP, 12, 1998091618,   , MIWU, 0, 160N, 1102E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Twelve-W,
WP, 12, 1998091700,   , MIWU, 0, 161N, 1099E,  20, 1007, DB,
WP, 12, 1998091706,   , MIWU, 0, 162N, 1096E,  20, 1006, DB,
WP, 12, 1998091712,   , MIWU, 0, 163N, 1092E,  20, 1006, DB,
WP, 12, 1998091718,   , MIWU, 0, 164N, 1088E,  25, 1004, TD,
WP, 12, 1998091800,   , MIWU, 0, 165N, 1084E,  25, 1004, TD,
WP, 12, 1998091806,   , MIWU, 0, 167N, 1080E,  25, 1003, TD,
WP, 12, 1998091812,   , MIWU, 0, 170N, 1075E,  25, 1003, TD,
WP, 12, 1998091818,   , MIWU, 0, 174N, 1071E,  25, 1004, TD,
WP, 12, 1998091900,   , MIWU, 0, 178N, 1068E,  25, 1004, TD,
WP, 12, 1998091906,   , MIWU, 0, 182N, 1066E,  30, 1002, TD,
WP, 12, 1998091912,   , MIWU, 0, 185N, 1062E,  25, 1004, TD,
WP, 12, 1998091918,   , MIWU, 0, 186N, 1058E,  25, 1005, TD,
WP, 12, 1998092000,   , MIWU, 0, 185N, 1055E,  20, 1007, DB,
WP, 12, 1998092006,   , MIWU, 0, 182N, 1052E,  20, 1008, DB,
WP, 12, 1998092012,   , MIWU, 0, 177N, 1050E,  15, 1010, DB,
