WP, 15, 1998100200,   , MIWU, 0, 120N, 1130E,  20, 1003, MD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fifteen-W,
WP, 15, 1998100206,   , MIWU, 0, 126N, 1135E,  20, 1003, MD,
WP, 15, 1998100212,   , MIWU, 0, 132N, 1139E,  20, 1002, MD,
WP, 15, 1998100218,   , MIWU, 0, 138N, 1141E,  25, 1000, MD,
WP, 15, 1998100300,   , MIWU, 0, 143N, 1140E,  25,  999, MD,
WP, 15, 1998100306,   , MIWU, 0, 148N, 1137E,  25,  999, MD,
WP, 15, 1998100312,   , MIWU, 0, 153N, 1133E,  30,  997, MD,
WP, 15, 1998100318,   , MIWU, 0, 158N, 1127E,  30,  997, MD,
WP, 15, 1998100400,   , MIWU, 0, 164N, 1119E,  30,  996, TD,
WP, 15, 1998100406,   , MIWU, 0, 169N, 1110E,  30,  996, TD,
WP, 15, 1998100412,   , MIWU, 0, 174N, 1099E,  30,  996, TD,
WP, 15, 1998100418,   , MIWU, 0, 179N, 1089E,  35,  993, TS,
WP, 15, 1998100500,   , MIWU, 0, 183N, 1079E,  35,  994, TS,
WP, 15, 1998100506,   , MIWU, 0, 186N, 1069E,  30,  996, TD,
WP, 15, 1998100512,   , MIWU, 0, 189N, 1060E,  25,  998, TD,
WP, 15, 1998100518,   , MIWU, 0, 192N, 1053E,  20, 1000, DB,
WP, 15, 1998100600,   , MIWU, 0, 194N, 1048E,  15, 1002, DB,
